"Charlie Blackmon_COL","Nolan Arenado_COL","Mark Reynolds_COL","Carlos Gonzalez_COL","Dexter Fowler_STL","Matt Carpenter_STL","Randal Grichuk_STL","Jedd Gyorko_STL","Ian Desmond_COL","Trevor Story_COL","David Dahl_COL","DJ LeMahieu_COL","Stephen Piscotty_STL","Aledmys Diaz_STL","Freddie Freeman_ATL","Matt Kemp_ATL","Kolten Wong_STL","Brandon Phillips_ATL","Ender Inciarte_ATL","Gerardo Parra_COL","Buster Posey_SF","Yadier Molina_STL","Hunter Pence_SF","Jhonny Peralta_STL","Tommy Pham_STL","Pat Valaika_COL","Eduardo Nunez_SF","Brandon Belt_SF","Greg Garcia_STL","Joe Panik_SF","Jose Martinez_STL","Stephen Cardullo_COL","Raimel Tapia_COL","Denard Span_SF","Matt Adams_ATL","Dustin Garneau_COL","Magneuris Sierra_STL","Harrison Bader_STL","Brandon Crawford_SF","Dansby Swanson_ATL","Alexi Amarista_COL","Tom Murphy_COL","Carson Kelly_STL","Nick Markakis_ATL","Eric Fryer_STL","Tony Wolters_COL","Tyler Flowers_ATL","Adonis Garcia_ATL","Jarrett Parker_SF","Nick Hundley_SF","Mac Williamson_SF","Christian Arroyo_SF","Ryan Hanigan_COL","Cristhian Adames_COL","Kurt Suzuki_ATL","Danny Santana_ATL","Kelby Tomlinson_SF","Jace Peterson_ATL","Micah Johnson_ATL","Aaron Hill_SF","Justin Ruggiano_SF","Rio Ruiz_ATL","Gorkys Hernandez_SF","Conor Gillaspie_SF","Michael Morse_SF","Tim Federowicz_SF","Anthony Recker_ATL","Chris Marrero_SF","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
42,41,37,39,0,0,0,0,18,29,0,39,0,0,0,0,0,0,0,24,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,15,0,0,0,0,9,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,43,38,39,0,0,0,0,19,29,0,40,0,0,0,0,0,0,0,26,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,15,0,0,0,0,10,0,0,0,0,22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,39,35,0,0,0,0,16,27,0,36,0,0,0,0,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,14,0,0,0,0,7,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,35,40,0,0,0,0,18,26,0,37,0,0,0,0,0,0,0,22,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,12,0,0,0,0,9,0,0,0,0,22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35,31,30,26,0,0,0,0,25,31,0,0,27,0,0,0,0,31,0,10,8,0,0,0,10,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31,38,33,31,0,0,0,0,22,33,0,0,31,0,0,0,0,35,0,9,13,0,0,0,9,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30,33,37,28,0,0,0,0,23,34,0,0,30,0,0,0,0,34,0,10,10,0,0,0,8,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26,31,28,33,0,0,0,0,18,29,0,0,26,0,0,0,0,32,0,5,12,0,0,0,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,16,18,0,0,0,0,20,8,0,19,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,27,26,0,0,0,0,8,30,0,27,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,13,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
