"Giancarlo Stanton_MIA","Nolan Arenado_COL","Charlie Blackmon_COL","Justin Bour_MIA","Gerardo Parra_COL","Mark Reynolds_COL","Shin-Soo Choo_TEX","Elvis Andrus_TEX","Tommy Pham_STL","DJ LeMahieu_COL","Trevor Story_COL","Christian Yelich_MIA","Marcell Ozuna_MIA","Randal Grichuk_STL","Dee Gordon_MIA","Delino DeShields_TEX","Ian Desmond_COL","Adrian Beltre_TEX","Stephen Piscotty_STL","David Dahl_COL","Aledmys Diaz_STL","Mike Napoli_TEX","Matt Carpenter_STL","Dexter Fowler_STL","Robinson Chirinos_TEX","Joey Gallo_TEX","Carlos Gonzalez_COL","Paul DeJong_STL","Carlos Gomez_TEX","Nomar Mazara_TEX","Jedd Gyorko_STL","Pat Valaika_COL","Magneuris Sierra_STL","Martin Prado_MIA","Derek Dietrich_MIA","JT Realmuto_MIA","Yadier Molina_STL","Kolten Wong_STL","Luke Voit_STL","Raimel Tapia_COL","Destin Hood_MIA","Ichiro Suzuki_MIA","Tomas Telis_MIA","Brett Nicholas_TEX","Rougned Odor_TEX","Stephen Cardullo_COL","Christian Colon_MIA","Tyler Moore_MIA","Steve Lombardozzi_MIA","Jurickson Profar_TEX","Jose Martinez_STL","Dustin Garneau_COL","Jordan Patterson_COL","Mike Tauchman_COL","Greg Garcia_STL","Tom Murphy_COL","Harrison Bader_STL","AJ Ellis_MIA","Miguel Rojas_MIA","Hanser Alberto_TEX","Alexi Amarista_COL","Mike Aviles_MIA","Drew Stubbs_TEX","JT Riddle_MIA","Cristhian Adames_COL","Drew Robinson_TEX","Ryan Hanigan_COL","Jonathan Lucroy_TEX","Pete Kozma_TEX","Jared Hoying_TEX","Ryan Rua_TEX","Ronald Guzman_TEX","Andy Ibanez_TEX","Tony Wolters_COL","Carson Kelly_STL","Eric Fryer_STL","Chad Huffman_STL","Alex Mejia_STL"
87.3481792717087,0,0,13.8969818913481,0,0,0,0,0,0,0,3.90523067881281,7.21657361151925,0,7.72135670236936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44612244897959,-5.10865191146881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5942684766214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,97.794707297514,23.9148020654045,0,0,5.7822966507177,0,0,0,14.9971518987342,27.7582541836273,0,0,0,0,0,14.9898403483309,0,0,0,0,0,0,0,0,0,2.09807692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.53294117647059,0,0,0,0
0,23.9148020654045,73.6539968652038,0,0,18.1098901098901,0,0,0,11.9597222222222,13.9635549872123,0,0,0,0,0,7.02262443438914,0,0,0,0,0,0,0,0,0,7.88941655359566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9593613933237,0,0,0,0
13.8969818913481,0,0,70.9983339503887,0,0,0,0,0,0,0,13.5172143974961,5.9906103286385,0,19.2249780509219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6339977851606,4.75965097831835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80429732868757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.7822966507177,18.1098901098901,0,0,75.7277777777778,0,0,0,6.55275823768974,0.571180555555556,0,0,0,0,0,2.29925994449584,0,0,0,0,0,0,0,0,0,15.4605493863238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7257169287697,0,0,0,0
0,0,0,0,0,0,56.0561269468116,7.84420642648491,0,0,0,0,0,0,0,19.470202020202,0,0,0,0,0,-10.7938988095238,0,0,0,10.8633540372671,0,0,6.73182957393484,12.7834368530021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253236976814213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.05565638233515,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7.84420642648491,72.1461598746081,0,0,0,0,0,0,0,8.67647058823529,0,0,0,0,0,-8.80786749482402,0,0,0,0.222510181414291,0,0,2.71448087431694,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11694734028335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238351254480287,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,83.6961152882206,0,0,0,0,-14.8766666666667,0,0,0,0,-0.649014778325123,0,-10.7460317460317,0,6.62155297532656,2.14920634920635,0,0,0,0,0,0,24.7158687943262,0,0,0,0,0,1.54154589371981,2.57857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14.9971518987342,11.9597222222222,0,0,6.55275823768974,0,0,0,45.1536144578313,1.13221153846154,0,0,0,0,0,6.48984034833091,0,0,0,0,0,0,0,0,0,3.77752976190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.65333333333333,0,0,0,0
