"Giancarlo Stanton_MIA","Nolan Arenado_COL","Charlie Blackmon_COL","Justin Bour_MIA","Gerardo Parra_COL","Mark Reynolds_COL","Shin-Soo Choo_TEX","Elvis Andrus_TEX","Tommy Pham_STL","DJ LeMahieu_COL","Trevor Story_COL","Christian Yelich_MIA","Marcell Ozuna_MIA","Randal Grichuk_STL","Dee Gordon_MIA","Delino DeShields_TEX","Ian Desmond_COL","Adrian Beltre_TEX","Stephen Piscotty_STL","David Dahl_COL","Aledmys Diaz_STL","Mike Napoli_TEX","Matt Carpenter_STL","Dexter Fowler_STL","Robinson Chirinos_TEX","Joey Gallo_TEX","Carlos Gonzalez_COL","Paul DeJong_STL","Carlos Gomez_TEX","Nomar Mazara_TEX","Jedd Gyorko_STL","Pat Valaika_COL","Magneuris Sierra_STL","Martin Prado_MIA","Derek Dietrich_MIA","JT Realmuto_MIA","Yadier Molina_STL","Kolten Wong_STL","Luke Voit_STL","Raimel Tapia_COL","Destin Hood_MIA","Ichiro Suzuki_MIA","Tomas Telis_MIA","Brett Nicholas_TEX","Rougned Odor_TEX","Stephen Cardullo_COL","Christian Colon_MIA","Tyler Moore_MIA","Steve Lombardozzi_MIA","Jurickson Profar_TEX","Jose Martinez_STL","Dustin Garneau_COL","Jordan Patterson_COL","Mike Tauchman_COL","Greg Garcia_STL","Tom Murphy_COL","Harrison Bader_STL","AJ Ellis_MIA","Miguel Rojas_MIA","Hanser Alberto_TEX","Alexi Amarista_COL","Mike Aviles_MIA","Drew Stubbs_TEX","JT Riddle_MIA","Cristhian Adames_COL","Drew Robinson_TEX","Ryan Hanigan_COL","Jonathan Lucroy_TEX","Pete Kozma_TEX","Jared Hoying_TEX","Ryan Rua_TEX","Ronald Guzman_TEX","Andy Ibanez_TEX","Tony Wolters_COL","Carson Kelly_STL","Eric Fryer_STL","Chad Huffman_STL","Alex Mejia_STL"
85,0,0,71,0,0,0,0,0,0,0,83,83,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,71,0,0,0,0,0,8,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,87,84,0,40,77,0,0,0,80,67,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,65,0,0,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,15,0,0,0,0,0,0,51,0,0,0,0
0,84,88,0,39,78,0,0,0,81,69,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,67,0,0,0,0,16,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,0,0,53,0,0,0,0
71,0,0,74,0,0,0,0,0,0,0,72,72,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,43,62,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,39,0,41,33,0,0,0,39,33,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,0
0,77,78,0,33,81,0,0,0,74,64,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,59,0,0,0,0,17,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,47,0,0,0,0
0,0,0,0,0,0,83,79,0,0,0,0,0,0,0,45,0,39,0,0,0,64,0,0,32,70,0,0,57,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,58,7,14,20,0,0,0,0,0,0,0
0,0,0,0,0,0,79,88,0,0,0,0,0,0,0,51,0,38,0,0,0,70,0,0,35,74,0,0,61,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,63,8,13,26,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,57,0,0,0,0,25,0,0,0,0,29,0,36,0,53,36,0,0,0,36,0,0,48,0,10,0,0,0,46,21,11,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2
0,80,81,0,39,74,0,0,0,84,65,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,64,0,0,0,0,14,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,51,0,0,0,0
0,67,69,0,33,64,0,0,0,65,71,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,52,0,0,0,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,44,0,0,0,0
83,0,0,72,0,0,0,0,0,0,0,87,85,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,52,72,0,0,0,0,0,10,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,16,19,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,72,0,0,0,0,0,0,0,85,87,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,52,73,0,0,0,0,0,10,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,25,0,0,0,0,54,0,0,0,0,33,0,39,0,47,35,0,0,0,13,0,0,42,0,4,0,0,0,47,32,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
79,0,0,68,0,0,0,0,0,0,0,81,80,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,47,67,0,0,0,0,0,9,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,45,51,0,0,0,0,0,0,0,54,0,20,0,0,0,42,0,0,23,40,0,0,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,9,19,0,0,0,0,0,0,0
0,53,52,0,16,47,0,0,0,53,39,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,38,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,0,29,0,0,0,0
0,0,0,0,0,0,39,38,0,0,0,0,0,0,0,20,0,41,0,0,0,29,0,0,19,28,0,0,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,5,6,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,29,0,0,0,0,33,0,0,0,0,59,0,43,0,53,44,0,0,0,28,0,0,45,0,0,0,0,0,47,27,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,36,0,0,0,0,39,0,0,0,0,43,0,64,0,57,51,0,0,0,19,0,0,50,0,7,0,0,0,53,35,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,0,0,0,0,0,64,70,0,0,0,0,0,0,0,42,0,29,0,0,0,73,0,0,24,59,0,0,58,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,57,6,7,18,0,0,0,0,0,0,0
