"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (43/150)","2016-09-11 13:00:00",3975,199.42,"$40.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (36/150)","2016-09-11 13:00:00",4119,199.12,"$30.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (54/150)","2016-09-11 13:00:00",6595,195.12,"$25.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (50/150)","2016-09-11 13:00:00",9098,192.22,"$15.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (42/150)","2016-09-11 13:00:00",9370,191.92,"$15.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (53/150)","2016-09-11 13:00:00",11287,190.22,"$15.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (32/150)","2016-09-11 13:00:00",26963,181.22,"$9.43","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (35/150)","2016-09-11 13:00:00",36614,177.82,"$9.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (87/150)","2016-09-11 13:00:00",52377,173.66,"$8.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (52/150)","2016-09-11 13:00:00",54255,173.22,"$8.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
"NFL","NFL $5M Fantasy Football Millionaire [$1M to 1st] (25/150)","2016-09-11 13:00:00",61331,171.72,"$8.00","$0.00",1436510,"$3.00","$5,000,000.00",542850
