"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (33/150)","2016-10-02 13:00:00",908,203.5,"$40.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (80/150)","2016-10-02 13:00:00",1912,197.14,"$35.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (69/150)","2016-10-02 13:00:00",3818,190.16,"$25.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (40/150)","2016-10-02 13:00:00",4039,189.58,"$25.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (119/150)","2016-10-02 13:00:00",4372,188.62,"$25.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (11/150)","2016-10-02 13:00:00",8679,181.02,"$15.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (110/150)","2016-10-02 13:00:00",9467,180.02,"$15.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (15/150)","2016-10-02 13:00:00",9502,180,"$15.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (1/150)","2016-10-02 13:00:00",9859,179.58,"$15.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (47/150)","2016-10-02 13:00:00",11371,177.98,"$12.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (45/150)","2016-10-02 13:00:00",13017,176.34,"$12.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (4/150)","2016-10-02 13:00:00",15217,174.5,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (127/150)","2016-10-02 13:00:00",15562,174.22,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (102/150)","2016-10-02 13:00:00",17095,173.06,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
