"Ender Inciarte_ATL","Anthony Rizzo_CHC","Kris Bryant_CHC","Charlie Blackmon_COL","Nolan Arenado_COL","Freddie Freeman_ATL","Matt Kemp_ATL","Gerardo Parra_COL","DJ LeMahieu_COL","Javier Baez_CHC","Ian Desmond_COL","Mark Reynolds_COL","Ian Happ_CHC","Adonis Garcia_ATL","Trevor Story_COL","Kyle Schwarber_CHC","Tyler Flowers_ATL","Matt Adams_ATL","Cesar Hernandez_PHI","Carlos Gonzalez_COL","Jason Heyward_CHC","David Dahl_COL","Howie Kendrick_PHI","Freddy Galvis_PHI","Odubel Herrera_PHI","Willson Contreras_CHC","Ben Zobrist_CHC","Maikel Franco_PHI","Daniel Nava_PHI","Aaron Altherr_PHI","Andrew Knapp_PHI","Rhys Hoskins_PHI","Brandon Phillips_ATL","Jon Jay_CHC","Addison Russell_CHC","Tommy Joseph_PHI","Jace Peterson_ATL","Kurt Suzuki_ATL","Danny Santana_ATL","Dansby Swanson_ATL","Miguel Montero_CHC","Jeimer Candelario_CHC","Pat Valaika_COL","Nick Markakis_ATL","Alexi Amarista_COL","Stephen Cardullo_COL","Tony Wolters_COL","Raimel Tapia_COL","Albert Almora_CHC","Michael Saunders_PHI","Brock Stassi_PHI","Micah Johnson_ATL","Dustin Garneau_COL","Tommy La Stella_CHC","Tom Murphy_COL","Andres Blanco_PHI","Cameron Rupp_PHI","Rio Ruiz_ATL","Ryan Hanigan_COL","Ty Kelly_PHI","Cristhian Adames_COL","Anthony Recker_ATL","Eloy Jimenez_CHC","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
55,0,0,0,0,35,45,0,0,0,0,0,0,35,0,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,28,22,7,52,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,3
0,53,50,0,0,0,0,0,0,38,0,0,18,0,0,44,0,0,0,0,41,0,0,0,0,37,39,0,0,0,0,0,0,17,43,0,0,0,0,0,16,3,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,50,51,0,0,0,0,0,0,36,0,0,16,0,0,42,0,0,0,0,41,0,0,0,0,35,38,0,0,0,0,0,0,18,42,0,0,0,0,0,16,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,52,0,0,30,50,0,27,47,0,0,39,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,5,30,0,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,52,54,0,0,32,51,0,28,48,0,0,39,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,5,30,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,0,0,0
35,0,0,0,0,35,25,0,0,0,0,0,0,31,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,19,14,3,34,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
45,0,0,0,0,25,45,0,0,0,0,0,0,25,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,20,18,7,42,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3
0,0,0,30,32,0,0,32,30,0,12,26,0,0,25,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,51,0,0,30,52,0,28,46,0,0,37,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,5,29,0,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0
0,38,36,0,0,0,0,0,0,39,0,0,12,0,0,30,0,0,0,0,27,0,0,0,0,30,25,0,0,0,0,0,0,9,28,0,0,0,0,0,9,3,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
