"Cody Bellinger_LAD","Corey Seager_LAD","JD Martinez_DET","Nelson Cruz_SEA","Ian Kinsler_DET","Justin Turner_LAD","Chris Taylor_LAD","Robinson Cano_SEA","Jean Segura_SEA","Ben Gamel_SEA","Jay Bruce_NYM","Joc Pederson_LAD","Yoenis Cespedes_NYM","Michael Conforto_NYM","Justin Upton_DET","Alex Avila_DET","Mitch Haniger_SEA","Yasiel Puig_LAD","Mike Zunino_SEA","Adrian Gonzalez_LAD","Jose Reyes_NYM","Jarrod Dyson_SEA","Kyle Seager_SEA","Curtis Granderson_NYM","Victor Martinez_DET","Miguel Cabrera_DET","David Wright_NYM","Asdrubal Cabrera_NYM","Neil Walker_NYM","Lucas Duda_NYM","Yasmani Grandal_LAD","Logan Forsythe_LAD","Peter O'Brien_LAD","Leonys Martin_SEA","Nicholas Castellanos_DET","Franklin Gutierrez_LAD","Taylor Motter_SEA","Chase Utley_LAD","Kike Hernandez_LAD","Danny Valencia_SEA","Trayce Thompson_LAD","Austin Barnes_LAD","Guillermo Heredia_SEA","Travis d'Arnaud_NYM","Andrew Toles_LAD","Willie Calhoun_LAD","Wilmer Flores_NYM","Rob Segedin_LAD","Amed Rosario_NYM","Alex Verdugo_LAD","Andrew Romine_DET","John Hicks_DET","Andre Ethier_LAD","Brandon Nimmo_NYM","Carlos Ruiz_SEA","Shawn O'Malley_SEA","Dixon Machado_DET","Jose Iglesias_DET","JaCoby Jones_DET","DJ Peterson_SEA","Mikie Mahtook_DET","Scott Van Slyke_LAD","TJ Rivera_NYM","Tyler Collins_DET","Boog Powell_SEA","Tyler Smith_SEA","Juan Lagares_NYM","Gavin Cecchini_NYM","Jim Adduci_DET","Tuffy Gosewisch_SEA","Matt Reynolds_NYM","Kevin Plawecki_NYM","Alex Presley_DET","Rene Rivera_NYM","James McCann_DET","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Mike Freeman_LAD","Brett Eibner_LAD"
99.5633865248227,29.5111111111111,0,0,0,8.98,8.78947368421053,0,0,0,0,-16.4,0,0,0,0,0,45.7461538461538,0,-4.06833333333333,0,0,0,0,0,0,0,0,0,0,-2.59919028340081,0,0,0,0,0,0,3.15294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5111111111111,79.2061011904762,0,0,0,2.31282051282051,-17.2105263157895,0,0,0,0,22.0379310344828,0,0,0,0,0,17.4925324675325,0,3.24466571834993,0,0,0,0,0,0,0,0,0,0,29.1847058823529,0,0,0,0,0,0,8.64615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,113.251893939394,0,23.9966666666667,0,0,0,0,0,0,0,0,0,33.0322580645161,17.5078947368421,0,0,0,0,0,0,0,0,33.5434782608696,33.3365591397849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.756157635468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0
0,0,0,60.9774705581157,0,0,0,2.92089985486212,14.2094594594595,10.0903846153846,0,0,0,0,0,0,0,0,4.94331983805668,0,0,3.08525506638714,6.63617767387493,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8128964059197,0,0,13.6197387518142,0,0,2.75897435897436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23.9966666666667,0,50.2832446808511,0,0,0,0,0,0,0,0,0,11.3984848484848,23.6957671957672,0,0,0,0,0,0,0,0,12.3903846153846,6.39264264264264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.12944523470839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8783068783069,0,0,0,0
8.98,2.31282051282051,0,0,0,42.2768549280177,21.7785714285714,0,0,0,0,4.35692307692308,0,0,0,0,0,7.48245614035088,0,9.87619047619048,0,0,0,0,0,0,0,0,0,0,3.02520161290323,0,0,0,0,0,0,15.2547619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.78947368421053,-17.2105263157895,0,0,0,21.7785714285714,86.3012181616833,0,0,0,0,14.0294117647059,0,0,0,0,0,12.9222222222222,0,3.66959064327485,0,0,0,0,0,0,0,0,0,0,-9.50907258064516,0,0,0,0,0,0,-4.5968660968661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.92089985486212,0,0,0,65.7364114552893,6.52258064516129,8.86666666666667,0,0,0,0,0,0,0,0,-20.2607973421927,0,0,4.48857142857143,12.476430976431,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7072072072072,0,0,10.797619047619,0,0,9.71977240398293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,14.2094594594595,0,0,0,6.52258064516129,52.5378048780488,13.0781609195402,0,0,0,0,0,0,0,0,9.35714285714286,0,0,18.2680672268908,4.43117408906883,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90476190476191,0,0,-3.10160427807487,0,0,11.2827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10.0903846153846,0,0,0,8.86666666666667,13.0781609195402,61.3357487922705,0,0,0,0,0,0,0,0,-7.44,0,0,0.15587044534413,-4.12474747474747,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60537634408602,0,0,11.246963562753,0,0,2.02773109243697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
