"Mike Trout_LAA","Paul Goldschmidt_ARI","Miguel Cabrera_DET","JD Martinez_DET","Ian Kinsler_DET","Corey Seager_LAD","Justin Upton_DET","Starling Marte_PIT","Khris Davis_OAK","Jake Lamb_ARI","Andrew McCutchen_PIT","AJ Pollock_ARI","Gregory Polanco_PIT","Albert Pujols_LAA","Rajai Davis_OAK","Nicholas Castellanos_DET","Victor Martinez_DET","Yasmany Tomas_ARI","Yasiel Puig_LAD","Ryon Healy_OAK","Logan Forsythe_LAD","Joc Pederson_LAD","Kole Calhoun_LAA","David Peralta_ARI","Chris Owings_ARI","Justin Turner_LAD","Yasmani Grandal_LAD","Cody Bellinger_LAD","Cameron Maybin_LAA","Marcus Semien_OAK","CJ Cron_LAA","Adrian Gonzalez_LAD","Trevor Plouffe_OAK","Luis Valbuena_LAA","Brandon Drury_ARI","Chase Utley_LAD","Franklin Gutierrez_LAD","Josh Harrison_PIT","Josh Bell_PIT","Stephen Vogt_OAK","Jefry Marte_LAA","Alex Avila_DET","Jeremy Hazelbaker_ARI","Alen Hanson_PIT","Chris Taylor_LAD","Yunel Escobar_LAA","Ben Revere_LAA","Josh Phegley_OAK","Mark Canha_OAK","Chris Herrmann_ARI","Trayce Thompson_LAD","Andrew Toles_LAD","Austin Barnes_LAD","Yonder Alonso_OAK","Andrelton Simmons_LAA","JaCoby Jones_DET","Socrates Brito_ARI","James McCann_DET","Rob Segedin_LAD","Jed Lowrie_OAK","Danny Espinosa_LAA","Gregor Blanco_ARI","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Tyler Collins_DET","Andre Ethier_LAD","Francisco Cervelli_PIT","David Freese_PIT","Jordy Mercer_PIT","Adam Frazier_PIT","Jake Smolinski_OAK","Ryan LaMarre_OAK","Jose Iglesias_DET","John Jaso_PIT","Scott Van Slyke_LAD","Danny Ortiz_PIT","Kike Hernandez_LAD","Kevin Newman_PIT","Bruce Maxwell_OAK","Jim Adduci_DET","Andrew Romine_DET","Jose Osuna_PIT","Matt Joyce_OAK","Chris Iannetta_ARI","Adam Rosales_OAK","Daniel Descalso_ARI","Elias Diaz_PIT","Phil Gosselin_PIT","Max Moroff_PIT","Nick Ahmed_ARI","Martin Maldonado_LAA","Juan Graterol_LAA","Chad Pinder_OAK","Gift Ngoepe_PIT","Jaff Decker_OAK","Carlos Perez_LAA","Jeff Mathis_ARI","Chris Stewart_PIT","Brett Eibner_LAD","John Bormann_PIT","Cliff Pennington_LAA","Matt Olson_OAK"
0,0,0,0,0,0,0,0,0,0,39.6335978835979,0,-4.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5366666666667,-13.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7578947368421,11.1238095238095,7.09846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35.9107692307692,0,0,0,0,0,0,0,-5.68840579710145,0,64.4900284900285,0,0,0,0,0,-14.1739130434783,0,0,0,0,0,9.2953216374269,-6.59166666666667,0,0,0,0,0,0,0,0,0,12.1082251082251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1727272727273,0,0,0,0,0,0,9.05494505494505,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-4.95652173913043,0,36.4764492753623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.3236842105263,1.95238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.745833333333333,-2.07272727272727,4.21343873517787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3384615384615,0,0,0,0,0,0,0,0,0,0,0,0,36.9088669950739,0,0,0,0,0,0,0,0,-3.86894586894587,0,0,0,0,0,-3.04329004329004,0,0,0,0,0,0,0,0,0,0,0,-3.59047619047619,0,0,0,0,13.2063492063492,0,0,0,0,0,0,0,0,8.17195767195767,0,0,0,0,0,-2.94166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60869565217391,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-1.78333333333333,0,0,0,0,0,36.8291666666667,0,0,0,0,35.6703296703297,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,-7.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52272727272727,0,0,0,0,0,34.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.1111111111111,0,7.91111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-4.17142857142857,0,12.1738095238095,0,2.27272727272727,0,0,0,0,0,0,0,0,0,33.2590579710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.57142857142857,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,-10.2222222222222,0,0,0,0,0,0,0,2.87619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3.29446640316206,0,0,0,0,0,0,0,1.15,0,-14.1739130434783,0,0,0,0,0,78.6938405797101,0,0,0,0,0,37.070926303777,25.3241106719368,0,0,0,0,0,0,0,0,0,19.4571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.375,0,0,0,0,0,0,2.6025641025641,0,0,0,0,0
0,0,0,0,0,7.50769230769231,0,0,0,0,0,0,0,0,0,0,0,0,62.8677248677249,0,0,0,0,0,0,12.4583333333333,3.18614718614719,0,0,0,0,2.93571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0816666666666667,0,0,0,0,0,35.6703296703297,0,0,0,0,62.5661538461538,0,0,0,0,0,0,0,0,0,0,0,0,5.64130434782609,0,0,0,0,0,0,13.9154411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95789473684211,0,0,0,0,0,18.1413043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2719298245614,0,15.6842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.54,0,0,0,0,0,0,0,0,0,0,0,0,-3.86894586894587,0,0,0,0,0,0,0,0,39.739417989418,0,0,0,0,0,11.4657894736842,0,0,0,0,0,0,0,0,0,0,0,17.7802197802198,0,0,0,0,5.81481481481481,0,0,0,0,0,0,0,0,7.67948717948718,0,0,0,0,0,-7.72826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71428571428571,0,0,0,0,0,0,0,0,0,0,0
