\nPosition,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
\nRB,Le'Veon Bell (9213140),Le'Veon Bell,9213140,9800,PIT@CLE 01:00PM ET,PIT
\nRB,David Johnson (9213077),David Johnson,9213077,9400,ARI@DET 01:00PM ET,ARI
\nWR,Antonio Brown (9213146),Antonio Brown,9213146,8800,PIT@CLE 01:00PM ET,PIT
\nWR,Julio Jones (9212141),Julio Jones,9212141,8500,ATL@CHI 01:00PM ET,ATL
\nWR,Odell Beckham Jr. (9212937),Odell Beckham Jr.,9212937,8300,NYG@DAL 08:30PM ET,NYG
\nRB,LeSean McCoy (9212185),LeSean McCoy,9212185,8200,NYJ@BUF 01:00PM ET,BUF
\nRB,Ezekiel Elliott (9212467),Ezekiel Elliott,9212467,8100,NYG@DAL 08:30PM ET,DAL
\nWR,A.J. Green (9212364),A.J. Green,9212364,8000,BAL@CIN 01:00PM ET,CIN
\nWR,Mike Evans (9213337),Mike Evans,9213337,7800,Postponed,TB
\nWR,Jordy Nelson (9212592),Jordy Nelson,9212592,7600,SEA@GB 04:25PM ET,GB
\nWR,Dez Bryant (9212471),Dez Bryant,9212471,7500,NYG@DAL 08:30PM ET,DAL
\nRB,DeMarco Murray (9212621),DeMarco Murray,9212621,7400,OAK@TEN 01:00PM ET,TEN
\nQB,Ben Roethlisberger (9213125),Ben Roethlisberger,9213125,7300,PIT@CLE 01:00PM ET,PIT
\nWR,Amari Cooper (9212752),Amari Cooper,9212752,7200,OAK@TEN 01:00PM ET,OAK
\nQB,Cam Newton (9213415),Cam Newton,9213415,7100,CAR@SF 04:25PM ET,CAR
\nRB,Devonta Freeman (9212125),Devonta Freeman,9212125,7000,ATL@CHI 01:00PM ET,ATL
\nQB,Aaron Rodgers (9212563),Aaron Rodgers,9212563,7000,SEA@GB 04:25PM ET,GB
\nQB,Matt Ryan (9212113),Matt Ryan,9212113,6900,ATL@CHI 01:00PM ET,ATL
\nWR,T.Y. Hilton (9212704),T.Y. Hilton,9212704,6900,IND@LAR 04:05PM ET,IND
