"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"3B","Nolan Arenado",5400,"COL@SF",0,"Col",10.11,9.8,7,8.9,7
"OF","Charlie Blackmon",5400,"COL@SF",0,"Col",10.53,10.3,21,9.4,21
"3B","Eduardo Nunez",5300,"SF@@COL",0,"SF",9.04,10.6,0,10.5,0
"1B","Brandon Belt",5300,"SF@@COL",0,"SF",6.68,10.3,2,9.9,2
"OF","Bryce Harper",5300,"WAS@@NYM",0,"Was",9.23,10.7,8.98,10,10
"OF","Carlos Gonzalez",5300,"COL@SF",0,"Col",8.73,10.4,11,8.3,11
"OF","Mike Trout",5200,"LAA@TOR",0,"LAA",9.59,9.2,11,9.7,11
"1B","Paul Goldschmidt",5200,"ARI@LAD",0,"Ari",9.14,9.1,18,9.4,18
"OF","David Dahl",4700,"COL@SF",0,"Col",NA,0,NA,0,NA
"SS","Trevor Story",4700,"COL@SF",0,"Col",7.73,7.8,9,8.2,9
"OF","Hunter Pence",4700,"SF@@COL",0,"SF",9.67,11.8,6,10.2,6
"C","Buster Posey",4600,"SF@@COL",0,"SF",10.09,12.2,3,9.9,3
"1B","Wil Myers",4600,"SD@MIA",0,"SD",8.3,7.9,3,8.3,3
"2B","Joe Panik",4600,"SF@@COL",0,"SF",5.87,7.7,5,8,5
"OF","Giancarlo Stanton",4600,"MIA@@SD",0,"Mia",8.03,9.8,13,8.7,13
"3B","Josh Donaldson",4600,"TOR@@LAA",0,"Tor",NA,0,NA,0,NA
"SS","Corey Seager",4600,"LAD@@ARI",0,"LAD",9.87,10.9,16,10.4,16
"2B","DJ LeMahieu",4600,"COL@SF",0,"Col",7.9,8.1,0,8,0
"SS","Brandon Crawford",4500,"SF@@COL",0,"SF",6.62,8.9,0,9,0
"OF","Shin-Soo Choo",4500,"TEX@KC",0,"Tex",6.47,8.3,8,8.5,8
"2B","Rougned Odor",4500,"TEX@KC",0,"Tex",7.91,8.3,0,9.3,0
"OF","Ian Desmond",4500,"COL@SF",0,"Col",NA,0,NA,0,NA
"OF/SS","Trea Turner",4400,"WAS@@NYM",0,"Was",7.91,8.2,8.64,9.8,5
"1B","Mark Reynolds",4400,"COL@SF",0,"Col",7.16,8.2,0,6.7,0
"OF","Denard Span",4400,"SF@@COL",0,"SF",NA,0,1.95,0,NA
"OF","Jarrett Parker",4400,"SF@@COL",0,"SF",NA,0,NA,0,NA
"OF","Nomar Mazara",4300,"TEX@KC",0,"Tex",7.61,8.3,6,8.4,6
"OF","Christian Yelich",4300,"MIA@@SD",0,"Mia",8.02,9.9,14,8.8,14
"OF","Nelson Cruz",4300,"SEA@@OAK",0,"Sea",8.75,7.7,33,7.1,33
"C","Nick Hundley",4300,"SF@@COL",0,"SF",6.48,8.9,5,8.8,5
"3B","Adrian Beltre",4300,"TEX@KC",0,"Tex",NA,0,NA,0,NA
"2B","Daniel Murphy",4300,"WAS@@NYM",0,"Was",9.01,8.3,7.57,8.8,20
"SS","Jean Segura",4200,"SEA@@OAK",0,"Sea",NA,0,NA,0,NA
"2B","Robinson Cano",4200,"SEA@@OAK",0,"Sea",9.12,8,14,7.8,14
"1B","Adrian Gonzalez",4200,"LAD@@ARI",0,"LAD",7.2,9.7,16,8.7,16
"C","Jonathan Lucroy",4200,"TEX@KC",0,"Tex",NA,0,1.94,2.5,NA
"OF","AJ Pollock",4200,"ARI@LAD",0,"Ari",NA,0,2.01,2.8,NA
"OF","Jose Bautista",4200,"TOR@@LAA",0,"Tor",8.04,7.9,5,9.3,5
"OF","Lorenzo Cain",4200,"KC@@TEX",0,"KC",NA,0,1.7,7.7,NA
"OF","Carlos Gomez",4100,"TEX@KC",0,"Tex",7.25,7.8,5,8.5,5
"OF","Gerardo Parra",4100,"COL@SF",0,"Col",8.23,8.5,23,7.3,23
"2B","Dee Gordon",4100,"MIA@@SD",0,"Mia",7.48,8.8,10,9,10
"1B","Mike Napoli",4100,"TEX@KC",0,"Tex",NA,0,1.91,2.5,NA
"OF","Mac Williamson",4100,"SF@@COL",0,"SF",NA,0,NA,0,NA
"1B","Eric Hosmer",4100,"KC@@TEX",0,"KC",6.47,7.5,6,7.6,6
"3B","Jake Lamb",4100,"ARI@LAD",0,"Ari",7.63,8.4,11,8.3,11
"OF","Yasiel Puig",4100,"LAD@@ARI",0,"LAD",7.05,8.9,0,8.5,0
"SS","Elvis Andrus",4000,"TEX@KC",0,"Tex",6.03,6.9,5,7,5
