"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06"
"Manny Machado_BAL",NA,5,NA,3,NA
"Gary Sanchez_NYY",0,NA,0,3,NA
"Anthony Rizzo_CHC",3,NA,2,NA,NA
"Kris Bryant_CHC",0,NA,0,NA,NA
"Mike Trout_LAA",NA,NA,10,10,NA
"Paul Goldschmidt_ARI",8,NA,18,11,19
"Jose Altuve_HOU",NA,NA,3,0,3
"Ryan Braun_MIL",NA,2,19,9,NA
"Kyle Schwarber_CHC",10,NA,4,NA,NA
"Carlos Correa_HOU",NA,NA,2,6,2
"Chris Carter_NYY",NA,NA,NA,NA,NA
"Chris Davis_BAL",NA,5,NA,14,NA
"Josh Donaldson_TOR",NA,11,NA,3,4
"Joey Votto_CIN",NA,0,NA,14,NA
"Rougned Odor_TEX",NA,NA,3,3,NA
"Edwin Encarnacion_CLE",NA,NA,2,2,NA
"Michael Brantley_CLE",NA,NA,8,NA,NA
"Mark Trumbo_BAL",NA,21,NA,0,NA
"Ben Zobrist_CHC",4,NA,NA,NA,NA
"Jonathan Villar_MIL",NA,13,0,19,NA
"Giancarlo Stanton_MIA",NA,9,NA,0,NA
"Shin-Soo Choo_TEX",NA,NA,3,8,NA
"George Springer_HOU",NA,NA,5,27,16
"Carlos Santana_CLE",NA,NA,21,11,NA
"Todd Frazier_CWS",NA,NA,NA,NA,NA
"Brian Dozier_MIN",NA,7,NA,NA,NA
"Matt Holliday_NYY",0,NA,9,3,NA
"Adam Jones_BAL",NA,9,NA,16,NA
"Dexter Fowler_STL",7,NA,3,NA,NA
"Adrian Beltre_TEX",NA,NA,NA,NA,NA
"Khris Davis_OAK",NA,NA,2,5,NA
"Brett Gardner_NYY",3,NA,9,5,NA
"Matt Carpenter_STL",5,NA,0,NA,NA
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA
"Jason Kipnis_CLE",NA,NA,NA,NA,NA
"Francisco Lindor_CLE",NA,NA,2,46,NA
"Jose Abreu_CWS",NA,NA,NA,NA,NA
"Jose Bautista_TOR",NA,2,NA,3,6
"Yoenis Cespedes_NYM",NA,4,NA,5,9
"Mike Napoli_TEX",NA,NA,9,0,NA
"Carlos Gomez_TEX",NA,NA,0,4,NA
"Jacoby Ellsbury_NYY",2,NA,10,20,NA
"Aaron Judge_NYY",7,NA,5,0,NA
"Aledmys Diaz_STL",18,NA,0,NA,NA
"Stephen Piscotty_STL",9,NA,4,NA,NA
"Nelson Cruz_SEA",NA,NA,0,7,2
"Elvis Andrus_TEX",NA,NA,2,17,NA
"Rajai Davis_OAK",NA,NA,17,0,NA
"Jose Ramirez_CLE",NA,NA,2,7,NA
"AJ Pollock_ARI",24,NA,10,17,11
"Miguel Sano_MIN",NA,20,NA,NA,NA
"Evan Longoria_TB",21,NA,7,2,7
"Albert Pujols_LAA",NA,NA,0,5,NA
"Robinson Cano_SEA",NA,NA,7,2,3
"Jean Segura_SEA",NA,NA,0,19,13
"Javier Baez_CHC",3,NA,2,NA,NA
"Alex Bregman_HOU",NA,NA,0,7,NA
"Jake Lamb_ARI",0,NA,20,7,20
"Melky Cabrera_CWS",NA,NA,NA,NA,NA
"Starlin Castro_NYY",11,NA,0,0,NA
"Didi Gregorius_NYY",NA,NA,NA,NA,NA
"Adam Duvall_CIN",NA,8,NA,7,NA
"Willson Contreras_CHC",21,NA,7,NA,NA
"Addison Russell_CHC",3,NA,7,NA,NA
"Keon Broxton_MIL",NA,7,2,NA,NA
"Christian Yelich_MIA",NA,0,NA,8,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA
"Nomar Mazara_TEX",NA,NA,10,24,NA
"Evan Gattis_HOU",NA,NA,2,14,NA
"Yasmany Tomas_ARI",0,NA,0,10,NA
"Greg Bird_NYY",NA,NA,NA,NA,NA
"Jonathan Schoop_BAL",NA,0,NA,5,NA
"Randal Grichuk_STL",23,NA,0,NA,NA
"Billy Hamilton_CIN",NA,10,NA,7,NA
"Eric Thames_MIL",NA,13,NA,17,NA
"Domingo Santana_MIL",NA,9,11,NA,NA
"Dee Gordon_MIA",NA,0,NA,12,NA
"Jose Reyes_NYM",NA,4,NA,0,5
"Ryon Healy_OAK",NA,NA,19,0,NA
"Joey Gallo_TEX",NA,NA,19,4,NA
"Marcus Semien_OAK",NA,NA,9,3,NA
"Carlos Beltran_HOU",NA,NA,0,6,3
"Lorenzo Cain_KC",NA,9,NA,NA,NA
"Max Kepler_MIN",NA,5,NA,NA,NA
"Welington Castillo_BAL",NA,8,NA,3,NA
"Kyle Seager_SEA",NA,NA,5,8,5
