"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,5300,79.2452830188679,42,"Mookie Betts","BOS",NA,"OF",1,4,2,3,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,3300,103.030303030303,34,"Byron Buxton","MIN",NA,"OF",8,1,1,1,2,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,12500,22.52,28.15,"Corey Kluber","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,7,0,0,2,4,1,1
4,3,3400,82.3529411764706,28,"Brandon Phillips","ATL",NA,"2B",2,3,0,3,0,6,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,5000,52,26,"Gary Sanchez","NYY",NA,"C",6,2,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5,4500,57.7777777777778,26,"Lorenzo Cain","KC",NA,"OF",3,2,1,2,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,3500,74.2857142857143,26,"Ryon Healy","OAK",NA,"1B/3B",3,1,1,3,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2,5800,44.051724137931,25.55,"Francisco Liriano","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,2,5,2,0
9,7,3000,83.3333333333333,25,"Derek Fisher","HOU",NA,"OF",8,2,1,2,0,3,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,8,4200,59.5238095238095,25,"Eric Thames","MIL",NA,"1B/OF",2,2,1,3,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,9,4100,58.5365853658537,24,"Chris Taylor","LAD",NA,"2B/OF",6,1,0,2,2,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,3,4300,55,23.65,"Francis Martes","HOU",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,0,0,1,3,2,1
13,10,3100,74.1935483870968,23,"Jorge Bonifacio","KC",NA,"OF",2,1,1,3,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,11,4800,47.9166666666667,23,"Marcell Ozuna","MIA",NA,"OF",4,1,1,3,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,12,3700,62.1621621621622,23,"Curtis Granderson","NYM",NA,"OF",7,3,1,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,13,3500,65.7142857142857,23,"Kendrys Morales","TOR",NA,"1B",4,1,1,4,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,4,4200,53.3333333333333,22.4,"Jordan Zimmermann","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,8,0,0,2,6,0,0
18,14,3400,64.7058823529412,22,"Whit Merrifield","KC",NA,"2B",1,3,0,0,1,6,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,15,3300,66.6666666666667,22,"Welington Castillo","BAL",NA,"C",7,1,1,5,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5,8200,25.6707317073171,21.05,"Taijuan Walker","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,1,6,1,0
21,16,3400,61.7647058823529,21,"Trey Mancini","BAL",NA,"1B/OF",5,3,0,1,0,4,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,17,2500,84,21,"Kurt Suzuki","ATL",NA,"C",6,2,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,18,4700,44.6808510638298,21,"Jose Altuve","HOU",NA,"2B",2,3,0,0,0,3,1,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,19,3200,65.625,21,"Aledmys Diaz","STL",NA,"SS",6,2,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,6,7100,28.3802816901408,20.15,"Jhoulys Chacin","SD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,0,0,2,5,1,0
