"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"WR","Julio Jones (9490086)","Julio Jones",9490086,9300,"ATL@DET 01:00PM ET","ATL","DET",19.93,22.2,0,0,0,0,0,0
"WR","Antonio Brown (9490055)","Antonio Brown",9490055,9000,"PIT@CHI 01:00PM ET","PIT","CHI",22.58,23.2,0,0,0,0,0,0
"RB","Le'Veon Bell (9490047)","Le'Veon Bell",9490047,8800,"PIT@CHI 01:00PM ET","PIT","CHI",24.77,22.3,0,0,0,0,0,0
"WR","Odell Beckham Jr. (9490401)","Odell Beckham",9490401,8600,"NYG@PHI 01:00PM ET","NYG","PHI",18.15,19.3,0,0,0,0,0,0
"WR","A.J. Green (9490523)","AJ Green",9490523,8100,"CIN@GB 04:25PM ET","CIN","GB",20.6,20,0,0,0,0,0,0
"RB","Kareem Hunt (9490576)","Kareem Hunt",9490576,8000,"KC@LAC 04:25PM ET","KC","LAC",22.35,16.8,0,0,0,0,0,0
"WR","Jordy Nelson (9490552)","Jordy Nelson",9490552,7800,"CIN@GB 04:25PM ET","GB","CIN",16.86,17.4,0,0,0,0,0,0
"QB","Tom Brady (9490288)","Tom Brady",9490288,7700,"HOU@NE 01:00PM ET","NE","HOU",20.71,19.2,0,0,0,0,0,0
"RB","Jay Ajayi (9490321)","Jay Ajayi",9490321,7700,"MIA@NYJ 01:00PM ET","MIA","NYJ",20.15,18.7,0,0,0,0,0,0
"RB","Melvin Gordon (9490606)","Melvin Gordon",9490606,7600,"KC@LAC 04:25PM ET","LAC","KC",20.14,15.2,0,0,0,0,0,0
"WR","Mike Evans (9490236)","Mike Evans",9490236,7500,"TB@MIN 01:00PM ET","TB","MIN",18.06,18.6,0,0,0,0,0,0
"WR","Michael Crabtree (9490646)","Michael Crabtree",9490646,7400,"OAK@WAS 08:30PM ET","OAK","WAS",15.44,12.6,0,0,0,0,0,0
"WR","Brandin Cooks (9490302)","Brandin Cooks",9490302,7300,"HOU@NE 01:00PM ET","NE","HOU",13.42,12.9,0,0,0,0,0,0
