Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
WR,Julio Jones (9490086),Julio Jones,9490086,9300,ATL@DET 01:00PM ET,ATL
WR,Antonio Brown (9490055),Antonio Brown,9490055,9000,PIT@CHI 01:00PM ET,PIT
RB,Le'Veon Bell (9490047),Le'Veon Bell,9490047,8800,PIT@CHI 01:00PM ET,PIT
WR,Odell Beckham Jr. (9490401),Odell Beckham Jr.,9490401,8600,NYG@PHI 01:00PM ET,NYG
WR,A.J. Green (9490523),A.J. Green,9490523,8100,CIN@GB 04:25PM ET,CIN
RB,Kareem Hunt (9490576),Kareem Hunt,9490576,8000,KC@LAC 04:25PM ET,KC
WR,Jordy Nelson (9490552),Jordy Nelson,9490552,7800,CIN@GB 04:25PM ET,GB
QB,Tom Brady (9490288),Tom Brady,9490288,7700,HOU@NE 01:00PM ET,NE
RB,Jay Ajayi (9490321),Jay Ajayi,9490321,7700,MIA@NYJ 01:00PM ET,MIA
RB,Melvin Gordon (9490606),Melvin Gordon,9490606,7600,KC@LAC 04:25PM ET,LAC
WR,Mike Evans (9490236),Mike Evans,9490236,7500,TB@MIN 01:00PM ET,TB
WR,Michael Crabtree (9490646),Michael Crabtree,9490646,7400,OAK@WAS 08:30PM ET,OAK
WR,Brandin Cooks (9490302),Brandin Cooks,9490302,7300,HOU@NE 01:00PM ET,NE
QB,Aaron Rodgers (9490540),Aaron Rodgers,9490540,7300,CIN@GB 04:25PM ET,GB
QB,Drew Brees (9489948),Drew Brees,9489948,7200,NO@CAR 01:00PM ET,NO
WR,Keenan Allen (9490614),Keenan Allen,9490614,7200,KC@LAC 04:25PM ET,LAC
QB,Matt Ryan (9490074),Matt Ryan,9490074,7100,ATL@DET 01:00PM ET,ATL
WR,Amari Cooper (9490644),Amari Cooper,9490644,7100,OAK@WAS 08:30PM ET,OAK
RB,LeSean McCoy (9489887),LeSean McCoy,9489887,7000,DEN@BUF 01:00PM ET,BUF
WR,Michael Thomas (9489961),Michael Thomas,9489961,7000,NO@CAR 01:00PM ET,NO
WR,Golden Tate (9490123),Golden Tate,9490123,6900,ATL@DET 01:00PM ET,DET
RB,Ty Montgomery (9490542),Ty Montgomery,9490542,6900,CIN@GB 04:25PM ET,GB
TE,Rob Gronkowski (9490312),Rob Gronkowski,9490312,6800,HOU@NE 01:00PM ET,NE
WR,Jarvis Landry (9490329),Jarvis Landry,9490329,6800,MIA@NYJ 01:00PM ET,MIA
