"Place_lo","Place_hi","Payout"
"1","1","350"
"2","2","150"
"3","3","100"
"4","4","70"
"5","5","60"
"6","6","50"
"7","7","40"
"8","8","30"
"9","9","20"
"10",NA,"15"
"11","12","12"
"13","15","10"
"16","20","9"
"21","25","8"
"26","35","6"
"36","45","5"
"46","65","4"
"66","85","3.5"
"86","115","3"
"116","155","2.5"
"156","215","2"
"216","315","1.75"
"316","515","1.5"
"516","915","1.25"
"916","1715","1"
"1716","3555","0.75"
"3556","8057","0.5"
