"Charlie Blackmon_COL","Nolan Arenado_COL","Mookie Betts_BOS","Andrew McCutchen_PIT","Mike Trout_LAA","Josh Bell_PIT","Starling Marte_PIT","Mark Reynolds_COL","Gerardo Parra_COL","Josh Harrison_PIT","Gregory Polanco_PIT","Trevor Story_COL","Dustin Pedroia_BOS","DJ LeMahieu_COL","Adam Frazier_PIT","Ian Desmond_COL","David Freese_PIT","Jordy Mercer_PIT","David Dahl_COL","Xander Bogaerts_BOS","Andrew Benintendi_BOS","Hanley Ramirez_BOS","Carlos Gonzalez_COL","Jose Osuna_PIT","Jackie Bradley_BOS","Francisco Cervelli_PIT","Raimel Tapia_COL","Pat Valaika_COL","Cameron Maybin_LAA","Mitch Moreland_BOS","Chris Young_BOS","Danny Ortiz_PIT","Elias Diaz_PIT","Albert Pujols_LAA","Jefry Marte_LAA","Andrelton Simmons_LAA","Jordan Patterson_COL","Jhonny Peralta_BOS","Mike Tauchman_COL","Ben Revere_LAA","Nick Franklin_LAA","Brock Holt_BOS","CJ Cron_LAA","Alexi Amarista_COL","Stephen Cardullo_COL","Jacob Stallings_PIT","Tom Murphy_COL","Max Moroff_PIT","Yunel Escobar_LAA","Kole Calhoun_LAA","Gift Ngoepe_PIT","Cristhian Adames_COL","Martin Maldonado_LAA","Pablo Sandoval_BOS","Luis Valbuena_LAA","Danny Espinosa_LAA","Ryan Hanigan_COL","John Jaso_PIT","Tony Wolters_COL","Kevin Newman_PIT","John Bormann_PIT","Steve Selsky_BOS","Marco Hernandez_BOS","Chris Stewart_PIT","Eric Young_LAA","Deven Marrero_BOS","Josh Rutledge_BOS","Sam Travis_BOS","Tzu-Wei Lin_BOS","David Fletcher_LAA","Dustin Garneau_COL","Phil Gosselin_PIT","Chris Bostick_PIT","Sandy Leon_BOS","Christian Vazquez_BOS","Nolan Fontana_LAA","Cliff Pennington_LAA","Carlos Perez_LAA","Juan Graterol_LAA","Shane Robinson_LAA","Kaleb Cowart_LAA"
0,0,0,0.349531116794544,0,6.67636171337916,-9.58181818181818,0,0,-7.26314484126984,48.1605633802817,0,0,0,-2.11948790896159,0,-9.53434343434343,-1.53146853146853,0,0,0,0,0,-4.41190476190476,0,-10.25,0,0,0,0,0,0,-2.18589743589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.875,0,0,0,0,0,0,0,0,0,-5.23913043478261,0,0,0,0,0,7.88235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.7647058823529,27.5137529137529,0,0,0,0,0,-4.09216589861751,11.125,0,0,44.6418219461698,0,0.347470238095238,0,2.42389758179232,0,0,0,0,0,0,2.69529411764706,0,0,0,0.669117647058823,17.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.64285714285714,-10.25,0,0,0,0,0,0,0,0,0,0,0,48.9285714285714,0,1.223044397463,0,0,0,0,0,0,0,0,0,0,0,-5.37179487179487,0,0,0,0,0,0,0,0,0,0
0,0,24.2150905432596,0,0,0,0,0,0,0,0,0,41.0924657534247,0,0,0,0,0,0,6.71428571428571,11.3104895104895,18.6067755595886,0,0,2.34586466165414,0,0,0,0,-2.62823902696986,19.3947916666667,0,0,0,0,0,0,0,0,0,0,26.6805555555556,0,0,0,0,0,0,0,0,0,0,0,-0.766666666666667,0,0,0,0,0,0,0,0,-0.0606060606060606,0,0,8.19076923076923,13.3186813186813,11.1,20.6888888888889,0,0,0,0,15.5817923186344,7.01428571428571,0,0,0,0,0,0
11.6227848101266,15.0478740668614,0,0,0,0,0,5.51921613394216,-4.08771929824561,0,0,0.347470238095238,0,45.573905377608,0,6.763197586727,0,0,0,0,0,0,3.65514592933948,0,0,0,4.04779411764706,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3333333333333,2.5,0,0,0,0,0,0,0,0,0,0,0,8.38181818181818,0,-2.65333333333333,0,0,0,0,0,0,0,0,0,0,0,3.81904761904762,0,0,0,0,0,0,0,0,0,0
0,0,0,2.84615384615385,0,-0.00935374149659864,34.4444444444444,0,0,12.6489361702128,-2.11948790896159,0,0,0,53.047138047138,0,11.4636363636364,13.4611764705882,0,0,0,0,0,-18.15,0,10.9318181818182,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,-9.5,0,0,0,0,0,6.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.81176470588235,15.472850678733,0,0,0,0,0,3.2719806763285,-12.2,0,0,2.42389758179232,0,6.763197586727,0,49.1432564640112,0,0,0,0,0,0,4.85960960960961,0,0,0,28.7424242424242,-25.9469696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,0,0,0,0,0,0,4.63636363636364,0,-6.47660098522168,0,0,0,0,0,0,0,0,0,0,0,54.5714285714286,0,0,0,0,0,0,0,0,0,0
0,0,0,12.8556319407721,0,-6.19090909090909,-3.07692307692308,0,0,4.84336645236704,-9.53434343434343,0,0,0,11.4636363636364,0,28.3092757936508,9.59661016949152,0,0,0,0,0,13.7,0,7.24358974358974,0,0,0,0,0,0,1.31410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0833333333333,0,0,0,0,0,0,0,0,0,2.59941520467836,0,0,0,0,0,3.70909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7.98518518518518,0,2.64087375046279,16.2307692307692,0,0,5.21326042378674,-1.53146853146853,0,0,0,13.4611764705882,0,9.59661016949152,34.4882352941176,0,0,0,0,0,21.375,0,9.52865761689291,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,4.06773618538324,0,0,0,0,0,9.03921568627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10.4943037974684,0,0,0,0,0,0,0,0,0,6.71428571428571,0,0,0,0,0,0,50.429012345679,10.2173913043478,-0.56233538191396,0,0,4.71794871794872,0,0,0,0,6.92361720807726,15.5666666666667,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,5.9547619047619,0,0,0,0,0,0,0,0,-0.151515151515152,0,0,23.0907258064516,10.3733333333333,35.25,-18.1666666666667,0,0,0,0,18.2682926829268,-1.98205128205128,0,0,0,0,0,0
