Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,13291,Julio Jones,WR,4,ATL,CAR,0,0,0,0,0,12,300,1,0,0,0,0,51
2,732,Matt Ryan,QB,4,ATL,CAR,503,4,1,14,0,0,0,0,0,0,0,0,39.52
3,3807,Ben Roethlisberger,QB,4,PIT,KC,300,5,0,-1,0,0,0,0,0,0,0,0,36.90
4,12845,AJ Green,WR,4,CIN,MIA,0,0,0,0,0,10,173,1,0,0,0,0,36.30
5,9331,Michael Crabtree,WR,4,OAK,BAL,0,0,0,0,0,7,88,3,0,0,0,0,33.80
6,15100,Jordan Reed,TE,4,WAS,CLE,0,0,0,0,0,9,73,2,0,0,0,0,28.30
7,4358,Steve Smith,WR,4,BAL,OAK,0,0,0,0,0,8,111,1,0,0,0,0,28.10
8,16728,Dontrelle Inman,WR,4,SD,NO,0,0,0,0,0,7,120,1,0,0,0,0,28
9,16640,John Brown,WR,4,ARI,LA,0,0,0,0,0,10,144,0,0,0,0,0,27.40
10,7389,Eddie Royal,WR,4,CHI,DET,0,0,0,0,0,7,111,1,0,0,0,0,27.10
11,17916,Will Fuller,WR,4,HOU,TEN,0,0,0,0,0,7,81,1,0,0,0,0,27.10
12,14536,Russell Wilson,QB,4,SEA,NYJ,309,3,0,-5,0,0,0,0,0,0,0,0,26.86
13,16127,Isaiah Crowell,RB,4,CLE,WAS,0,0,0,120,1,3,22,0,0,0,0,0,26.20
14,13124,DeMarco Murray,RB,4,TEN,HOU,0,0,0,95,2,2,24,0,0,0,0,0,25.90
15,16245,Blake Bortles,QB,4,JAX,IND,207,2,0,36,1,0,0,0,0,0,0,0,25.88
16,14967,Le'Veon Bell,RB,4,PIT,KC,0,0,0,144,0,5,34,0,0,0,0,0,25.80
17,17923,Ezekiel Elliott,RB,4,DAL,SF,0,0,0,138,1,1,19,0,0,0,0,0,25.70
18,16776,Melvin Gordon,RB,4,SD,NO,0,0,0,36,2,6,43,0,0,0,0,0,24.90
19,16856,Matt Jones,RB,4,WAS,CLE,0,0,0,117,1,2,21,0,0,0,0,0,24.80
20,16311,Derek Carr,QB,4,OAK,BAL,199,4,0,-2,0,0,0,0,0,0,0,0,23.76
21,611,Joe Flacco,QB,4,BAL,OAK,298,1,0,1,1,0,0,0,0,0,0,0,23.02
22,8244,Philip Rivers,QB,4,SD,NO,321,2,1,0,0,0,0,0,0,0,0,0,22.84
23,11932,LeSean McCoy,RB,4,BUF,NE,0,0,0,70,0,6,38,1,0,0,0,0,22.80
24,11063,Emmanuel Sanders,WR,4,DEN,TB,0,0,0,0,0,8,88,1,0,0,0,0,22.80
25,8358,Brian Hoyer,QB,4,CHI,DET,302,2,0,-3,0,0,0,0,0,0,0,0,22.78
26,13337,Mark Ingram,RB,4,NO,SD,0,0,0,56,1,6,49,0,0,0,0,0,22.50
27,11056,Antonio Brown,WR,4,PIT,KC,0,0,0,0,0,4,64,2,0,0,0,0,22.40
28,1658,Greg Olsen,TE,4,CAR,ATL,0,0,0,0,0,6,76,1,0,0,0,0,21.60
29,11197,Demaryius Thomas,WR,4,DEN,TB,0,0,0,0,0,6,94,1,0,0,0,0,21.40
30,1589,John Kuhn,FB,4,NO,SD,0,0,0,5,2,2,7,1,0,0,0,0,21.20
31,14424,Brian Quick,WR,4,LA,ARI,0,0,0,0,0,2,69,2,0,0,0,0,20.90
32,12794,Jeremy Kerley,WR,4,SF,DAL,0,0,0,0,0,6,88,1,0,0,0,0,20.80
33,5820,Frank Gore,RB,4,IND,JAX,0,0,0,68,1,5,27,0,0,0,0,0,20.50
34,16142,Terrance West,RB,4,BAL,OAK,0,0,0,113,1,0,0,0,0,0,0,0,20.30
35,11488,Jimmy Graham,TE,4,SEA,NYJ,0,0,0,0,0,6,113,0,0,0,0,0,20.30
36,15256,Christine Michael,RB,4,SEA,NYJ,0,0,0,58,0,5,32,1,0,0,0,0,20
37,18067,Jordan Howard,RB,4,CHI,DET,0,0,0,111,0,3,21,0,0,0,0,0,19.20
38,15694,Case Keenum,QB,4,LA,ARI,266,2,0,14,0,0,0,0,0,0,0,0,19.04
39,11667,Brandon Marshall,WR,4,NYJ,SEA,0,0,0,0,0,4,89,1,0,0,0,0,18.90
40,1181,Martellus Bennett,TE,4,NE,BUF,0,0,0,0,0,5,109,0,0,0,0,0,18.90
41,6739,Alex Smith,QB,4,KC,PIT,287,2,1,2,0,0,0,0,0,0,0,0,18.68
42,14008,Andrew Luck,QB,4,IND,JAX,234,2,1,23,0,0,0,0,0,0,0,0,18.66
