Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,16597,Mike Evans,WR,9,TB,ATL,0,0,0,0,0,11,150,2,0,0,0,0,41
2,16776,Melvin Gordon,RB,9,SD,TEN,0,0,0,196,1,4,65,0,0,0,0,0,39.10
3,15071,Latavius Murray,RB,9,OAK,DEN,0,0,0,114,3,1,13,0,0,0,0,0,34.70
4,13337,Mark Ingram,RB,9,NO,SF,0,0,0,158,1,2,13,1,0,0,0,0,34.10
5,11488,Jimmy Graham,TE,9,SEA,BUF,0,0,0,0,0,8,103,2,0,0,0,0,33.30
6,16763,Marcus Mariota,QB,9,TEN,SD,313,3,2,14,1,0,0,0,0,0,0,0,31.92
7,732,Matt Ryan,QB,9,ATL,TB,344,4,0,0,0,0,0,0,0,0,0,0,31.76
8,722,Jason Witten,TE,9,DAL,CLE,0,0,0,0,0,8,134,1,0,0,0,0,30.40
9,14871,Robert Woods,WR,9,BUF,SEA,0,0,0,0,0,10,162,0,0,0,0,0,29.20
10,13291,Julio Jones,WR,9,ATL,TB,0,0,0,0,0,8,111,1,0,0,0,0,28.10
11,7242,Drew Brees,QB,9,NO,SF,323,3,0,-2,0,0,0,0,0,0,0,0,27.72
12,13443,Colin Kaepernick,QB,9,SF,NO,398,2,1,23,0,0,0,0,0,0,0,0,27.22
13,2593,Aaron Rodgers,QB,9,GB,IND,297,3,1,43,0,0,0,0,0,0,0,0,27.18
14,12831,Tyrod Taylor,QB,9,BUF,SEA,289,1,1,43,1,0,0,0,0,0,0,0,26.86
15,14536,Russell Wilson,QB,9,SEA,BUF,282,2,0,10,1,0,0,0,0,0,0,0,26.28
16,8529,Mike Wallace,WR,9,BAL,PIT,0,0,0,0,0,4,124,1,0,0,0,0,25.40
17,16909,Jay Ajayi,RB,9,MIA,NYJ,0,0,0,111,1,3,19,0,0,0,0,0,25
18,11611,Golden Tate,WR,9,DET,MIN,0,0,0,1,0,11,79,1,0,0,0,0,25
19,17960,Michael Thomas,WR,9,NO,SF,0,0,0,0,0,5,73,2,0,0,0,0,24.30
20,13788,Rishard Matthews,WR,9,TEN,SD,0,0,0,0,0,6,63,2,0,0,0,0,24.30
21,12985,DuJuan Harris,RB,9,SF,NO,0,0,0,59,0,5,83,1,0,0,0,0,24.20
22,18055,Dak Prescott,QB,9,DAL,CLE,247,3,0,20,0,0,0,0,0,0,0,0,23.88
23,4932,Eli Manning,QB,9,NYG,PHI,257,4,2,-4,0,0,0,0,0,0,0,0,23.88
24,16762,Jameis Winston,QB,9,TB,ATL,261,3,0,14,0,0,0,0,0,0,0,0,22.84
25,17923,Ezekiel Elliott,RB,9,DAL,CLE,0,0,0,92,2,1,5,0,0,0,0,0,22.70
26,16245,Blake Bortles,QB,9,JAX,KC,252,2,1,54,0,0,0,0,0,0,0,0,22.48
27,4556,Jordy Nelson,WR,9,GB,IND,0,0,0,0,0,7,94,1,0,0,0,0,22.40
28,16906,Stefon Diggs,WR,9,MIN,DET,0,0,0,12,0,13,80,0,0,0,0,0,22.20
29,11056,Antonio Brown,WR,9,PIT,BAL,0,0,0,0,0,7,85,1,0,0,0,0,21.50
30,5820,Frank Gore,RB,9,IND,GB,0,0,0,60,2,2,11,0,0,0,0,0,21.10
31,13124,DeMarco Murray,RB,9,TEN,SD,0,0,0,51,1,7,29,0,0,0,0,0,21
32,16389,Odell Beckham Jr,WR,9,NYG,PHI,0,0,0,0,0,4,46,2,0,0,0,0,20.60
33,16263,Allen Robinson,WR,9,JAX,KC,0,0,0,0,0,7,76,1,0,0,0,0,20.60
34,3807,Ben Roethlisberger,QB,9,PIT,BAL,264,1,1,3,1,0,0,0,0,0,0,0,19.86
35,15241,Quinton Patton,WR,9,SF,NO,0,0,0,0,0,6,106,0,0,0,0,0,19.60
36,17480,Eli Rogers,WR,9,PIT,BAL,0,0,0,0,0,6,103,0,0,0,0,0,19.30
37,8244,Philip Rivers,QB,9,SD,TEN,275,2,0,-3,0,0,0,0,0,0,0,0,18.70
38,16129,Taylor Gabriel,WR,9,ATL,TB,0,0,0,24,1,5,52,0,0,0,0,0,18.60
39,7884,Antonio Gates,TE,9,SD,TEN,0,0,0,0,0,5,75,1,0,0,0,0,18.50
40,17048,Tyrell Williams,WR,9,SD,TEN,0,0,0,0,0,6,65,1,0,0,0,0,18.50
41,14856,Zach Ertz,TE,9,PHI,NYG,0,0,0,0,0,8,97,0,0,0,0,0,17.70
42,14141,Cole Beasley,WR,9,DAL,CLE,0,0,0,0,0,6,56,1,0,0,0,0,17.60
43,15239,Vance McDonald,TE,9,SF,NO,0,0,0,0,0,3,84,1,0,0,0,0,17.40
44,17009,Trevor Siemian,QB,9,DEN,OAK,283,2,1,0,0,0,0,0,0,0,0,0,17.32
45,2262,Tim Hightower,RB,9,NO,SF,0,0,0,87,1,1,15,0,0,0,0,0,17.20
46,2699,Matt Forte,RB,9,NYJ,MIA,0,0,0,92,1,1,5,0,0,0,0,0,16.70
47,16797,TJ Yeldon,RB,9,JAX,KC,0,0,0,33,0,5,32,1,0,0,0,0,16.50
48,11527,Sam Bradford,QB,9,MIN,DET,273,1,0,0,0,1,5,0,0,0,0,0,16.42
49,1658,Greg Olsen,TE,9,CAR,LA,0,0,0,0,0,5,52,1,0,0,0,0,16.20
50,16451,Eric Ebron,TE,9,DET,MIN,0,0,0,0,0,7,92,0,0,0,0,0,16.20
51,11932,LeSean McCoy,RB,9,BUF,SEA,0,0,0,85,0,4,35,0,0,0,0,0,16
52,13386,Lance Kendricks,TE,9,LA,CAR,0,0,0,0,0,7,90,0,0,0,0,0,16
53,611,Joe Flacco,QB,9,BAL,PIT,241,1,1,12,0,0,0,0,0,0,0,0,15.84
54,9038,Matthew Stafford,QB,9,DET,MIN,219,2,1,0,0,0,0,0,0,0,0,0,15.76
55,13693,Terrelle Pryor,WR,9,CLE,DAL,0,0,0,0,0,5,47,1,0,0,0,0,15.70
56,17290,Adam Humphries,WR,9,TB,ATL,0,0,0,0,0,5,46,1,0,0,0,0,15.60
57,16593,Cameron Brate,TE,9,TB,ATL,0,0,0,0,0,5,43,1,0,0,0,0,15.30
58,7175,Delanie Walker,TE,9,TEN,SD,0,0,0,0,0,5,42,1,0,0,0,0,15.20
59,17920,Carson Wentz,QB,9,PHI,NYG,364,0,2,-4,0,0,0,0,0,0,0,0,15.16
60,16273,Kapri Bibbs,RB,9,DEN,OAK,0,0,0,11,0,1,69,1,0,0,0,0,15
61,18257,Jalin Marshall,WR,9,NYJ,MIA,0,0,0,0,0,3,59,1,0,0,0,0,14.90
62,8532,Kenny Britt,WR,9,LA,CAR,0,0,0,0,0,4,49,1,0,0,0,0,14.90
63,13460,Doug Baldwin,WR,9,SEA,BUF,0,0,0,0,0,6,89,0,0,0,0,0,14.90
64,15694,Case Keenum,QB,9,LA,CAR,296,1,1,0,0,0,0,0,0,0,0,0,14.84
65,15974,Jordan Matthews,WR,9,PHI,NYG,0,0,0,0,0,6,88,0,0,0,0,0,14.80
66,14008,Andrew Luck,QB,9,IND,GB,281,1,2,15,0,0,0,0,0,0,0,0,14.74
67,13320,Cam Newton,QB,9,CAR,LA,225,1,0,16,0,0,0,0,0,0,0,0,14.60
68,16232,Donte Moncrief,WR,9,IND,GB,0,0,0,0,0,3,55,1,0,0,0,0,14.50
69,14005,TY Hilton,WR,9,IND,GB,0,0,0,0,0,6,82,0,0,0,0,0,14.20
70,16470,Davante Adams,WR,9,GB,IND,0,0,0,0,0,4,41,1,0,0,0,0,14.10
71,84,San Diego Chargers,DST,9,SD,TEN,0,0,0,0,0,0,0,0,0,2,1,1,14
72,17961,Sterling Shepard,WR,9,NYG,PHI,0,0,0,0,0,3,50,1,0,0,0,0,14
73,12239,Chris Ivory,RB,9,JAX,KC,0,0,0,107,0,1,0,0,0,0,0,0,13.70
74,12551,Jordan Norwood,WR,9,DEN,OAK,0,0,0,0,0,2,56,1,0,0,0,0,13.60
75,17963,Austin Hooper,TE,9,ATL,TB,0,0,0,0,0,3,46,1,0,0,0,0,13.60
