P,P,C,1B,2B,3B,SS,OF,OF,OF
Cole Hamels,Tyler Glasnow,Austin Hedges,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,Bryce Harper,Adam Eaton,Yasmany Tomas
Luis Severino,Tyler Glasnow,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Elvis Andrus,Mike Trout,Jayson Werth,AJ Pollock
Cole Hamels,Trevor Cahill,Tony Wolters,Mark Reynolds,Cory Spangenberg,Anthony Rendon,Trevor Story,Bryce Harper,Carlos Gonzalez,Gerardo Parra
Dylan Bundy,Trevor Cahill,Jose Lobaton,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trea Turner,Charlie Blackmon,Carlos Gonzalez,Manuel Margot
Cole Hamels,Tyler Glasnow,JT Realmuto,Justin Bour,Daniel Murphy,Anthony Rendon,Adeiny Hechavarria,Bryce Harper,Giancarlo Stanton,Marcell Ozuna
Matt Shoemaker,Tanner Roark,Francisco Cervelli,Ryan Zimmerman,Daniel Murphy,Eduardo Nunez,Trea Turner,Bryce Harper,Adam Eaton,Jason Heyward
Cole Hamels,James Paxton,Stephen Vogt,Yonder Alonso,Daniel Murphy,Trevor Plouffe,Trea Turner,Bryce Harper,Khris Davis,Matt Joyce
Julio Teheran,James Paxton,Austin Hedges,Wil Myers,Yangervis Solarte,Jake Lamb,Erick Aybar,Charlie Blackmon,Giancarlo Stanton,Hunter Renfroe
Cole Hamels,James Paxton,Robinson Chirinos,Ryan Rua,Cory Spangenberg,Joey Gallo,Trea Turner,Bryce Harper,Shin-Soo Choo,Delino DeShields
Jon Lester,Tyler Glasnow,Jose Lobaton,Paul Goldschmidt,Yangervis Solarte,Jake Lamb,Jean Segura,AJ Pollock,David Peralta,Yasmany Tomas
Cole Hamels,Hector Santiago,Jose Lobaton,Chris Davis,Daniel Murphy,Manny Machado,Trea Turner,Mark Trumbo,Adam Jones,Seth Smith
Dylan Bundy,Robert Gsellman,JT Realmuto,Wil Myers,Martin Prado,Anthony Rendon,Trea Turner,Giancarlo Stanton,Christian Yelich,Marcell Ozuna
Cole Hamels,Robert Gsellman,Jose Lobaton,Matt Holliday,Starlin Castro,Chase Headley,Trea Turner,Bryce Harper,Brett Gardner,Jacoby Ellsbury
Alex Wood,Alex Cobb,Willson Contreras,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jordy Mercer,Bryce Harper,Jayson Werth,Kyle Schwarber
Cole Hamels,Dylan Bundy,Stephen Vogt,Ryon Healy,Jed Lowrie,Anthony Rendon,Trea Turner,Bryce Harper,Khris Davis,Jaff Decker
Matt Shoemaker,Robert Gsellman,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Erick Aybar,Charlie Blackmon,Giancarlo Stanton,Jayson Werth
Cole Hamels,Dylan Bundy,Mike Zunino,Danny Valencia,Cory Spangenberg,Nolan Arenado,Jean Segura,Bryce Harper,Jarrod Dyson,Ben Gamel
Jon Lester,Matt Shoemaker,Austin Hedges,Anthony Rizzo,Yangervis Solarte,Kris Bryant,Addison Russell,Kyle Schwarber,David Peralta,Jason Heyward
Cole Hamels,Tyler Glasnow,Austin Romine,Greg Bird,Starlin Castro,Anthony Rendon,Trea Turner,Bryce Harper,Jacoby Ellsbury,Aaron Judge
Julio Teheran,Trevor Cahill,Tony Wolters,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Xander Bogaerts,Bryce Harper,Jayson Werth,Nelson Cruz
Cole Hamels,James Paxton,Sandy Leon,Wil Myers,Marco Hernandez,Jake Lamb,Xander Bogaerts,Adam Eaton,Mookie Betts,Andrew Benintendi
