"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","25000"
"4","4","15000"
"5","5","10000"
"6","6","7500"
"7","8","5000"
"9","10","3000"
"11","15","2000"
"16","20","1500"
"21","30","1000"
"31","40","750"
"41","50","500"
"51","75","350"
"76","100","250"
"101","150","200"
"151","225","150"
"226","350","125"
"351","500","100"
"501","750","75"
"751","1000","50"
"1001","1500","40"
"1501","2000","35"
"2001","3000","30"
"3001","5000","25"
"5001","8000","20"
"8001","13000","15"
"13001","20000","12"
"20001","32000","10"
"32001","54000","8"
"54001","94000","6"
"94001","167175","5"
