"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","ValueWR"
"RB","Le'Veon Bell (7988957)","Le'Veon Bell",7988957,9400,"Bal@Pit 04:30PM ET","Pit","Le'Veon","Bell","Bal",22.93,25.2,2,0.171903881700555,22.8895544832942,23.7217760806806,0
"RB","David Johnson (7988933)","David Johnson",7988933,9200,"Ari@Sea 04:25PM ET","Ari","David","Johnson","Sea",22.34,21.9,2,0.215799614643545,20.8335247051359,21.553054532582,0
"RB","LeSean McCoy (7988852)","LeSean McCoy",7988852,9000,"Mia@Buf 01:00PM ET","Buf","LeSean","McCoy","Mia",20.83,19.4,4,0.12958435207824,18.8611489376018,19.4969409672207,0
"WR","Mike Evans (7988999)","Mike Evans",7988999,8500,"TB@NO 04:25PM ET","TB","Mike","Evans","NO",21.44,20.8,1,0.31041257367387,19.8737520092661,20.5567995173672,0
"WR","Antonio Brown (7989126)","Antonio Brown",7989126,8200,"Bal@Pit 04:30PM ET","Pit","Antonio","Brown","Bal",21.31,21.9,1,0.280961182994455,20.4316351512332,21.1527489389933,0
"WR","Julio Jones (7989069)","Julio Jones",7989069,8100,"Atl@Car 01:00PM ET","Atl","Julio","Jones","Car",18.94,22.6,1,0.241090146750524,19.8941943990169,20.6430496093581,0
"RB","Ezekiel Elliott (7988981)","Ezekiel Elliott",7988981,7900,"Det@Dal 08:30PM ET","Dal","Ezekiel","Elliott","Det",19.7,20,5,0.0878378378378378,18.7522084710872,19.4103926230319,0
"WR","T.Y. Hilton (7989080)","T.Y. Hilton",7989080,7800,"Ind@Oak 04:05PM ET","Ind","T.Y.","Hilton","Oak",19.25,18.5,1,0.273584905660377,17.7467069295761,18.3539471543748,0
"QB","Tom Brady (7988779)","Tom Brady",7988779,7700,"NYJ@NE 01:00PM ET","NE","Tom","Brady","NYJ",22.31,19.9,0,0,19.7152608818829,20.3659889125721,0
"QB","Drew Brees (7988774)","Drew Brees",7988774,7400,"TB@NO 04:25PM ET","NO","Drew","Brees","TB",22.88,21.2,0,0,20.6569286771172,21.3515313027344,0
"RB","Melvin Gordon (7988897)","Melvin Gordon",7988897,7400,"SD@Cle 01:00PM ET","SD","Melvin","Gordon","Cle",0,0,5,0.119587628865979,0,0,0
"QB","Matt Ryan (7988807)","Matt Ryan",7988807,7200,"Atl@Car 01:00PM ET","Atl","Matt","Ryan","Car",20.06,22.9,0,0,20.4971842612219,21.2546442966782,0
"WR","A.J. Green (7989113)","A.J. Green",7989113,7200,"Cin@Hou 08:25PM ET","Cin","A.J.","Green","Hou",15.47,17.7,1,0.216867469879518,15.8291879642501,16.4147019970095,0
"RB","Devonta Freeman (7988917)","Devonta Freeman",7988917,7100,"Atl@Car 01:00PM ET","Atl","Devonta","Freeman","Car",15.33,13,3,0.113207547169811,13.1741501893178,13.5980868785741,0
"RB","DeMarco Murray (7988878)","DeMarco Murray",7988878,7000,"Ten@Jax 01:00PM ET","Ten","DeMarco","Murray","Jax",19.86,18.7,4,0.139325842696629,18.095375019881,18.708561964248,0
"WR","Jordy Nelson (7989030)","Jordy Nelson",7989030,7000,"Min@GB 01:00PM ET","GB","Jordy","Nelson","Min",18.76,17.2,1,0.256781193490054,16.836253856975,17.3994964608019,0
"QB","Andrew Luck (7988812)","Andrew Luck",7988812,7000,"Ind@Oak 04:05PM ET","Ind","Andrew","Luck","Oak",19.98,21.1,0,0,19.4700670665496,20.1656869896788,0
"WR","Julian Edelman (7989009)","Julian Edelman",7989009,6900,"NYJ@NE 01:00PM ET","NE","Julian","Edelman","NYJ",16.1,17.7,1,0.280155642023346,16.0750039049867,16.6595491076511,0
"QB","Philip Rivers (7988797)","Philip Rivers",7988797,6900,"SD@Cle 01:00PM ET","SD","Philip","Rivers","Cle",19.06,18.7,0,0,17.7832277935488,18.3976449983538,0
"WR","Brandin Cooks (7989001)","Brandin Cooks",7989001,6800,"TB@NO 04:25PM ET","NO","Brandin","Cooks","TB",18.27,15,1,0.175972927241963,15.4278495483544,15.9161129620239,0
"QB","Kirk Cousins (7988802)","Kirk Cousins",7988802,6800,"Was@Chi 01:00PM ET","Was","Kirk","Cousins","Chi",19.08,19.1,0,0,18.0123431346602,18.640499169259,0
"QB","Derek Carr (7988814)","Derek Carr",7988814,6800,"Ind@Oak 04:05PM ET","Oak","Derek","Carr","Ind",19.48,17.8,0,0,17.4491538513537,18.0319436002433,0
"QB","Aaron Rodgers (7988790)","Aaron Rodgers",7988790,6700,"Min@GB 01:00PM ET","GB","Aaron","Rodgers","Min",20.84,18.6,0,0,18.4224274570247,19.0306649357788,0
"QB","Ben Roethlisberger (7988834)","Ben Roethlisberger",7988834,6700,"Bal@Pit 04:30PM ET","Pit","Ben","Roethlisberger","Bal",19.05,18.6,0,0,17.7239980381064,18.3349882245907,0
"QB","Cam Newton (7988810)","Cam Newton",7988810,6600,"Atl@Car 01:00PM ET","Car","Cam","Newton","Atl",20.41,19.7,0,0,18.8632553891172,19.5100204951946,0
"WR","Golden Tate (7989150)","Golden Tate",7989150,6600,"Det@Dal 08:30PM ET","Det","Golden","Tate","Dal",15.86,15,1,0.239382239382239,14.4875060290285,14.9794756022679,0
"QB","Jameis Winston (7988778)","Jameis Winston",7988778,6500,"TB@NO 04:25PM ET","TB","Jameis","Winston","NO",19.31,19.1,0,0,18.1020854622307,18.7298877969535,0
"WR","Amari Cooper (7989085)","Amari Cooper",7989085,6500,"Ind@Oak 04:05PM ET","Oak","Amari","Cooper","Ind",16.32,20.8,2,0.234657039711191,15.0542860899625,15.5696450394831,0
"RB","Todd Gurley (7988944)","Todd Gurley",7988944,6500,"SF@LA 04:25PM ET","LA","Todd","Gurley","SF",16.28,19.7,5,0.108829568788501,17.2517953331771,17.9049116587662,0
"WR","Dez Bryant (7989149)","Dez Bryant",7989149,6500,"Det@Dal 08:30PM ET","Dal","Dez","Bryant","Det",17.47,15.2,2,0.207207207207207,15.2263581522487,15.7227366195087,0
"WR","Demaryius Thomas (7989137)","Demaryius Thomas",7989137,6400,"Den@KC 08:30PM ET","Den","Demaryius","Thomas","KC",14.94,16.9,1,0.285429141716567,15.1797671058988,15.7385570135891,0
"RB","Jordan Howard (7988911)","Jordan Howard",7988911,6300,"Was@Chi 01:00PM ET","Chi","Jordan","Howard","Was",17.19,17.3,4,0.09765625,16.2789928404113,16.8480922269241,0
"WR","Alshon Jeffery (7989059)","Alshon Jeffery",7989059,6300,"Was@Chi 01:00PM ET","Chi","Alshon","Jeffery","Was",14.52,15.4,2,0.162109375,14.1859710853751,14.693770931153,0
"QB","Russell Wilson (7988818)","Russell Wilson",7988818,6300,"Ari@Sea 04:25PM ET","Sea","Russell","Wilson","Ari",17.96,18.4,14,0.0044543429844098,17.1880416120021,17.7938232351811,0
