"Paul Goldschmidt_ARI","Eric Thames_MIL","Jake Lamb_ARI","Eduardo Nunez_SF","Ryan Braun_MIL","Domingo Santana_MIL","Travis Shaw_MIL","Buster Posey_SF","AJ Pollock_ARI","Brandon Belt_SF","Brandon Crawford_SF","Wil Myers_SD","Austin Hedges_SD","Denard Span_SF","David Peralta_ARI","Chris Owings_ARI","Ryan Schimpf_SD","Hunter Pence_SF","Hernan Perez_MIL","Nick Ahmed_ARI","Manuel Margot_SD","Keon Broxton_MIL","Yangervis Solarte_SD","Alex Dickerson_SD","Hunter Renfroe_SD","Eric Sogard_MIL","Jonathan Villar_MIL","Jarrett Parker_SF","Joe Panik_SF","Christian Arroyo_SF","Nick Hundley_SF","Jeremy Hazelbaker_ARI","Yasmany Tomas_ARI","Jesus Aguilar_MIL","Mac Williamson_SF","Rey Fuentes_ARI","Travis Jankowski_SD","Nick Franklin_MIL","Gregor Blanco_ARI","Chris Iannetta_ARI","Matt Szczur_SD","Chris Herrmann_ARI","Brandon Drury_ARI","Socrates Brito_ARI","Kelby Tomlinson_SF","Daniel Descalso_ARI","Chase d'Arnaud_SD","Jett Bandy_MIL","Christian Bethancourt_SD","Aaron Hill_SF","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Allen Cordoba_SD","Gorkys Hernandez_SF","Conor Gillaspie_SF","Orlando Arcia_MIL","Cory Spangenberg_SD","Justin Ruggiano_SF","Austin Slater_SF","Michael Morse_SF","Brett Phillips_MIL","Orlando Calixte_SF","Jabari Blash_SD","Franchy Cordero_SD","Tim Federowicz_SF","Erick Aybar_SD","Hector Sanchez_SD","Jose Pirela_SD","Chris Marrero_SF","Luis Torrens_SD","Jeff Mathis_ARI"
65.4948051948052,0,8.55580693815988,0,0,0,0,0,31.089247311828,0,0,0,0,0,13.9829268292683,1.30496453900709,0,0,0,15.0683760683761,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,2.48245614035088,0,0,0,0,0,3.08333333333333,-20.9816176470588,0,7.43464052287582,11.6590909090909,0,0,15.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41025641025641
0,90.2144927536232,0,0,24.875,-4.05966386554622,18.5519568151147,0,0,0,0,0,0,0,0,0,0,0,37.7080459770115,0,0,3.39365079365079,0,0,0,3.92857142857143,3.84487179487179,0,0,0,0,0,0,1.08333333333333,0,0,0,-16.7142857142857,0,0,0,0,0,0,0,0,0,-1.97166666666667,0,0,21.7142857142857,15.65,0,0,0,0,4.98974358974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.55580693815988,0,68.9493361285814,0,0,0,0,0,-3.17241379310345,0,0,0,0,0,25.1335656213705,-3.16767676767677,0,0,0,-16.73,0,0,0,0,0,0,0,0,0,0,0,6,5.16904761904762,0,0,0,0,0,34.4621212121212,3.075,0,42.6631578947368,16,0,0,-27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25538461538462
0,0,0,44.251572327044,0,0,0,1.45990338164251,0,8.11862244897959,17.1642958748222,0,0,9.20459770114942,0,0,0,7.85416666666667,0,0,0,0,0,0,0,0,0,-7,11.6737588652482,0.329230769230769,6.29166666666667,0,0,0,5.26785714285714,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,-17.4666666666667,0,0,0,0,4.2445652173913,20.2,0,0,-6.4,0,-9,0,3.8,0,0,0,0,0,0,17.375,0,0
0,24.875,0,0,67.4444444444444,8.83766233766234,-16.8025362318841,0,0,0,0,0,0,0,0,0,0,0,-0.294117647058824,0,0,-25.7761904761905,0,0,0,0,-24.9076923076923,0,0,0,0,0,0,-5,0,0,0,-6,0,0,0,0,0,0,0,0,0,44.2435897435897,0,0,16.7857142857143,-12.0833333333333,0,0,0,0,13.4683333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-4.05966386554622,0,0,8.83766233766234,52.9010101010101,3.16984126984127,0,0,0,0,0,0,0,0,0,0,0,-9.50114942528736,0,0,0.985064011379801,0,0,0,4.06944444444444,-5.49487179487179,0,0,0,0,0,0,9.41666666666667,0,0,0,-3.33333333333333,0,0,0,0,0,0,0,0,0,-7.3695652173913,0,0,10.3595238095238,-38.5,0,0,0,0,-1.41963015647226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.5519568151147,0,0,-16.8025362318841,3.16984126984127,73.3839037927845,0,0,0,0,0,0,0,0,0,0,0,-0.726436781609195,0,0,10.1704204204204,0,0,0,11.9,1.38963414634146,0,0,0,0,0,0,23.2238095238095,0,0,0,-19.7857142857143,0,0,0,0,0,0,0,0,0,-18.2083333333333,0,0,1.1038961038961,22.75,0,0,0,0,4.83042973286876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.45990338164251,0,0,0,31.4822695035461,0,1.75264270613108,2.62210338680927,0,0,-3.31833333333333,0,0,0,10.6353276353276,0,0,0,0,0,0,0,0,0,-6.41666666666667,-0.616724738675958,8.67076923076923,8.13888888888889,0,0,0,2,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,3,0,0,0,0,-6.04940711462451,-36.6666666666667,0,0,3.16666666666667,0,7.75,0,-13.3,0,0,0,0,0,0,2.8,0,0
31.089247311828,0,-3.17241379310345,0,0,0,0,0,59.2540322580645,0,0,0,0,0,10.7687747035573,-5.20229885057471,0,0,0,18.5769230769231,0,0,0,0,0,0,0,0,0,0,0,0,-12.52,0,0,0,0,0,0,-5.88181818181818,0,19.625,15.9692307692308,0,0,18.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32083333333333
0,0,0,8.11862244897959,0,0,0,1.75264270613108,0,38.8025856044724,-3.21794871794872,0,0,9.06534090909091,0,0,0,2.72688172043011,0,0,0,0,0,0,0,0,0,-10.8,13.9574468085106,-2.12307692307692,7.8625,0,0,0,5.95833333333333,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,8.26666666666667,0,0,0,0,7.41904761904762,13.7380952380952,0,0,31.4636363636364,0,-2.3,0,1.2,0,0,0,0,0,0,-0.583333333333333,0,0
