"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Scooter Gennett","2B/OF","CIN","vs SD",5.09,"Chacin, R 4.06","L",0.292,0.375,0.247,0,0,0,5,4000,27.7,7.2,8.42,8.42,"%",33,2.1,7,1.8
"Eric Thames","1B/OF","MIL","@ MIN",4.5,"Santana, R 3.32","L",0.248,0.38,0.277,0,0,0,5,3900,26.1,8.5,8.67,8.67,"%",49,2.2,2,0.5
"Josh Harrison","2B/3B","PIT","vs DET",5.11,"Zimmermann, R 5.35","R",0.277,0.343,0.151,0,0,0,2,3900,23.9,7.4,10.42,10.42,"%",54,2.7,8,2.1
"Josh Bell","1B","PIT","vs DET",5.11,"Zimmermann, R 5.35","B",0.253,0.345,0.221,0,0,0,4,3900,25.1,7.3,10.42,10.42,"%",50,2.7,2,0.5
"David Freese","3B","PIT","vs DET",5.11,"Zimmermann, R 5.35","R",0.264,0.354,0.121,0,0,0,5,3900,20.3,6.3,9.25,9.25,"%",56,2.4,0,NA
"Travis Shaw","3B","MIL","@ MIN",4.5,"Santana, R 3.32","L",0.294,0.394,0.267,0,0,0,3,3800,26.5,9.6,9.64,9.64,"%",56,2.5,5,1.3
"Robbie Grossman","OF","MIN","vs MIL",4.5,"Suter, L 3.04","B",0.248,0.34,0.122,0,0,0,3,3800,21,6.6,8.64,8.64,"%",53,2.3,2,0.5
"Adam Jones","OF","BAL","@ LAA",4.11,"Ramirez, R 4.03","R",0.272,0.33,0.181,0,0,0,1,3800,23.9,7.8,8.64,8.64,"%",51,2.3,9,2.4
"Trey Mancini","1B/OF","BAL","@ LAA",4.11,"Ramirez, R 4.03","R",0.3,0.373,0.224,0,0,0,5,3800,24.7,7.7,7.89,7.89,"%",45,2.1,0,NA
"Manuel Margot","OF","SD","@ CIN",4.41,"Adleman, R 5.42","R",0.274,0.318,0.148,0,0,0,1,3800,24.9,7.4,9.71,9.71,"%",49,2.6,5,1.3
"Dee Gordon","2B","MIA","@ WSH",2.93,"Scherzer, R 2.20","L",0.297,0.315,0.065,0,0,0,1,3800,21.1,8.6,6.74,6.74,"%",58,1.8,0,NA
"Brian Goodwin","OF","WSH","vs MIA",5.57,"O'Grady, L 5.40","L",0.243,0.339,0.243,0,0,0,1,3800,27.4,7,10.94,10.94,"%",41,2.9,0,NA
"Brandon Moss","OF","KC","vs STL",4.38,"Martinez, R 3.54","L",0.2,0.299,0.204,0,0,0,6,3700,20.3,5.7,6.19,6.19,"%",38,1.7,14,3.8
"Welington Castillo","C","BAL","@ LAA",4.11,"Ramirez, R 4.03","R",0.284,0.334,0.169,0,0,0,8,3700,20,7.2,5.1,5.1,"%",48,1.4,8,2.2
"Chris Davis","1B","BAL","@ LAA",4.11,"Ramirez, R 4.03","L",0.216,0.329,0.223,0,0,0,4,3700,25.4,7.3,8.77,8.77,"%",43,2.4,5,1.4
"Yangervis Solarte","2B","SD","@ CIN",4.41,"Adleman, R 5.42","B",0.265,0.34,0.16,0,0,0,4,3700,22.1,7,8.5,8.5,"%",51,2.3,8,2.2
"Eugenio Suarez","3B","CIN","vs SD",5.09,"Chacin, R 4.06","R",0.257,0.358,0.202,0,0,0,6,3700,22.1,7.5,7.39,7.39,"%",51,2,2,0.5
"Hunter Renfroe","OF","SD","@ CIN",4.41,"Adleman, R 5.42","R",0.235,0.32,0.227,0,0,0,6,3700,21.4,6.9,6.92,6.92,"%",47,1.9,2,0.5
"Matt Carpenter","1B","STL","@ KC",4.62,"Kennedy, R 4.60","L",0.244,0.36,0.19,0,0,0,1,3600,22.6,7.6,9.85,9.85,"%",58,2.7,23,6.4
"Orlando Arcia","SS","MIL","@ MIN",4.5,"Santana, R 3.32","R",0.285,0.33,0.144,0,0,0,7,3600,18.6,6.5,5.82,5.82,"%",51,1.6,2,0.6
"Domingo Santana","OF","MIL","@ MIN",4.5,"Santana, R 3.32","R",0.28,0.372,0.201,0,0,0,1,3600,24.2,8.2,9.5,9.5,"%",55,2.6,4,1.1
"Joe Mauer","1B","MIN","vs MIL",4.5,"Suter, L 3.04","L",0.277,0.343,0.109,0,0,0,2,3600,20.6,6.9,8.9,8.9,"%",58,2.5,4,1.1
"C.J. Cron","1B","LAA","vs BAL",4.89,"Bundy, R 4.24","R",0.238,0.295,0.146,0,0,0,7,3600,19.5,5.6,8.36,8.36,"%",50,2.3,0,NA
"Cameron Maybin","OF","LAA","vs BAL",4.89,"Bundy, R 4.24","R",0.238,0.322,0.13,0,0,0,1,3600,25.8,8.4,8.49,8.49,"%",48,2.4,3,0.8
"Albert Pujols","1B","LAA","vs BAL",4.89,"Bundy, R 4.24","R",0.229,0.284,0.15,0,0,0,3,3600,23.7,6.6,9.18,9.18,"%",45,2.6,0,NA
"Wil Myers","1B","SD","@ CIN",4.41,"Adleman, R 5.42","R",0.242,0.338,0.217,0,0,0,5,3600,22.8,8.1,8.13,8.13,"%",55,2.3,0,NA
"Marcell Ozuna","OF","MIA","@ WSH",2.93,"Scherzer, R 2.20","R",0.305,0.389,0.246,0,0,0,4,3600,24.1,9.1,6.28,6.28,"%",51,1.7,0,NA
"Ben Zobrist","2B/OF","CHC","@ SF",4.55,"Moore, L 5.80","B",0.227,0.308,0.144,0,0,0,5,3600,21.3,6.3,8.38,8.38,"%",49,2.3,2,0.6
"Eric Hosmer","1B","KC","vs STL",4.38,"Martinez, R 3.54","L",0.316,0.375,0.175,0,0,0,3,3500,23.7,8.4,8.45,8.45,"%",55,2.4,14,4
"Jose Martinez","1B/OF","STL","@ KC",4.62,"Kennedy, R 4.60","R",0.281,0.359,0.194,0,0,0,4,3500,20.6,5.2,8,8,"%",39,2.3,8,2.3
"Mikie Mahtook","OF","DET","@ PIT",3.89,"Williams, R 4.56","R",0.283,0.341,0.161,0,0,0,6,3500,17,5.6,5.82,5.82,"%",50,1.7,0,NA
