"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk.Lag1.Snaps","Wk.Lag1.Snap.Pct","Wk.Lag1.Rush.Pct","Wk.Lag1.Tgt.Pct","Wk.Lag1.Touch.Pct","Wk.Lag1.Util.Pct","Wk.Lag2.Snaps","Wk.Lag2.Snap.Pct","Wk.Lag2.Rush.Pct","Wk.Lag2.Tgt.Pct","Wk.Lag2.Touch.Pct","Wk.Lag2.Util.Pct","Wk.Lag3.Snaps","Wk.Lag3.Snap.Pct","Wk.Lag3.Rush.Pct","Wk.Lag3.Tgt.Pct","Wk.Lag3.Touch.Pct","Wk.Lag3.Util.Pct","Wk.Lag1.Rush.Yds","Wk.Lag1.Rush.TDs","Wk.Lag1.Rec","Wk.Lag1.Rec.Yds","Wk.Lag1.Rec.TDs","Wk.Lag2.Rush.Yds","Wk.Lag2.Rush.TDs","Wk.Lag2.Rec","Wk.Lag2.Rec.Yds","Wk.Lag2.Rec.TDs","Wk.Lag3.Rush.Yds","Wk.Lag3.Rush.TDs","Wk.Lag3.Rec","Wk.Lag3.Rec.Yds","Wk.Lag3.Rec.TDs","Value"
1,"0",5000,18,-0.19,-0.05,-0.14,0,0,0,0,0,8.3,8.3,6.7,0.7,6.3,9.9,9.9,12,5.8,14,13.3,4,5,7.8,7.3,14.6,14,26,0,0.240740740740741,2,1,4,51,75,0,14,6,14,64,96,0,17,11,17,64,96,0,17,11,17,0,0,3,48,0,0,0,4,33,0,0,0,7,76,0,0
5,"0",4800,23.8,0.08,0.09,0.07,0,0,0,0,0,7.7,7.3,6,1.2,9.2,10.3,10.3,10,6.3,25.1,12.4,23,7,8,11.4,11.5,13,22,0,0.176,3,2,5,58,88,0,14,7,14,62,86,0,8,7,8,62,86,0,8,7,8,0,0,4,40,0,0,0,5,64,0,0,0,4,75,0,0
3,"0",4700,25.8,0.03,0.02,0.01,0,0.2,0.2,0,5.7,5,3.9,7.3,0.2,7,7.7,7.7,12,1.2,9,14.3,16,23,5.7,4,13.4,8,14,0,0.110236220472441,6,4,6,62,87,0,7,5,7,51,73,0,12,8,12,51,73,0,12,8,12,0,0,3,27,0,0,0,1,30,0,0,0,4,94,0,0
2,"0",4600,19.5,-0.05,-0.06,-0.07,0,0,0,0,0,5,6.2,5,0.8,9.5,11.8,11.8,8,4.5,18.7,8.8,5,3,10,12.1,13.4,11,15,1,0.132743362831858,3,3,2,66,99,0,5,5,5,50,89,0,8,8,8,50,89,0,8,8,8,0,0,3,70,0,0,0,4,91,0,0,0,4,34,1,0
24,"0",4400,29,0.17,0.23,0.15,0,0,0,0,0,6.7,5.2,6.1,1.2,11.2,12.4,12.4,10,4.1,17.5,12.7,29,24,12.9,15.1,9.1,11,20,1,0.192307692307692,2,2,2,51,85,0,18,12,18,50,74,0,12,6,12,44,60,0,11,5,11,0,0,6,69,0,0,0,3,61,1,0,0,2,71,0,0
3,"0",4400,19.5,-0.16,-0.27,-0.23,0,0,0,0,0,8.3,5.1,7.9,0.4,7,13.8,13.8,13,1.6,12,9.8,2,1,7.7,15.2,18.4,17,24,1,0.212389380530973,1,2,2,56,82,0,20,7,20,46,61,0,13,13,13,63,89,2,13,13,14,0,0,4,37,0,0,0,6,92,0,9,0,7,54,1,0
25,"0",4300,20.3,0.13,0.2,0.18,1.3,1,1.4,0.2,4,10.3,7.8,8.5,1,7.3,17,17,17,-2.5,24.9,13.9,28,29,34.9,6.2,9.8,15,32,0,0.316831683168317,1,1,2,78,95,5,18,22,30,46,89,0,15,7,15,46,89,0,15,7,15,21,0,8,144,0,0,0,3,32,0,0,0,3,68,0,0
14,"0",4200,27.8,0.06,0.1,0.2,0,0.1,0,0,0,8.3,5.9,4.8,1.2,7.7,15.2,15.2,8,3.8,17.1,10.7,26,31,17.8,15.9,11.8,16,25,2,0.2,1,1,1,44,62,0,16,9,16,48,72,0,17,13,17,47,81,0,21,13,21,0,0,4,78,1,0,0,6,39,1,0,0,6,58,0,0
1,"0",4200,25.5,-0.07,0.12,-0.14,0,0,0,0,0,5.3,7.6,4.7,1.2,7,11.2,11.2,8,5.6,19.7,9.4,22,20,12.2,14.8,6.5,13,18,3,0.146341463414634,4,5,1,53,78,0,11,8,11,67,85,0,10,6,10,54,83,0,6,6,6,0,0,4,22,1,0,0,4,48,1,0,0,3,35,0,0
2,"0",4000,27.8,0.06,0.1,0.2,0,0,0,0,0,6.7,6.5,6,1.1,7.2,8.8,8.8,10,6.2,15.5,11.3,26,31,10.9,4.5,11.1,13,20,0,0.16,4,4,3,55,78,0,13,9,13,40,69,0,15,15,15,40,69,0,15,15,15,0,0,5,59,0,0,0,2,25,0,0,0,6,51,0,0
29,"0",3900,22.8,0.04,0.21,-0.01,0,0,0,0,0,8.3,5.3,6.9,1.1,7.5,13.8,13.8,11,0.1,19.3,13,20,15,14.3,12.5,14.5,20,27,0,0.262135922330097,1,1,2,30,44,0,23,23,23,41,60,0,15,12,15,49,63,0,25,16,25,0,0,7,73,0,0,0,5,75,0,0,0,8,65,0,0
9,"0",3800,25,0.07,0.06,-0.07,0,0,0,0,0,7.3,7.3,5.5,1.3,8.4,13.8,13.8,9,8.3,19.4,10.7,25,16,20.1,9.6,11.8,17,22,1,0.158273381294964,1,3,3,72,89,0,15,10,15,37,60,0,14,11,14,54,78,0,11,11,11,0,0,7,71,1,0,0,4,56,0,0,0,6,58,0,0
0,"0",3600,22.3,-0.01,0.04,0.09,0,0.1,0.2,0,5.5,3.3,5.9,2.9,0.9,7.9,10.7,10.7,5,3.1,19.8,6.2,17,27,4.3,20,7.8,9,11,2,0.114583333333333,3,5,1,13,20,0,15,15,15,19,24,0,21,21,21,19,27,0,21,16,21,0,0,2,23,0,0,0,4,48,2,0,0,3,48,0,0
1,"0",3600,25.5,-0.11,-0.05,-0.07,0.3,0.3,0,0,6,4,3.5,3.4,0.3,15.3,9.3,9.3,5,3.3,11.7,6.1,5,7,8,12.3,7.6,7,11,0,0.0948275862068965,5,5,6,40,67,0,10,8,10,35,47,3,14,9,17,44,65,0,7,5,7,0,0,3,50,0,6,0,2,97,0,0,0,2,56,0,0
0,"0",3500,20.8,-0.14,-0.04,-0.01,0,0,0,0,0,5.3,3.7,3.4,0.6,8,8.7,8.7,6,-0.7,14.9,6.4,3,10,10.7,5.5,9.9,6,15,1,0.121951219512195,5,4,2,40,62,0,15,5,15,60,82,0,7,3,7,60,82,0,7,3,7,0,0,2,27,1,0,0,3,25,0,0,0,2,19,1,0
1,"0",3200,26.8,0.04,0.16,0.05,0.3,0.3,0,0,4,5,6.6,4.3,0.8,7.7,8.4,8.4,7,4.8,13.1,6.9,21,26,5.2,6.9,13.1,9,17,0,0.146551724137931,4,3,3,60,90,2,5,5,7,55,97,0,7,7,7,55,97,0,7,7,7,-2,0,2,34,0,0,0,3,39,0,0,0,4,91,0,0
