"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Chris Archer","P","TB","vs KC",3.18,"Hammel, R 5.53","R",3.57,0,0,6.5,9.6,1.21,NA,10800,34.6,19.5,23.22,23.22,"%",71,2.2,40.4,3.7
"Yu Darvish","P","TEX","vs SD",3.45,"Perdomo, R 4.03","R",2.56,0,0,6.5,9.1,1.12,NA,10700,43.6,21.5,23.25,23.25,"%",53,2.2,15.3,1.4
"Stephen Strasburg","P","WSH","vs BAL",3.19,"Miley, L 2.27","R",2.66,0,0,6.8,7.9,1.06,NA,10400,33,21,20.54,20.54,"%",70,2,14.9,1.4
"Danny Salazar","P","CLE","@ TOR",3.39,"Liriano, L 4.44","R",4.28,0,0,5.6,13.2,1.49,NA,9700,27.5,19.8,17.97,17.97,"%",76,1.9,-0.2,NA
"Kenta Maeda","P","LAD","vs PIT",2.98,"Kuhl, R 5.54","R",5.81,0,0,5.2,10,1.32,NA,9200,36.8,13.9,19.65,19.65,"%",38,2.1,25.75,2.8
"Andrew Triggs","P","OAK","vs LAA",3.34,"Chavez, R 4.71","R",2.34,0,0,5.8,7,1.04,NA,8500,38.6,17.8,17.93,17.93,"%",42,2.1,19.9,2.3
"Jesse Chavez","P","LAA","@ OAK",4.16,"Triggs, R 2.34","R",4.71,0,0,5.2,7.4,1.35,NA,8300,30.4,11.8,10.81,10.81,"%",17,1.3,15.15,1.8
"Lance Lynn","P","STL","@ MIA",4.68,"Koehler, R 5.40","R",2.04,0,0,5.9,7.9,1.08,NA,8400,27.7,19.4,12.22,12.22,"%",60,1.5,5.6,0.7
"Yovani Gallardo","P","SEA","@ PHI",4.41,"Eflin, R 2.77","R",4.46,0,0,5.7,6.8,1.43,NA,8000,27.4,11.6,10.69,10.69,"%",28,1.3,3.05,0.4
"Kyle Hendricks","P","CHC","@ COL",4.99,"Marquez, R 7.31","R",3.51,0,0,5.6,7.2,1.23,NA,7800,22,14.3,11.16,11.16,"%",62,1.4,20.65,2.6
"Francisco Liriano","P","TOR","vs CLE",4.11,"Salazar, R 4.28","L",4.44,0,0,4.4,10.2,1.71,NA,7700,41.3,12.2,14.52,14.52,"%",0,1.9,-14.3,NA
"Joe Musgrove","P","HOU","vs ATL",3.66,"Garcia, L 3.99","R",5.4,0,0,5.3,6.8,1.42,NA,7700,24.5,9.6,14.23,14.23,"%",46,1.8,17.3,2.2
"Jason Hammel","P","KC","@ TB",4.32,"Archer, R 3.57","R",5.53,0,0,4.6,8.2,1.66,NA,7600,25.3,8.9,9.58,9.58,"%",11,1.3,6.75,0.9
"Jaime Garcia","P","ATL","@ HOU",5.34,"Musgrove, R 5.40","L",3.99,0,0,5.9,5.2,1.33,NA,7600,19.8,10.8,7.85,7.85,"%",45,1,6.9,0.9
"Wade Miley","P","BAL","@ WSH",4.31,"Strasburg, R 2.66","L",2.27,0,0,5.3,10.7,1.33,NA,6500,34.1,18.2,11.63,11.63,"%",38,1.8,11.85,1.8
"Matt Cain","P","SF","@ NYM",4.35,"Milone, L 6.43","R",4.7,0,0,5.1,7.1,1.53,NA,6300,37,10.8,10.11,10.11,"%",0,1.6,9.65,1.5
"Tom Koehler","P","MIA","vs STL",4.32,"Lynn, R 2.04","R",5.4,0,0,5,6.8,1.4,NA,6300,21.9,9.3,9.58,9.58,"%",34,1.5,8.6,1.4
"Chase Anderson","P","MIL","vs BOS",4.49,"Kendrick, R 13.50","R",2.86,0,0,5.8,7.8,1.18,NA,6200,29.1,16.5,12.24,12.24,"%",49,2,8.5,1.4
"Luis Perdomo","P","SD","@ TEX",5.05,"Darvish, R 2.56","R",4.03,0,0,5.6,7.2,1.25,NA,6000,20,12.1,8.62,8.62,"%",53,1.4,15.5,2.6
