"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
3,"0",5000,21,0.18,-0.25,0.07,0,0,0,0,0,4,6.3,6.7,0.3,9.9,9,12.2,13,4.7,19.7,13,13,8,9,4,14.1,15,24,1,0.158940397350993,2,2,2,0
4,"0",4900,19,-0.19,0.15,-0.03,0,0,0,0,0,8.3,7.8,6.8,0.8,7.5,9.6,12.5,11,8.1,16.9,9,5,10,9.1,12,7.7,27,40,1,0.209424083769634,1,2,3,0
8,"0",4700,28.5,0.01,0.46,0.17,0.3,0.4,0,0,2.5,7.7,6.2,5.2,0.8,13.6,18.9,15.3,8,4.1,26.6,11.1,24,29,34.9,13.8,8,19,30,2,0.153846153846154,3,2,3,0
3,"0",4700,21.8,-0.08,0.15,0.07,0,0,0,0,0,7.3,6.8,6.1,1.3,8.4,10.7,10.9,11,8.9,12.9,12.3,18,20,0,12.7,8,15,26,1,0.159509202453988,4,2,2,0
4,"0",4600,28,-0.1,0.11,0.05,0.3,0.2,0,0,2,3.3,4,4,0.2,11.8,6.6,9,6,0.8,17.2,7.5,14,21,18.6,0,1.3,12,21,1,0.125,4,4,3,0
12,"0",4500,26,0.22,-0.34,0.22,0,0,0.3,0,0,10.3,7.6,5.8,0.4,6.5,14.2,9.3,10,-1.8,20.5,14,25,32,2.1,27.4,13,19,38,0,0.193877551020408,2,2,4,0
7,"0",4400,23.3,-0.02,0.18,0.1,1.3,1,0.4,0.2,0,5,6.2,7,0.6,4.3,5.9,6.5,12,3.1,9.9,14,11,14,7.5,3.1,7.2,17,34,0,0.182795698924731,5,2,6,1
1,"0",4400,21,0.14,-0.59,-0.11,0.3,0.2,0,0,7,5,6.6,5.4,0.6,10.1,13.3,13.4,9,11.4,15.4,10.3,16,27,15.3,10.3,14.3,27,35,1,0.217391304347826,1,2,3,1
2,"0",4400,21,-0.18,-0.29,-0.27,0,0,0,0,0,4.3,6.2,4,1.6,7.5,11.5,12.4,8,7.2,17.7,8,1,4,12.5,4.1,17.8,21,30,2,0.153846153846154,3,4,1,0
0,"0",4300,19.3,-0.23,-0.22,-0.39,0,0,0,0,0,4.3,5.2,4.4,1.2,7.5,5.5,8.5,8,1.5,15.5,9.1,2,3,6.3,4.2,6.1,16,27,1,0.158823529411765,4,2,4,0
4,"1",4300,22.3,-0.25,0.16,-0.13,0.3,0.2,0.2,0,3,3.3,4.2,6.7,0.6,11.5,8,8.3,12,3.4,13.1,12.5,5,3,4.6,13.7,5.7,11,21,1,0.0995260663507109,6,4,4,0
22,"0",4300,25.5,0,-0.08,-0.05,0,0,0,0,0,8.3,7.8,5.9,1.5,7.4,14.7,14,9,9.4,18.5,12.1,20,11,0,14.4,20.1,21,30,2,0.173410404624277,1,2,1,1
3,"1",4200,25.8,-0.11,0.42,0.01,0,0,0,0,0,8,6.2,5.8,0.4,6.3,10.5,7.9,10,2.4,13.5,10,22,18,4.6,15.9,11.1,20,32,0,0.228571428571429,1,1,6,0
3,"0",4200,26,0.22,-0.34,0.22,0,0,0,0,0,7,6.8,4.9,1.2,5,7.7,8.2,8,3.4,13,10.8,25,32,0,12.6,10.5,12,32,2,0.163265306122449,4,3,2,0
2,"0",4200,23,-0.22,-0.26,0.06,0,0,0,0,0,4.7,5.2,4.1,0.8,9.4,6.7,9.1,7,3.8,14.4,7,4,17,0,10,10,16,27,1,0.139175257731959,3,3,2,0
