"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
1,"0",5000,24.5,0.1,-0.26,0.03,0,0,0,0,0,7.3,7.3,7,0.8,9,13.3,15.2,11,5,25.3,14.9,21,22,21.7,6.6,11.6,43,58,4,0.153846153846154,3,3,3,0
4,"0",5000,26.3,-0.18,0.16,-0.06,0,0.1,0,0,3,5.7,7.1,5.7,1,10.3,7.1,14.8,10,3.3,26.4,11.5,17,9,0,1.5,6.3,37,74,4,0.22289156626506,3,2,2,0
10,"0",4900,22.8,0.03,0.09,-0.09,0.3,0.1,0,0,6,8.7,7.1,6.9,0.9,7.9,18.1,11.7,12,3,20.4,11.6,24,7,0,29.2,9,40,61,1,0.221014492753623,1,1,3,0
1,"1",4800,25.5,0.03,-0.2,0,0,0,0,0,0,8,7,5.9,0.8,7.4,8.6,10.1,10,3.6,16.6,12.3,25,29,0,0,7.8,30,61,1,0.167123287671233,4,4,4,0
7,"0",4700,24.3,-0.01,-0.08,0.17,0,0,0,0,0,6.7,6.8,6.7,0.4,7,12.5,12.1,11,5.8,18.3,11.6,16,32,15.2,14,0,36,55,3,0.17515923566879,2,2,2,0
1,"0",4700,18.8,-0.13,-0.09,-0.26,0.3,0.4,0.8,0.1,9,8.3,4.4,5,0.4,7.8,14.5,7.9,9,-1.7,17.4,9.5,2,2,3.9,0,27.9,18,33,2,0.0859375,5,5,3,0
2,"0",4700,18.8,0.09,-0.04,-0.08,0,0,0.2,0,0,6.7,6.3,7.5,0.8,9.2,14.1,12.8,13,0.9,24.7,13.9,20,4,4.7,7.1,0,13,25,2,0.0700280112044818,7,7,3,0
23,"0",4500,26,0.07,0.1,0.06,1.3,1,0,0,6.3,8,4.6,6.6,0.8,7.9,15.9,10.4,11,3.5,17.4,12.3,28,30,20.1,6.2,21.5,32,40,4,0.121951219512195,2,4,1,0
9,"0",4300,26.8,0.09,0.34,0.15,0,0,0,0,0,6.7,5.8,4.9,0.7,8,13.7,11,8,3.9,18.1,9,32,31,14.2,19.3,0,23,35,2,0.0938337801608579,4,5,4,0
3,"0",4200,25.3,0.13,0.07,-0.01,0.3,0.1,0,0,15,4.3,4.3,4.3,0.3,10.8,12.4,10.8,7,0.3,21.4,7.6,29,16,8.8,8.4,19.9,21,29,3,0.088145896656535,5,5,3,0
2,"0",4100,18.8,-0.13,-0.09,-0.26,0.3,0.1,0.8,0,10,5,6.6,5,0.5,7.2,10.4,9.8,9,1,18.5,9.9,2,2,6,0,14.9,30,55,1,0.143229166666667,3,3,4,0
2,"0",4100,19,-0.1,-0.04,0,0,0,0,0,0,5.3,6,6.8,0.5,8.5,8.7,10.3,11,3.4,17.3,12.4,6,8,18.3,2.8,0,31,48,1,0.181132075471698,2,2,4,1
6,"0",4100,20.8,0.03,0,0.02,0,0,0,0,0,7.3,7.4,6.4,1.2,6.8,8.7,10.1,11,3.6,16.5,12,25,17,3.3,0,22.8,33,69,2,0.176020408163265,3,2,3,0
14,"0",4100,17.3,0.06,-0.14,-0.02,0,0.1,0,0.1,6,2,5.9,5.6,0.7,9.3,5.9,12,9,0.5,23.5,10.1,9,12,12,0,3.4,30,45,2,0.138461538461538,4,3,2,0
