"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
2,"0",5000,24.8,0.06,0.17,0.05,1.3,1.1,0.4,0.3,6.7,7,5.2,5.6,0.9,7.8,18.3,12.4,10,3.7,21.1,10,26,17,12.2,32.5,10.1,51,63,5,0.145833333333333,2,2,1,1
12,"0",5000,23,0.03,0.32,0.04,0,0.1,0,0,-2,8.3,5.9,6.9,1,7.8,11.5,10.5,11,2.8,18.2,11.4,31,31,20.5,6.8,7.2,41,75,5,0.167785234899329,4,2,1,0
3,"0",5000,17.5,-0.16,-0.03,-0.23,0,0,0,0,0,7,9.6,8.8,1.3,5.4,7.1,13.3,15,4.8,21.8,13.7,2,2,6.1,4.4,10.8,56,121,6,0.244444444444444,1,1,1,0
5,"1",5000,22.3,-0.05,-0.07,-0.07,0,0.9,0.5,0.2,3.3,5,7.3,6.8,1.2,7.2,10.8,13.2,13,6,20.4,11,5,8,10.9,10.1,11.4,59,85,5,0.171370967741935,3,3,3,0
12,"0",4900,23,0.03,0.32,0.04,0,0.1,0.3,0,3,7.7,5.4,6.9,0.7,7.3,13.1,7.9,11,2.9,12.9,13.2,31,31,10.6,11.2,17.4,43,66,1,0.147651006711409,3,3,4,0
2,"0",4900,24.8,-0.09,0,0.05,0,0.1,0,0,3,6,7,6.1,0.9,9.5,4.5,13.2,11,2.1,24.3,12.5,12,22,0,9.4,2.5,42,87,4,0.19683257918552,4,2,3,0
2,"0",4900,19.8,-0.02,0.59,0.09,0,0,0,0,0,4.3,6.3,5.9,0.7,8.6,9.5,11.4,9,3.9,18.8,8.8,32,32,2,24.9,0,43,77,4,0.185542168674699,2,2,1,0
2,"0",4900,19.3,-0.01,-0.12,-0.07,0.7,0.4,0.2,0,6.2,7,7.8,7.4,0.7,9.2,11,14.8,12,8.6,21,11.7,8,7,11.9,8.6,12.5,58,96,4,0.192384769539078,2,1,1,0
10,"0",4800,23.8,0.13,-0.13,0.11,0,0,0,0,0,6.7,5.6,5.7,0.3,8.6,16.4,10.1,9,1,19.3,9.9,28,29,12.9,26.9,0,42,75,3,0.17688679245283,2,2,4,1
4,"0",4700,20.5,-0.2,0.08,-0.11,0,0.1,0,0,11,8.3,5.8,5.8,0.6,9.4,15.1,11.6,10,4.9,18.2,12.2,10,5,14.6,13.3,17.5,53,71,3,0.163594470046083,3,3,2,0
