"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
20,"0",5000,25.5,0.06,-0.23,0.1,0,0,0,0,0,6.3,6.6,6.7,1.3,10,10.4,12.9,11,4.4,21.4,14.2,13,13,1.4,24,5.8,33,51,2,0.174657534246575,2,2,4,1
2,"1",4900,17.8,-0.02,0.05,0.07,0,0,0,0,0,9.7,8,6,1.4,7.9,14.6,12.5,11,7.6,17.4,11.2,11,24,22.8,8.5,12.4,31,57,2,0.18936877076412,3,2,3,0
6,"0",4800,24.3,0.15,-0.32,0.26,0,0,0,0,0,4.7,6,7,0.5,8.2,7.3,10.3,12,3.6,16.9,15.6,23,28,0,5,7.8,23,35,1,0.166666666666667,2,2,2,0
3,"0",4700,19.3,-0.14,-0.14,-0.35,0.3,0.8,0.4,0.1,0.5,10.3,7.8,7.6,0.8,7,20.1,11.6,14,1.7,21.5,15,1,2,11.2,15.3,33.8,38,67,2,0.227118644067797,1,2,4,1
1,"0",4600,23,-0.11,0.06,-0.15,0,0,0,0,0,7.3,6.9,6.6,0.4,7,6,11.3,11,4.3,18.4,11.5,5,7,0,8.2,6.5,33,48,2,0.172661870503597,2,2,2,0
12,"0",4500,21,0.01,-0.15,-0.04,0,0,0.2,0,0,6.5,6.5,5.6,1,13.3,19.6,19.6,10,4.4,34.9,10.4,10,14,0,0,0,7,12,2,0.04,7,7,3,0
5,"0",4400,22,0.11,-0.2,0.04,0.3,0.2,0,0,15,6,4.4,5.1,0,11.5,17.8,11.7,9,-1,24.5,9.5,20,12,19.9,3.2,30.3,17,22,2,0.0846153846153846,5,6,4,0
17,"0",4400,20.8,0.17,-0.26,0.07,0,0,0,0,0,7.3,6.9,6.6,0.4,11.1,18.5,14.4,11,4.5,24.2,12.1,27,31,0,7.3,35.6,34,52,2,0.218487394957983,2,2,2,0
10,"0",4300,24.8,-0.11,-0.24,0.03,0,0.3,0,0,2.5,5.3,5.1,4.4,0.6,11.8,12.1,11.1,7,-0.5,22.8,8.9,7,26,0,1.4,0,20,34,2,0.123188405797101,4,3,4,0
6,"0",4200,20.8,0.17,-0.26,0.07,2.3,1.9,2,0.4,4.8,9.7,9.1,7.5,1,4.7,14.6,12,16,4,20,14.4,27,31,0,22.7,5.6,36,63,2,0.264705882352941,1,1,2,0
3,"0",4100,24,0.13,0.03,0,0,0,0,0,0,3.3,4.6,5.6,0.4,6.2,6.4,6.4,10,-0.2,13,11.6,26,17,0,2.7,16.6,13,31,2,0.147619047619048,3,3,1,0
1,"0",4100,26.8,0.1,0.06,0.01,0,0,0,0,0,8,6.3,5.7,1.1,6.8,14.2,10.7,10,2.6,18.7,13.3,26,27,23.4,3.6,15.7,34,53,3,0.186619718309859,2,2,2,0
4,"0",4000,24,0.13,0.03,0,0,0,0,0,0,8.3,8.1,6.2,0.7,5.8,11.3,11.2,11,1.6,20.7,11.1,26,17,0,3.5,3.2,31,58,2,0.276190476190476,1,1,1,0
10,"1",3900,24.3,0.15,-0.32,0.26,0,0,0,0,0,4,4.6,4.8,0.3,9.9,9.1,9.8,8,1.4,18.2,9.4,23,28,0,24,3.2,18,32,3,0.152380952380952,3,3,1,0
1,"0",3900,23.8,-0.05,-0.03,0.06,0.7,0.9,0,0,6,5,4.6,4.5,0.1,7.6,7.3,6.4,7,2.4,10.5,9.1,9,19,10.3,0,11,20,32,1,0.121673003802281,4,4,4,0
1,"1",3800,23,-0.11,0.06,-0.15,0,0,0,0,0,5.7,5.9,5.2,0.7,8.1,5.5,8.9,9,4.4,13.4,9,5,7,0,10.5,6.1,24,42,1,0.151079136690647,3,3,3,0
1,"0",3800,28,0.1,0.33,0.15,0,0,0,0,0,3,3.1,0.9,0.7,5.3,5.3,4.8,1,-0.7,10.3,2.1,32,27,2.9,0,9,11,22,3,0.0964912280701754,6,5,1,0
3,"0",3800,22,0.11,-0.2,0.04,0,0,0,0,0,4.7,4.8,4.3,0.5,9.4,12.5,10.1,7,6.2,13.9,10.2,20,12,13.8,7.7,16,27,37,3,0.142307692307692,2,3,1,1
1,"0",3800,24.5,0,0.1,0.09,0.3,0.1,0,0,2,3.7,3.7,4.3,0.4,7.6,5.3,5.3,7,0.8,9.7,9.9,15,18,7.2,3.3,5.5,19,30,0,0.122950819672131,4,4,5,0
1,"0",3800,23.3,0.04,0.03,0.08,0,0,0,0,0,6,5,3.2,0.4,10.4,14.3,10.1,5,1.7,18.4,7.2,24,15,7,7.2,0,26,35,1,0.144628099173554,3,3,4,0
0,"0",3700,28,0.1,0.33,0.15,0,0,0,0,0,5.7,5.2,3.6,0.2,10.8,9.3,10.1,6,6.3,13.9,8.1,32,27,4.5,0,11.5,22,33,1,0.144736842105263,3,4,4,0
0,"0",3700,22.3,0.01,-0.31,-0.03,0,0.1,0.2,0,3,4.3,4.4,3.1,0.7,9.2,5.4,7.6,6,3.2,12,6.4,14,22,8.3,0,3.2,18,31,1,0.0953846153846154,5,3,6,0
1,"1",3700,18.5,-0.05,-0.17,-0.13,0.3,0.1,0,0,6,6.3,6.3,6.3,0.7,6.6,9.9,9.2,11,3.8,14.7,11.1,4,8,9,0,16,29,48,1,0.199170124481328,1,1,3,1
1,"0",3600,19.3,-0.14,-0.14,-0.35,0,0,0,0,0,5.3,5.5,5.9,1,6.3,11.1,10.6,10,5,16.1,11,1,2,1.4,11.8,20,35,46,5,0.155932203389831,4,3,1,0
5,"0",3500,21.3,0.09,-0.01,-0.16,0,0,0,0,0,5,3.3,6.2,0.1,6.4,6.3,4,10,-0.1,8,11.2,18,4,0,8.5,10.4,14,26,0,0.0852459016393443,5,6,5,0
