"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"OF","Ryan Braun",5000,"StL@Mil 08:10PM ET",11.2,"Mil",7.79,NA,8.59,8.5,2
"OF","Dexter Fowler",4900,"StL@Mil 08:10PM ET",6.333,"StL",6.98,NA,8.13,7.4,0
"1B","Matt Carpenter",4800,"StL@Mil 08:10PM ET",5.143,"StL",7.76,NA,8.25,8.2,17
"OF","Lorenzo Cain",4600,"KC@Tex 08:05PM ET",8.571,"KC",7.13,NA,9.21,7.9,10
"2B","Jonathan Villar",4500,"StL@Mil 08:10PM ET",6.875,"Mil",7.53,NA,9.08,8.6,10
"SS","Aledmys Diaz",4500,"StL@Mil 08:10PM ET",6.667,"StL",7.58,NA,8.02,7.4,13
"OF","Stephen Piscotty",4500,"StL@Mil 08:10PM ET",6.615,"StL",7.01,NA,7.59,7.4,7
"1B","Eric Hosmer",4500,"KC@Tex 08:05PM ET",4.571,"KC",7.67,NA,8.58,7.8,4
"2B","Rougned Odor",4500,"KC@Tex 08:05PM ET",6.667,"Tex",6.05,NA,8.04,7.6,5
"OF","Shin-soo Choo",4400,"KC@Tex 08:05PM ET",6.385,"Tex",NA,NA,NA,NA,NA
"3B","Adrian Beltre",4300,"KC@Tex 08:05PM ET",0,"Tex",NA,NA,NA,0,0
"OF","Randal Grichuk",4200,"StL@Mil 08:10PM ET",5.133,"StL",NA,NA,6.91,6.5,4
"C","Jonathan Lucroy",4200,"KC@Tex 08:05PM ET",4.818,"Tex",6.1,NA,7.25,7.2,5
"OF","Alex Gordon",4200,"KC@Tex 08:05PM ET",4.643,"KC",6.49,NA,8.57,6.9,5
"1B","Mike Napoli",4100,"KC@Tex 08:05PM ET",5.267,"Tex",6.3,NA,8.18,7.2,4
"1B/OF","Brandon Moss",4100,"KC@Tex 08:05PM ET",5.8,"KC",6.53,NA,7.65,6.3,0
"OF","Carlos Gomez",4100,"KC@Tex 08:05PM ET",6.933,"Tex",6.74,NA,8.78,7.7,5
"OF","Jorge Soler",4100,"KC@Tex 08:05PM ET",0,"KC",NA,NA,NA,0,0
"2B/3B","Jedd Gyorko",4000,"StL@Mil 08:10PM ET",6,"StL",5.49,NA,1.66,1.7,28
"2B/OF","Whit Merrifield",4000,"KC@Tex 08:05PM ET",10.5,"KC",5.14,NA,1.73,1.7,0
"SS","Elvis Andrus",4000,"KC@Tex 08:05PM ET",9.2,"Tex",5.84,NA,8.32,7.5,0
"OF","Peter O'Brien",4000,"KC@Tex 08:05PM ET",0,"KC",NA,NA,NA,0,0
"C","Yadier Molina",3900,"StL@Mil 08:10PM ET",5.077,"StL",6.22,NA,6.53,5.2,5
"OF","Keon Broxton",3900,"StL@Mil 08:10PM ET",3.857,"Mil",5.75,NA,7.05,6.2,0
"C","Salvador Perez",3900,"KC@Tex 08:05PM ET",8.357,"KC",7.81,NA,7.47,6.1,0
"OF","Nomar Mazara",3900,"KC@Tex 08:05PM ET",10.8,"Tex",7.28,NA,7.8,5.5,0
"1B","Eric Thames",3800,"StL@Mil 08:10PM ET",14.214,"Mil",7.51,NA,8.15,7.5,21
"OF","Domingo Santana",3800,"StL@Mil 08:10PM ET",6.8,"Mil",5.59,NA,6.93,5.3,3
