"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Tajae Sharpe",1,5000,18,-0.19,-0.05,-0.14,0,0,0,8.3,8.3,0.7,6.3,9.9,9.9,5.8,14,13.3,3.5,4,5,7.8,14,26,0,0.240740740740741,2,1,4,0
"Allen Hurns",5,4800,23.8,0.08,0.09,0.07,0,0,0,7.7,7.3,1.2,9.2,10.3,10.3,6.3,25.1,12.4,12.7,23,7,8,13,22,0,0.176,3,2,5,0
"Phillip Dorsett",3,4700,25.8,0.03,0.02,0.01,0.2,0,5.7,5,3.9,0.2,7,7.7,7.7,1.2,9,14.3,13.7,16,23,5.7,8,14,0,0.110236220472441,6,4,6,0
"Victor Cruz",2,4600,19.5,-0.05,-0.06,-0.07,0,0,0,5,6.2,0.8,9.5,11.8,11.8,4.5,18.7,8.8,10,5,3,10,11,15,1,0.132743362831858,3,3,2,0
"Steve Smith",22,4500,24.3,0.06,0.04,0.07,0,0,0,8.7,9.3,1.2,7.9,11,11,4,27.1,15.1,28.1,30,32,16.7,16,25,0,0.235849056603774,2,1,2,1
"Tyrell Williams",24,4400,29,0.17,0.23,0.15,0,0,0,6.7,5.2,1.2,11.2,12.4,12.4,4.1,17.5,12.7,9,29,24,12.9,11,20,1,0.192307692307692,2,2,2,0
"Quincy Enunwa",3,4400,19.5,-0.16,-0.27,-0.23,0,0,0,8.3,5.1,0.4,7,13.8,13.8,1.6,12,9.8,12,2,1,7.7,17,24,1,0.212389380530973,1,2,2,0
"John Brown",13,4300,26.8,0.08,0.01,-0.03,0.2,0,7.3,6,6.7,1,9.4,5.7,5.7,5.2,20.8,13.2,27.4,12,11,13,8,18,0,0.145161290322581,4,3,4,1
"Terrelle Pryor",25,4300,20.3,0.13,0.2,0.18,1,0.2,4,10.3,7.8,1,7.3,17,17,-2.5,24.9,13.9,15,28,29,34.9,15,32,0,0.316831683168317,1,1,2,0
"Jamison Crowder",14,4200,27.8,0.06,0.1,0.2,0.1,0,0,8.3,5.9,1.2,7.7,15.2,15.2,3.8,17.1,10.7,4.1,26,31,17.8,16,25,2,0.2,1,1,1,0
"Anquan Boldin",1,4200,25.5,-0.07,0.12,-0.14,0,0,0,5.3,7.6,1.2,7,11.2,11.2,5.6,19.7,9.4,9.1,22,20,12.2,13,18,3,0.146341463414634,4,5,1,0
"Markus Wheaton",0,4100,25.5,-0.11,-0.05,-0.07,0,0,0,5,4.8,1,9,7.7,1.2,-0.6,18.6,10.7,12,5,7,1.2,1,5,0,0.0431034482758621,7,6,6,0
"Pierre Garcon",2,4000,27.8,0.06,0.1,0.2,0,0,0,6.7,6.5,1.1,7.2,8.8,8.8,6.2,15.5,11.3,7.9,26,31,10.9,13,20,0,0.16,4,4,3,0
