"Max Kepler_MIN","Miguel Sano_MIN","Chris Davis_BAL","Eduardo Escobar_MIN","Dexter Fowler_STL","Manny Machado_BAL","Tommy Pham_STL","Jonathan Schoop_BAL","Curtis Granderson_NYM","Brian Dozier_MIN","Trey Mancini_BAL","Michael Conforto_NYM","Mark Trumbo_BAL","Byron Buxton_MIN","Jedd Gyorko_STL","Eddie Rosario_MIN","Aledmys Diaz_STL","Jay Bruce_NYM","Lucas Duda_NYM","Joe Mauer_MIN","Adam Jones_BAL","Seth Smith_BAL","Kennys Vargas_MIN","Matt Carpenter_STL","Yoenis Cespedes_NYM","Jose Reyes_NYM","Robbie Grossman_MIN","David Wright_NYM","Asdrubal Cabrera_NYM","Randal Grichuk_STL","TJ Rivera_NYM","Jason Castro_MIN","Neil Walker_NYM","Wilmer Flores_NYM","Joey Rickard_BAL","Stephen Piscotty_STL","Craig Gentry_BAL","Jorge Polanco_MIN","Yadier Molina_STL","Travis d'Arnaud_NYM","JJ Hardy_BAL","Chris Gimenez_MIN","Daniel Palka_MIN","Welington Castillo_BAL","Zack Granite_MIN","Rene Rivera_NYM","Kolten Wong_STL","Greg Garcia_STL","Brandon Nimmo_NYM","Amed Rosario_NYM","Harrison Bader_STL","Caleb Joseph_BAL","Ehire Adrianza_MIN","Jose Martinez_STL","Paul DeJong_STL","Francisco Pena_BAL","Ryan Flaherty_BAL","Hyun Soo Kim_BAL","Luis Sardinas_BAL","Chad Huffman_STL","Juan Lagares_NYM","Gavin Cecchini_NYM","Paul Janish_BAL","Ruben Tejada_BAL","Matt Reynolds_NYM","Kevin Plawecki_NYM","Magneuris Sierra_STL","David Washington_BAL","Anthony Santander_BAL","Luke Voit_STL","Carson Kelly_STL","Eric Fryer_STL","Alex Mejia_STL","Johnny Giavotella_BAL"
0,0,36,0,0,56,0,59,0,0,60,0,60,0,0,0,0,0,0,0,55,29,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14,0,0,0,42,0,0,38,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,42,0,0,53,0,0,0,0,0,50,34,0,0,0,0,0,12,42,0,0,30,0,25,0,41,29,0,0,0,0,0,22,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,3,4,0,0,0,0,0,0,0,0
0,0,57,0,0,77,0,80,0,0,60,0,81,0,0,0,0,0,0,0,74,49,0,0,0,0,0,0,0,0,0,0,0,0,27,0,14,0,0,0,59,0,0,48,0,0,0,0,0,0,0,33,0,0,0,3,5,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0
52,59,0,37,0,0,0,0,0,58,0,0,0,64,0,52,0,0,0,51,0,0,28,0,0,0,46,0,0,0,0,44,0,0,0,0,0,52,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,47,0,41,0,0,0,0,0,0,0,66,0,50,0,0,0,0,0,0,61,0,0,0,0,0,40,0,0,0,0,0,44,0,0,57,0,0,0,0,0,0,0,30,16,0,0,0,0,0,20,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,9,2,0
50,55,0,37,0,0,0,0,0,55,0,0,0,52,0,61,0,0,0,48,0,0,26,0,0,0,42,0,0,0,0,43,0,0,0,0,0,50,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,35,0,0,0,0,0,0,0,50,0,63,0,0,0,0,0,0,56,0,0,0,0,0,38,0,0,0,0,0,43,0,0,53,0,0,0,0,0,0,0,34,11,0,0,0,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,62,0,0,50,0,0,0,0,0,76,49,0,0,0,0,0,34,63,0,0,48,0,35,0,54,41,0,0,0,0,0,41,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,5,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,43,0,0,34,0,0,0,0,0,49,52,0,0,0,0,0,24,41,0,0,33,0,16,0,34,29,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,2,0,0,0,0,0,0,0,0
54,53,0,33,0,0,0,0,0,54,0,0,0,51,0,48,0,0,0,60,0,0,23,0,0,0,42,0,0,0,0,45,0,0,0,0,0,46,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,51,0,0,71,0,73,0,0,55,0,74,0,0,0,0,0,0,0,74,44,0,0,0,0,0,0,0,0,0,0,0,0,21,0,13,0,0,0,55,0,0,43,0,0,0,0,0,0,0,29,0,0,0,3,4,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0
0,0,33,0,0,46,0,49,0,0,29,0,49,0,0,0,0,0,0,0,44,49,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0
23,26,0,20,0,0,0,0,0,27,0,0,0,28,0,26,0,0,0,23,0,0,32,0,0,0,19,0,0,0,0,22,0,0,0,0,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,53,0,44,0,0,0,0,0,0,0,61,0,56,0,0,0,0,0,0,74,0,0,0,0,0,44,0,0,0,0,0,52,0,0,61,0,0,0,0,0,0,0,36,23,0,0,0,0,0,21,29,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,12,0,0
0,0,0,0,0,0,0,0,25,0,0,12,0,0,0,0,0,34,24,0,0,0,0,0,36,34,0,0,27,0,13,0,20,18,0,0,0,0,0,25,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,53,0,0,42,0,0,0,0,0,63,41,0,0,0,0,0,34,67,0,0,38,0,30,0,46,34,0,0,0,0,0,36,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,4,3,0,0,0,0,0,0,0,0
44,50,0,31,0,0,0,0,0,51,0,0,0,46,0,42,0,0,0,42,0,0,19,0,0,0,55,0,0,0,0,35,0,0,0,0,0,40,0,0,0,22,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,44,0,0,30,0,0,0,0,0,48,33,0,0,0,0,0,27,38,0,0,50,0,17,0,36,20,0,0,0,0,0,31,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,0,0,0,0,0,0,0
0,0,0,0,33,0,22,0,0,0,0,0,0,0,40,0,38,0,0,0,0,0,0,44,0,0,0,0,0,51,0,0,0,0,0,33,0,0,45,0,0,0,0,0,0,0,30,15,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,5,2,0
0,0,0,0,0,0,0,0,27,0,0,25,0,0,0,0,0,35,16,0,0,0,0,0,13,30,0,0,17,0,36,0,20,17,0,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,3,3,0,0,0,0,0,0,0,0
45,45,0,31,0,0,0,0,0,48,0,0,0,44,0,43,0,0,0,45,0,0,22,0,0,0,35,0,0,0,0,51,0,0,0,0,0,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,50,0,0,41,0,0,0,0,0,54,34,0,0,0,0,0,20,46,0,0,36,0,20,0,57,27,0,0,0,0,0,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,36,0,0,29,0,0,0,0,0,41,29,0,0,0,0,0,18,34,0,0,20,0,17,0,27,44,0,0,0,0,0,23,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,2,3,0,0,0,0,0,0,0,0
0,0,17,0,0,25,0,26,0,0,25,0,27,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,27,0,6,0,0,0,18,0,0,13,0,0,0,0,0,0,0,14,0,0,0,2,2,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,43,0,28,0,0,0,0,0,0,0,44,0,43,0,0,0,0,0,0,52,0,0,0,0,0,33,0,0,0,0,0,58,0,0,46,0,0,0,0,0,0,0,26,19,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0
0,0,7,0,0,14,0,14,0,0,14,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,9,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
48,51,0,33,0,0,0,0,0,51,0,0,0,52,0,50,0,0,0,46,0,0,23,0,0,0,40,0,0,0,0,39,0,0,0,0,0,57,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,0,39,0,0,0,0,0,0,0,57,0,53,0,0,0,0,0,0,61,0,0,0,0,0,45,0,0,0,0,0,46,0,0,68,0,0,0,0,0,0,0,31,17,0,0,0,0,0,20,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,2,0
0,0,0,0,0,0,0,0,36,0,0,22,0,0,0,0,0,41,30,0,0,0,0,0,25,36,0,0,31,0,15,0,28,23,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,52,0,0,55,0,58,0,0,42,0,59,0,0,0,0,0,0,0,55,32,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,59,0,0,33,0,0,0,0,0,0,0,26,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
