"Place_lo","Place_hi","Payout"
"1","1","3000"
"2","2","2000"
"3","3","1500"
"4","4","1000"
"5","5","750"
"6","6","600"
"7","8","500"
"9","10","400"
"11","15","300"
"16","20","200"
"21","25","150"
"26","35","100"
"36","45","80"
"46","60","60"
"61","75","50"
"76","100","40"
"101","150","30"
"151","225","25"
"226","325","20"
"326","450","15"
"451","700","12"
"701","1110","10"
"1111","1960","8"
"1961","3710","6"
