"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Carl Edwards Jr.",4100,"NYY@CHC 07:15PM ET",4.175,"CHC"
"SS","Tim Anderson",4100,"CWS@BAL 07:05PM ET",5.577,"CWS"
"SP","Mike Wright",4100,"CWS@BAL 07:05PM ET",0,"BAL"
"2B","Jonathan Villar",4100,"MIL@PIT 07:05PM ET",7.433,"MIL"
"RP","Tony Watson",4100,"MIL@PIT 07:05PM ET",2.445,"PIT"
"RP","Antonio Bastardo",4100,"MIL@PIT 07:05PM ET",-2.033,"PIT"
"RP","Daniel Hudson",4100,"MIL@PIT 07:05PM ET",1.033,"PIT"
"RP","Felipe Rivero",4100,"MIL@PIT 07:05PM ET",3.694,"PIT"
"RP","Johnny Barbato",4100,"MIL@PIT 07:05PM ET",2.925,"PIT"
"RP","Dovydas Neverauskas",4100,"MIL@PIT 07:05PM ET",3.3,"PIT"
"RP","Ryan Madson",4100,"DET@OAK 09:05PM ET",2.621,"OAK"
"RP","Santiago Casilla",4100,"DET@OAK 09:05PM ET",2.559,"OAK"
"RP","John Axford",4100,"DET@OAK 09:05PM ET",0,"OAK"
"RP","Sean Doolittle",4100,"DET@OAK 09:05PM ET",3.294,"OAK"
"RP","Liam Hendriks",4100,"DET@OAK 09:05PM ET",2.645,"OAK"
"RP","Daniel Coulombe",4100,"DET@OAK 09:05PM ET",1.75,"OAK"
"RP","Josh Smith",4100,"DET@OAK 09:05PM ET",1.5,"OAK"
"SP","Andrew Triggs",4100,"DET@OAK 09:05PM ET",17.767,"OAK"
"RP","Bobby Wahl",4100,"DET@OAK 09:05PM ET",1.6,"OAK"
"RP","Frankie Montas",4100,"DET@OAK 09:05PM ET",2.168,"OAK"
"RP","Ryan Dull",4100,"DET@OAK 09:05PM ET",2.583,"OAK"
"3B","Maikel Franco",4100,"WAS@PHI 07:05PM ET",7.571,"PHI"
"OF","Adam Eaton",4100,"WAS@PHI 07:05PM ET",10.13,"WAS"
"SP","Jeremy Guthrie",4100,"WAS@PHI 07:05PM ET",-24.5,"WAS"
"SP","Anthony Banda",4100,"ARI@COL 08:10PM ET",0,"ARI"
"SP","Kyle Freeland",4100,"ARI@COL 08:10PM ET",13.383,"COL"
"RP","Craig Stammen",4100,"LAD@SD 08:40PM ET",1.527,"SD"
"RP","Ryan Buchter",4100,"LAD@SD 08:40PM ET",3.793,"SD"
"SP","Trevor Cahill",4100,"LAD@SD 08:40PM ET",20.78,"SD"
"RP","Brad Hand",4100,"LAD@SD 08:40PM ET",4.214,"SD"
"RP","Brandon Maurer",4100,"LAD@SD 08:40PM ET",4.196,"SD"
"RP","Buddy Baumann",4100,"LAD@SD 08:40PM ET",0,"SD"
"RP","Kirby Yates",4100,"LAD@SD 08:40PM ET",4.45,"SD"
"SP","Cesar Vargas",4100,"LAD@SD 08:40PM ET",0,"SD"
"RP","Jose M. Torres",4100,"LAD@SD 08:40PM ET",3.293,"SD"
"RP","Carter Capps",4100,"LAD@SD 08:40PM ET",0,"SD"
"RP","Kevin Quackenbush",4100,"LAD@SD 08:40PM ET",6.063,"SD"
"RP","Miguel Diaz",4100,"LAD@SD 08:40PM ET",1.231,"SD"
"RP","Jim Johnson",4100,"STL@ATL 07:10PM ET",3.87,"ATL"
"RP","Jason Motte",4100,"STL@ATL 07:10PM ET",0.55,"ATL"
"RP","Eric O'Flaherty",4100,"STL@ATL 07:10PM ET",0.625,"ATL"
"RP","Chaz Roe",4100,"STL@ATL 07:10PM ET",-0.367,"ATL"
"SP","Josh Collmenter",4100,"STL@ATL 07:10PM ET",3.971,"ATL"
"RP","Arodys Vizcaino",4100,"STL@ATL 07:10PM ET",2.915,"ATL"
"RP","Ian Krol",4100,"STL@ATL 07:10PM ET",1.073,"ATL"
"RP","Jose Ramirez",4100,"STL@ATL 07:10PM ET",3.219,"ATL"
"RP","Luke Jackson",4100,"STL@ATL 07:10PM ET",0.783,"ATL"
"RP","Jason Hursh",4100,"STL@ATL 07:10PM ET",0,"ATL"
"RP","Mauricio Cabrera",4100,"STL@ATL 07:10PM ET",0,"ATL"
"RP","Sam Freeman",4100,"STL@ATL 07:10PM ET",5.05,"ATL"
"SP","Tyler Wilson",4000,"CWS@BAL 07:05PM ET",3.625,"BAL"
"SP","Gabriel Ynoa",4000,"CWS@BAL 07:05PM ET",23.9,"BAL"
"RP","Darren O'Day",4000,"CWS@BAL 07:05PM ET",1.673,"BAL"
"RP","Zach Britton",4000,"CWS@BAL 07:05PM ET",2.831,"BAL"
"RP","Richard Bleier",4000,"CWS@BAL 07:05PM ET",3.4,"BAL"
"RP","Brad Brach",4000,"CWS@BAL 07:05PM ET",3.491,"BAL"
"RP","Mychal Givens",4000,"CWS@BAL 07:05PM ET",4.369,"BAL"
"RP","Vidal Nuno",4000,"CWS@BAL 07:05PM ET",2.569,"BAL"
"RP","Logan Verrett",4000,"CWS@BAL 07:05PM ET",11.3,"BAL"
"SP","Jayson Aquino",4000,"CWS@BAL 07:05PM ET",2.8,"BAL"
"RP","Stefan Crichton",4000,"CWS@BAL 07:05PM ET",-0.833,"BAL"
"RP","Donnie Hart",4000,"CWS@BAL 07:05PM ET",2.618,"BAL"
"SP","Mike Pelfrey",4000,"CWS@BAL 07:05PM ET",3.683,"CWS"
"RP","Anthony Swarzak",4000,"CWS@BAL 07:05PM ET",6.05,"CWS"
"RP","David Robertson",4000,"CWS@BAL 07:05PM ET",4.861,"CWS"
"RP","Nate Jones",4000,"CWS@BAL 07:05PM ET",4.059,"CWS"
"RP","Zach Putnam",4000,"CWS@BAL 07:05PM ET",4.814,"CWS"
"RP","Dan Jennings",4000,"CWS@BAL 07:05PM ET",1.986,"CWS"
"RP","Jake Petricka",4000,"CWS@BAL 07:05PM ET",3.05,"CWS"
"RP","Chris Beck",4000,"CWS@BAL 07:05PM ET",1.233,"CWS"
"RP","Tommy Kahnle",4000,"CWS@BAL 07:05PM ET",4.882,"CWS"
"RP","Michael Ynoa",4000,"CWS@BAL 07:05PM ET",2.588,"CWS"
"SP","David Holmberg",4000,"CWS@BAL 07:05PM ET",-1.7,"CWS"
"OF","Starling Marte",4000,"MIL@PIT 07:05PM ET",7.769,"PIT"
"OF","Justin Upton",4000,"DET@OAK 09:05PM ET",8.731,"DET"
"OF","Christian Yelich",4000,"MIA@NYM 07:10PM ET",8.5,"MIA"
"1B/OF","Jay Bruce",4000,"MIA@NYM 07:10PM ET",10.259,"NYM"
"2B","Joe Panik",4000,"SF@CIN 07:10PM ET",6.207,"SF"
"RP","Blake Wood",4000,"SF@CIN 07:10PM ET",2.243,"CIN"
"RP","Drew Storen",4000,"SF@CIN 07:10PM ET",4.192,"CIN"
"RP","Ariel Hernandez",4000,"SF@CIN 07:10PM ET",16,"CIN"
"RP","Lisalverto Bonilla",4000,"SF@CIN 07:10PM ET",11.05,"CIN"
"RP","Michael Lorenzen",4000,"SF@CIN 07:10PM ET",3.533,"CIN"
"RP","Austin Brice",4000,"SF@CIN 07:10PM ET",9.9,"CIN"
"RP","Wandy Peralta",4000,"SF@CIN 07:10PM ET",4.792,"CIN"
"RP","Nefi Ogando",4000,"SF@CIN 07:10PM ET",0,"CIN"
"RP","Tony Cingrani",4000,"SF@CIN 07:10PM ET",3.1,"CIN"
"RP","Barrett Astin",4000,"SF@CIN 07:10PM ET",1.85,"CIN"
"RP","Bryan Morris",4000,"SF@CIN 07:10PM ET",-3.15,"SF"
"RP","George Kontos",4000,"SF@CIN 07:10PM ET",1.519,"SF"
"RP","Mark Melancon",4000,"SF@CIN 07:10PM ET",2.691,"SF"
"RP","Cory Gearrin",4000,"SF@CIN 07:10PM ET",2.823,"SF"
"RP","Hunter Strickland",4000,"SF@CIN 07:10PM ET",3.258,"SF"
"RP","Derek Law",4000,"SF@CIN 07:10PM ET",3.275,"SF"
"RP","Josh Osich",4000,"SF@CIN 07:10PM ET",2.95,"SF"
"RP","Steven Okert",4000,"SF@CIN 07:10PM ET",2.07,"SF"
"3B","Anthony Rendon",4000,"WAS@PHI 07:05PM ET",7.926,"WAS"
"RP","Joaquin Benoit",4000,"WAS@PHI 07:05PM ET",3.068,"PHI"
"RP","Pat Neshek",4000,"WAS@PHI 07:05PM ET",2.523,"PHI"
"RP","Jeanmar Gomez",4000,"WAS@PHI 07:05PM ET",2.611,"PHI"
"RP","Luis Garcia",4000,"WAS@PHI 07:05PM ET",3.07,"PHI"
"RP","Joely Rodriguez",4000,"WAS@PHI 07:05PM ET",2.067,"PHI"
"RP","Edubray Ramos",4000,"WAS@PHI 07:05PM ET",3.196,"PHI"
"RP","Hector Neris",4000,"WAS@PHI 07:05PM ET",2.507,"PHI"
"RP","Mark Leiter Jr.",4000,"WAS@PHI 07:05PM ET",2.3,"PHI"
"RP","Oliver Perez",4000,"WAS@PHI 07:05PM ET",2.294,"WAS"
"RP","Joe Blanton",4000,"WAS@PHI 07:05PM ET",0.679,"WAS"
"RP","Shawn Kelley",4000,"WAS@PHI 07:05PM ET",3.445,"WAS"
"RP","Sammy Solis",4000,"WAS@PHI 07:05PM ET",0.592,"WAS"
"RP","Enny Romero",4000,"WAS@PHI 07:05PM ET",3.077,"WAS"
"RP","Matt Grace",4000,"WAS@PHI 07:05PM ET",2.4,"WAS"
"RP","Blake Treinen",4000,"WAS@PHI 07:05PM ET",0.532,"WAS"
"RP","Koda Glover",4000,"WAS@PHI 07:05PM ET",1.7,"WAS"
"SP","Shelby Miller",4000,"ARI@COL 08:10PM ET",14.575,"ARI"
"SP","Antonio Senzatela",4000,"ARI@COL 08:10PM ET",15.383,"COL"
"SP","Chris Rusin",4000,"ARI@COL 08:10PM ET",6.063,"COL"
"SP","Braden Shipley",4000,"ARI@COL 08:10PM ET",0.4,"ARI"
"RP","Chad Qualls",4000,"ARI@COL 08:10PM ET",3.688,"COL"
"RP","Jake McGee",4000,"ARI@COL 08:10PM ET",3.408,"COL"
"RP","Mike Dunn",4000,"ARI@COL 08:10PM ET",3.618,"COL"
"RP","Adam Ottavino",4000,"ARI@COL 08:10PM ET",3.358,"COL"
"RP","Greg Holland",4000,"ARI@COL 08:10PM ET",3.65,"COL"
"SP","Jordan Lyles",4000,"ARI@COL 08:10PM ET",1.839,"COL"
"RP","Jairo Diaz",4000,"ARI@COL 08:10PM ET",0,"COL"
"RP","Scott Oberg",4000,"ARI@COL 08:10PM ET",2.353,"COL"
"RP","Carlos Estevez",4000,"ARI@COL 08:10PM ET",2.1,"COL"
"RP","Shane Carle",4000,"ARI@COL 08:10PM ET",4.25,"COL"
"RP","Fernando Rodney",4000,"ARI@COL 08:10PM ET",1.219,"ARI"
"RP","Tom Wilhelmsen",4000,"ARI@COL 08:10PM ET",1.254,"ARI"
"SP","Jorge De La Rosa",4000,"ARI@COL 08:10PM ET",3.312,"ARI"
"RP","T.J. McFarland",4000,"ARI@COL 08:10PM ET",4.767,"ARI"
"RP","J.J. Hoover",4000,"ARI@COL 08:10PM ET",3.615,"ARI"
"RP","Randall Delgado",4000,"ARI@COL 08:10PM ET",3.6,"ARI"
"RP","Jake Barrett",4000,"ARI@COL 08:10PM ET",0,"ARI"
"RP","Andrew Chafin",4000,"ARI@COL 08:10PM ET",1.425,"ARI"
"RP","Silvino Bracho",4000,"ARI@COL 08:10PM ET",-0.4,"ARI"
"OF","Matt Kemp",4000,"STL@ATL 07:10PM ET",11.059,"ATL"
"1B/OF","Matt Holliday",3900,"NYY@CHC 07:15PM ET",7.185,"NYY"
"2B","Tyler Saladino",3900,"CWS@BAL 07:05PM ET",5.381,"CWS"
"OF","Gregory Polanco",3900,"MIL@PIT 07:05PM ET",6.346,"PIT"
"3B","Jose Reyes",3900,"MIA@NYM 07:10PM ET",6.429,"NYM"
"2B","Dee Gordon",3900,"MIA@NYM 07:10PM ET",7.852,"MIA"
"SS","Brandon Crawford",3900,"SF@CIN 07:10PM ET",6.238,"SF"
"2B","Jose Peraza",3900,"SF@CIN 07:10PM ET",7.222,"CIN"
"C/OF","Chris Herrmann",3900,"ARI@COL 08:10PM ET",2.87,"ARI"
"OF","Dexter Fowler",3900,"STL@ATL 07:10PM ET",7.462,"STL"
"2B","Javier Baez",3800,"NYY@CHC 07:15PM ET",6,"CHC"
"2B","Jonathan Schoop",3800,"CWS@BAL 07:05PM ET",7.643,"BAL"
"C","Welington Castillo",3800,"CWS@BAL 07:05PM ET",6.5,"BAL"
"OF","Avisail Garcia",3800,"CWS@BAL 07:05PM ET",9.704,"CWS"
"OF","Khris Davis",3800,"DET@OAK 09:05PM ET",9.286,"OAK"
"1B","Albert Pujols",3800,"HOU@LAA 09:07PM ET",7.516,"LAA"
"3B","Alex Bregman",3800,"HOU@LAA 09:07PM ET",5.714,"HOU"
"3B","Kyle Seager",3800,"TEX@SEA 09:10PM ET",6.259,"SEA"
"OF","Shin-soo Choo",3800,"TEX@SEA 09:10PM ET",7,"TEX"
"2B","Rougned Odor",3800,"TEX@SEA 09:10PM ET",6.633,"TEX"
"OF","Denard Span",3800,"SF@CIN 07:10PM ET",4,"SF"
"OF","Scott Schebler",3800,"SF@CIN 07:10PM ET",8.357,"CIN"
"OF","Phillip Ervin",3800,"SF@CIN 07:10PM ET",0.667,"CIN"
"OF","Stephen Cardullo",3800,"ARI@COL 08:10PM ET",2,"COL"
"OF","Raimel Tapia",3800,"ARI@COL 08:10PM ET",0,"COL"
"1B","Adrian Gonzalez",3800,"LAD@SD 08:40PM ET",4.533,"LAD"
"OF","Yasiel Puig",3800,"LAD@SD 08:40PM ET",7.6,"LAD"
"3B","Justin Turner",3800,"LAD@SD 08:40PM ET",8.586,"LAD"
"1B","Matt Carpenter",3800,"STL@ATL 07:10PM ET",8.074,"STL"
"OF","Brett Gardner",3700,"NYY@CHC 07:15PM ET",9.083,"NYY"
"C","Willson Contreras",3700,"NYY@CHC 07:15PM ET",5.44,"CHC"
"SS","Addison Russell",3700,"NYY@CHC 07:15PM ET",7.286,"CHC"
"OF","Seth Smith",3700,"CWS@BAL 07:05PM ET",7.824,"BAL"
"C","Evan Gattis",3700,"HOU@LAA 09:07PM ET",7.5,"HOU"
"OF","Carlos Beltran",3700,"HOU@LAA 09:07PM ET",5.679,"HOU"
"3B","Adrian Beltre",3700,"TEX@SEA 09:10PM ET",0,"TEX"
"3B","Eugenio Suarez",3700,"SF@CIN 07:10PM ET",9.31,"CIN"
"1B","Tommy Joseph",3700,"WAS@PHI 07:05PM ET",5.667,"PHI"
"C","Dustin Garneau",3700,"ARI@COL 08:10PM ET",4.833,"COL"
"2B/3B","Logan Forsythe",3700,"LAD@SD 08:40PM ET",5.4,"LAD"
"OF","Joc Pederson",3700,"LAD@SD 08:40PM ET",5.55,"LAD"
"OF","Ender Inciarte",3700,"STL@ATL 07:10PM ET",9.704,"ATL"
"2B/3B","Jedd Gyorko",3700,"STL@ATL 07:10PM ET",9,"STL"
"1B","Chris Carter",3600,"NYY@CHC 07:15PM ET",4.765,"NYY"
"OF","Jacoby Ellsbury",3600,"NYY@CHC 07:15PM ET",7.84,"NYY"
"OF","Hyun Soo Kim",3600,"CWS@BAL 07:05PM ET",4.063,"BAL"
"2B/3B","Josh Harrison",3600,"MIL@PIT 07:05PM ET",7.607,"PIT"
"OF","Rajai Davis",3600,"DET@OAK 09:05PM ET",6,"OAK"
"3B","Nicholas Castellanos",3600,"DET@OAK 09:05PM ET",8.25,"DET"
"OF","Curtis Granderson",3600,"MIA@NYM 07:10PM ET",4.63,"NYM"
"3B","David Wright",3600,"MIA@NYM 07:10PM ET",0,"NYM"
"SS","Asdrubal Cabrera",3600,"MIA@NYM 07:10PM ET",7.704,"NYM"
"OF","Michael Conforto",3600,"MIA@NYM 07:10PM ET",9.12,"NYM"
