"Place_lo","Place_hi","Payout"
"1","1","100"
"2","2","70"
"3","3","50"
"4","4","30"
"5","5","20"
"6","6","15"
"7","7","12"
"8","8","10"
"9","10","8"
"11","15","7"
"16","20","6"
"21","25","5"
"26","30","4.5"
"31","40","4"
"41","50","3.5"
"51","65","3"
"66","80","2.5"
"81","100","2"
"101","150","1.5"
"151","250","1.25"
"251","375","1"
"376","550","0.75"
"551","945","0.5"
"946","1565","0.4"
"1566","2715","0.3"
"2716","5065","0.2"
"5066","9400","0.15"
