"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Seahawks  (7976470)","Seahawks ",7976470,3700,"Ari@Sea 04:25PM ET","Sea","Seahawks","","Ari",9.38,8.7
"DST","Patriots  (7976455)","Patriots ",7976455,3600,"NYJ@NE 01:00PM ET","NE","Patriots","","NYJ",11.32,13.7
"DST","Rams  (7976471)","Rams ",7976471,3500,"SF@LA 04:25PM ET","LA","Rams","","SF",9.1,9.2
"DST","Titans  (7976457)","Titans ",7976457,3400,"Ten@Jax 01:00PM ET","Ten","Titans","","Jax",8.58,9.1
"DST","Chargers  (7976462)","Chargers ",7976462,3400,"SD@Cle 01:00PM ET","SD","Chargers","","Cle",11.4,10.6
"DST","Packers  (7976459)","Packers ",7976459,3300,"Min@GB 01:00PM ET","GB","Packers","","Min",8.9,8.4
"DST","Redskins  (7976464)","Redskins ",7976464,3200,"Was@Chi 01:00PM ET","Was","Redskins","","Chi",7.36,9.4
"DST","Bengals  (7976474)","Bengals ",7976474,3200,"Cin@Hou 08:25PM ET","Cin","Bengals","","Hou",7.83,7.5
"DST","Bills  (7976451)","Bills ",7976451,3100,"Mia@Buf 01:00PM ET","Buf","Bills","","Mia",8.98,7.9
"DST","Texans  (7976473)","Texans ",7976473,3100,"Cin@Hou 08:25PM ET","Hou","Texans","","Cin",7.12,7.8
"DST","Dolphins  (7976452)","Dolphins ",7976452,3000,"Mia@Buf 01:00PM ET","Mia","Dolphins","","Buf",8.07,10
"DST","Jaguars  (7976458)","Jaguars ",7976458,2900,"Ten@Jax 01:00PM ET","Jax","Jaguars","","Ten",5.74,5.7
"DST","Vikings  (7976460)","Vikings ",7976460,2900,"Min@GB 01:00PM ET","Min","Vikings","","GB",7.24,7.8
"DST","Raiders  (7976468)","Raiders ",7976468,2800,"Ind@Oak 04:05PM ET","Oak","Raiders","","Ind",7.16,9.3
"DST","49ers  (7976472)","49ers ",7976472,2800,"SF@LA 04:25PM ET","SF","49ers","","LA",5.59,7.3
"DST","Falcons  (7976465)","Falcons ",7976465,2700,"Atl@Car 01:00PM ET","Atl","Falcons","","Car",7.4,7.5
"DST","Buccaneers  (7976454)","Buccaneers ",7976454,2600,"TB@NO 04:25PM ET","TB","Buccaneers","","NO",4.69,9
"DST","Cardinals  (7976469)","Cardinals ",7976469,2600,"Ari@Sea 04:25PM ET","Ari","Cardinals","","Sea",8.18,7.8
"DST","Panthers  (7976466)","Panthers ",7976466,2500,"Atl@Car 01:00PM ET","Car","Panthers","","Atl",7.62,6.2
"DST","Colts  (7976467)","Colts ",7976467,2500,"Ind@Oak 04:05PM ET","Ind","Colts","","Oak",6.12,5.4
"DST","Saints  (7976453)","Saints ",7976453,2400,"TB@NO 04:25PM ET","NO","Saints","","TB",5.4,8.8
"DST","Jets  (7976456)","Jets ",7976456,2300,"NYJ@NE 01:00PM ET","NYJ","Jets","","NE",3.04,6
"DST","Bears  (7976463)","Bears ",7976463,2300,"Was@Chi 01:00PM ET","Chi","Bears","","Was",5.82,4.7
"DST","Browns  (7976461)","Browns ",7976461,2200,"SD@Cle 01:00PM ET","Cle","Browns","","SD",4.84,5.5
