Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Tyrod Taylor,QB,BUF,vs NE,5th,6200,9.7,33.7,19.9,17.66,17.66,100,0,2.8,28.98,4.7
Marcus Mariota,QB,TEN,@ CLE,24th,6000,9.9,35.7,19.7,18.53,18.53,100,54,3.1,18.18,3
Jay Cutler,QB,CHI,vs ARI,32nd,6000,9.7,31.3,16.8,16.94,16.94,100,44,2.8,10.2,1.7
Steve Smith Sr.,WR,BAL,@ OAK,3rd,6000,5.6,29.6,20,13.55,13.55,100,0,2.3,28,4.7
Jarvis Landry,WR,MIA,@ JAC,27th,5900,9.1,29.5,17.8,15.89,15.89,100,47,2.7,22.6,3.8
Mark Ingram,RB,NO,vs TB,12th,5900,4.9,31.6,17.3,13.81,13.81,100,17,2.3,13.8,2.3
Roddy White,WR,ATL,@ NYG,1st,5800,5.7,24,6.6,11.77,11.77,100,0,2,0,
Andre Johnson,WR,IND,vs NYJ,2nd,5800,6.8,28.4,7.2,14.04,14.04,100,0,2.4,5.7,1
Jimmy Graham,TE,SEA,@ GB,31st,5800,6.1,32.5,11.2,14.89,14.89,100,0,2.6,2.1,0.4
Andy Dalton,QB,CIN,vs SD,14th,5800,11,29.9,20.4,17.34,17.34,100,70,3,21.56,3.7
Latavius Murray,RB,OAK,vs BAL,23rd,5800,5.3,31.7,13.2,14.07,14.07,100,38,2.4,17.7,3.1
Anquan Boldin,WR,SF,@ PIT,9th,5700,6.5,26,12.6,13.03,13.03,100,0,2.3,18,3.2
Doug Martin,RB,TB,@ NO,4th,5600,9,23.7,15.6,13.93,13.93,100,66,2.5,10.8,1.9
Joseph Randle,RB,DAL,@ PHI,8th,5600,8.7,21,12.3,12.8,12.8,100,0,2.3,7.5,1.3
Ronnie Hillman,RB,DEN,@ KC,17th,5600,1.8,27.6,10.9,10.45,10.45,100,0,1.9,3.4,0.6
Jameis Winston,QB,TB,@ NO,4th,5600,10.2,27.6,18.6,16.04,16.04,100,78,2.9,19.58,3.5
Nick Foles,QB,STL,@ WAS,11th,5500,10.2,31.8,9.8,17.41,17.41,100,0,3.2,10.1,1.8
Jonathan Stewart,RB,CAR,vs HOU,28th,5500,7.6,27.7,13.1,14.32,14.32,100,0,2.6,6.9,1.3
Kirk Cousins,QB,WAS,vs STL,15th,5500,3.9,25.5,20.5,11.11,11.11,100,52,2,12.12,2.2
Derek Carr,QB,OAK,vs BAL,23rd,5500,0.9,24.9,19.1,8.86,8.86,100,69,1.6,30.34,5.5
Vincent Jackson,WR,TB,@ NO,4th,5500,8,28.4,11,14.82,14.82,100,0,2.7,14.4,2.6
Lamar Miller,RB,MIA,@ JAC,27th,5500,8.1,30,15.1,15.36,15.36,100,61,2.8,9.2,1.7
Ryan Fitzpatrick,QB,NYJ,@ IND,26th,5500,8.2,33.4,19.1,16.59,16.59,100,48,3,17.36,3.2
Nelson Agholor,WR,PHI,vs DAL,25th,5500,8.8,21.1,4.3,12.87,12.87,100,74,2.3,6.1,1.1
Mike Wallace,WR,MIN,vs DET,31st,5400,6,24.3,6.6,12.11,12.11,100,68,2.2,6.8,1.3
Marques Colston,WR,NO,vs TB,12th,5400,7,19.9,9.5,11.3,11.3,100,0,2.1,10.9,2
Torrey Smith,WR,SF,@ PIT,9th,5400,3.2,25.7,8,10.69,10.69,100,0,2,29,5.4
Larry Fitzgerald,WR,ARI,@ CHI,18th,5400,5.6,29,18.2,13.41,13.41,100,72,2.5,40.2,7.4
DeAngelo Williams,RB,PIT,vs SF,13th,5300,3.2,33.8,15.4,13.45,13.45,100,73,2.5,31.2,5.9
Blake Bortles,QB,JAC,vs MIA,6th,5300,7.3,26.2,22.3,13.64,13.64,100,67,2.6,21.62,4.1
Johnny Manziel,QB,CLE,vs TEN,10th,5200,11.1,22.5,12.1,14.87,14.87,100,0,2.9,14.98,2.9
Eric Decker,WR,NYJ,@ IND,26th,5100,3,30.9,17.1,12.3,12.3,100,21,2.4,23.7,4.6
Travis Kelce,TE,KC,vs DEN,25th,5100,5.5,28.3,12.2,13.1,13.1,100,43,2.6,9.8,1.9
Carlos Hyde,RB,SF,@ PIT,9th,5100,5.8,30.4,12,14.04,14.04,100,65,2.8,10.1,2
John Brown,WR,ARI,@ CHI,18th,5100,7.4,29.3,14.3,14.67,14.67,100,0,2.9,9.5,1.9
Ryan Mallett,QB,HOU,@ CAR,20th,5100,4.7,21.2,11,10.24,10.24,100,0,2,19.36,3.8
Melvin Gordon,RB,SD,@ CIN,19th,5000,2.1,31.8,8,11.97,11.97,100,44,2.4,10.8,2.2
Brandon Weeden,QB,DAL,@ PHI,8th,5000,0,7,11.6,0,0,100,0,0,7.62,1.5
Kendall Wright,WR,TEN,@ CLE,24th,5000,6.4,31.3,10,14.67,14.67,100,0,2.9,3.7,0.7
Alfred Morris,RB,WAS,vs STL,15th,5000,5,26,6.4,12,12,100,0,2.4,9.2,1.8
Pierre Garcon,WR,WAS,vs STL,15th,5000,5.4,26.4,11.6,12.37,12.37,100,37,2.5,14.3,2.9
Jimmy Clausen,QB,CHI,vs ARI,32nd,5000,0,12.6,9.3,0,0,100,0,0,3.34,0.7
Rashad Jennings,RB,NYG,vs ATL,22nd,5000,6.7,27.4,10.8,13.64,13.64,100,22,2.7,4.4,0.9
C.J. Spiller,RB,NO,vs TB,12th,5000,5.2,20.2,6.2,10.24,10.24,100,0,2,3.6,0.7
LeGarrette Blount,RB,NE,@ BUF,21st,5000,2.6,28.7,10.5,11.33,11.33,100,28,2.3,0.4,0.1
Davante Adams,WR,GB,vs SEA,15th,4900,3.7,34.3,8.2,13.94,13.94,100,27,2.8,8.3,1.7
Allen Robinson,WR,JAC,vs MIA,6th,4900,7,29.2,20.1,14.4,14.4,100,44,2.9,36.5,7.4
Greg Olsen,TE,CAR,vs HOU,30th,4900,6.1,28.9,14.8,13.67,13.67,100,47,2.8,13,2.7
T.J. Yeldon,RB,JAC,vs MIA,6th,4800,7.1,23,13.5,12.42,12.42,100,69,2.6,11.3,2.4
Charles Johnson,WR,MIN,vs DET,31st,4800,6.3,23.4,3.6,12.01,12.01,100,0,2.5,4,0.8
Frank Gore,RB,IND,vs NYJ,2nd,4800,7.9,28,12.3,14.56,14.56,100,43,3,6.1,1.3
Michael Floyd,WR,ARI,@ CHI,18th,4800,3.5,27.5,12.5,11.53,11.53,100,12,2.4,0,
Breshad Perriman,WR,BAL,@ OAK,3rd,4700,2.9,14.9,,6.91,6.91,100,11,1.5,,
James Jones,WR,GB,vs SEA,15th,4700,5.2,24.7,12.5,11.66,11.66,100,0,2.5,9.9,2.1
Rueben Randle,WR,NYG,vs ATL,22nd,4700,3.4,25.6,11.7,10.84,10.84,100,0,2.3,1.5,0.3
Chris Ivory,RB,NYJ,@ IND,26th,4700,9.9,27.9,14.2,15.93,15.93,100,0,3.4,8,1.7
Tre Mason,RB,STL,@ WAS,11th,4700,0,27.1,4,7.94,7.94,100,0,1.7,5,1.1
Joique Bell,RB,DET,@ MIN,7th,4600,3.4,26.2,8.1,10.98,10.98,100,0,2.4,3.8,0.8
Donte Moncrief,WR,IND,vs NYJ,2nd,4600,2.5,27.7,11.2,10.91,10.91,100,54,2.4,28.2,6.1
Martellus Bennett,TE,CHI,vs ARI,28th,4500,5.2,30.4,10.4,13.56,13.56,100,0,3,8.8,2
Ameer Abdullah,RB,DET,@ MIN,7th,4500,3.9,23.6,7.4,15.7,15.7,100,0,3.5,2.8,0.6
Tevin Coleman,RB,ATL,@ NYG,1st,4500,4.5,29.7,4.1,12.9,12.9,100,50,2.9,9.2,2
Bishop Sankey,RB,TEN,@ CLE,24th,4500,8.7,20.1,4.9,12.47,12.47,100,0,2.8,4.2,0.9
Giovani Bernard,RB,CIN,vs SD,14th,4500,4.5,25.8,11.7,11.61,11.61,100,0,2.6,19.9,4.4
Percy Harvin,WR,BUF,vs NE,5th,4500,3.4,28.3,10,11.68,11.68,100,0,2.6,9.4,2.1
Malcom Floyd,WR,SD,@ CIN,19th,4400,2.4,18,6.9,7.6,7.6,100,0,1.7,13.5,3.1
Benny Cunningham,RB,STL,@ WAS,11th,4400,7.4,21.2,4.3,11.98,11.98,100,0,2.7,6.7,1.5
