Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,vs MIN,22nd,9400,12.6,48.6,24.8,24.6,24.6,100,45,2.6,10.6,1.1
DeAndre Hopkins,WR,HOU,vs NO,32nd,9100,14.7,40.5,21.8,23.33,23.33,100,31,2.6,8.6,0.9
Odell Beckham Jr.,WR,NYG,@ WAS,29th,8700,8,42.2,22.9,19.36,19.36,100,37,2.2,32.2,3.7
Antonio Brown,WR,PIT,@ SEA,4th,8700,11.6,37.4,26.1,20.23,20.23,100,61,2.3,11.1,1.3
Tom Brady,QB,NE,@ DEN,2nd,8000,10.8,37.8,23.4,19.83,19.83,100,66,2.5,23.2,2.9
Rob Gronkowski,TE,NE,@ DEN,5th,7900,8.9,38.8,18,18.85,18.85,100,34,2.4,20.8,2.6
Dez Bryant,WR,DAL,vs CAR,12th,7600,7,37.3,10.2,17.1,17.1,100,38,2.3,4.6,0.6
Todd Gurley,RB,STL,@ CIN,8th,7500,16,30.4,17.3,20.79,20.79,100,63,2.8,4,0.5
A.J. Green,WR,CIN,vs STL,15th,7400,4,39.4,17.9,15.8,15.8,100,40,2.1,24.1,3.3
Demaryius Thomas,WR,DEN,vs NE,16th,7400,8.8,37.9,17.6,18.53,18.53,100,38,2.5,4.6,0.6
Mike Evans,WR,TB,@ IND,8th,7400,7.5,37.5,15.1,17.46,17.46,100,54,2.4,11.4,1.5
Larry Fitzgerald,WR,ARI,@ SF,28th,7400,11.8,35.2,18.2,19.58,19.58,100,58,2.6,16.6,2.2
Aaron Rodgers,QB,GB,vs CHI,13th,7400,14.2,40,20.1,22.84,22.84,100,66,3.1,14.38,1.9
Allen Robinson,WR,JAC,vs SD,27th,7300,10.3,32.5,20.1,17.67,17.67,100,50,2.4,16.6,2.3
Adrian Peterson,RB,MIN,@ ATL,16th,7300,16.8,27.3,17.8,20.33,20.33,100,10,2.8,35.7,4.9
Drew Brees,QB,NO,@ HOU,9th,7300,12.1,35.2,23.1,19.84,19.84,100,69,2.7,8.12,1.1
