Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,vs IND,10th,9300,11.3,47.3,24.8,23.3,23.3,100,45,2.5,28,3
DeAndre Hopkins,WR,HOU,vs NYJ,9th,8800,11.9,37.7,21.8,20.48,20.48,100,32,2.3,31.8,3.6
Tom Brady,QB,NE,vs BUF,11th,8500,14.2,41.2,23.4,23.15,23.15,100,65,2.7,14.08,1.7
Devonta Freeman,RB,ATL,vs IND,18th,8400,11.3,40.4,22.1,21,21,100,38,2.5,4.3,0.5
A.J. Green,WR,CIN,@ ARI,21st,7700,4.4,39.8,17.9,16.24,16.24,100,46,2.1,11.9,1.5
Dez Bryant,WR,DAL,@ MIA,20th,7700,7.6,37.9,10.2,17.7,17.7,100,32,2.3,14.5,1.9
Rob Gronkowski,TE,NE,vs BUF,2nd,7700,8.1,38.1,18,18.14,18.14,100,34,2.4,5.7,0.7
Todd Gurley,RB,STL,@ BAL,20th,7600,16.3,30.7,17.3,21.08,21.08,100,62,2.8,11.6,1.5
Aaron Rodgers,QB,GB,@ MIN,7th,7500,14,39.8,20.1,22.57,22.57,100,65,3,19.08,2.5
Mike Evans,WR,TB,@ PHI,23rd,7300,7.3,37.3,15.1,17.31,17.31,100,54,2.4,16.3,2.2
Demaryius Thomas,WR,DEN,@ CHI,19th,7300,8.7,37.8,17.6,18.42,18.42,100,38,2.5,14.9,2
Larry Fitzgerald,WR,ARI,vs CIN,5th,7200,12.4,35.8,18.2,20.22,20.22,100,59,2.8,17,2.4
Calvin Johnson,WR,DET,vs OAK,8th,7200,5.8,41.2,16.8,17.56,17.56,100,0,2.4,13.8,1.9
Matt Ryan,QB,ATL,vs IND,20th,7100,12.8,35.3,16.9,20.32,20.32,100,69,2.9,20.9,2.9
Allen Robinson,WR,JAC,vs TEN,12th,7000,11.7,33.9,20.1,19.11,19.11,100,52,2.7,19.3,2.8
Emmanuel Sanders,WR,DEN,@ CHI,19th,7000,3.7,33.1,15.9,13.52,13.52,100,31,1.9,,
Brandon Marshall,WR,NYJ,@ HOU,11th,7000,7.7,32,23.2,15.76,15.76,100,34,2.3,15.7,2.2
Philip Rivers,QB,SD,vs KC,5th,6900,14,35.3,20.2,21.12,21.12,100,64,3.1,6.92,1
Cam Newton,QB,CAR,vs WAS,18th,6900,14.8,37,25.9,22.16,22.16,100,66,3.2,31.44,4.6
Amari Cooper,WR,OAK,@ DET,28th,6800,7.9,36.7,14.3,17.49,17.49,100,49,2.6,1.4,0.2
Matt Forte,RB,CHI,vs DEN,29th,6800,0,25.5,16.8,4.07,4.07,100,36,0.6,,
Adrian Peterson,RB,MIN,vs GB,16th,6800,16.5,27,17.8,19.98,19.98,100,10,2.9,13.1,1.9
Jarvis Landry,WR,MIA,vs DAL,6th,6700,8.8,29.2,17.8,15.56,15.56,100,55,2.3,10.6,1.6
Randall Cobb,WR,GB,@ MIN,14th,6700,7.2,33.9,12.9,16.09,16.09,100,37,2.4,10.4,1.6
Carson Palmer,QB,ARI,vs CIN,4th,6700,15.6,32.7,21.8,21.26,21.26,100,69,3.2,29.58,4.4
Andy Dalton,QB,CIN,@ ARI,15th,6600,12.7,31.6,20.4,19.01,19.01,100,67,2.9,26,3.9
Derek Carr,QB,OAK,@ DET,30th,6300,12.4,36.4,19.1,20.38,20.38,100,61,3.2,7.56,1.2
Lamar Miller,RB,MIA,vs DAL,25th,6200,8.9,30.8,15.1,16.22,16.22,100,50,2.6,7.5,1.2
T.Y. Hilton,WR,IND,@ ATL,4th,6200,4.2,35.7,13.6,14.73,14.73,100,42,2.4,4.1,0.7
Greg Olsen,TE,CAR,vs WAS,1st,6200,7.7,30.5,14.8,15.3,15.3,100,54,2.5,14.4,2.3
Chris Ivory,RB,NYJ,@ HOU,11th,6100,9,27,14.2,15.04,15.04,100,10,2.5,5.5,0.9
Jordan Matthews,WR,PHI,vs TB,15th,6000,3.9,29.2,15.2,12.35,12.35,100,40,2.1,5.3,0.9
DeMarco Murray,RB,PHI,vs TB,6th,6000,10.5,32.1,12.6,17.7,17.7,100,69,3,12.1,2
Michael Crabtree,WR,OAK,@ DET,28th,6000,7,30.7,15,14.91,14.91,100,54,2.5,11,1.8
Tony Romo,QB,DAL,@ MIA,27th,6000,13.9,32.8,12.9,20.16,20.16,100,0,3.4,15.28,2.5
Russell Wilson,QB,SEA,vs SF,25th,5900,10.4,37.6,21.9,19.45,19.45,100,47,3.3,25.4,4.3
Tyler Eifert,TE,CIN,@ ARI,5th,5900,5.2,30.7,15,13.7,13.7,100,40,2.3,17.2,2.9
Blake Bortles,QB,JAC,vs TEN,12th,5900,13.8,32.7,22.3,20.1,20.1,100,70,3.4,12.58,2.1
Allen Hurns,WR,JAC,vs TEN,12th,5800,6,30,16.1,14.04,14.04,100,21,2.4,4.9,0.8
Eric Decker,WR,NYJ,@ HOU,11th,5800,7.3,35.2,17.1,16.64,16.64,100,36,2.9,12.1,2.1
Justin Forsett,RB,BAL,vs STL,15th,5800,6.9,30.3,12.8,14.74,14.74,100,0,2.5,2.6,0.4
Latavius Murray,RB,OAK,@ DET,22nd,5600,5.9,32.3,13.2,14.72,14.72,100,48,2.6,8.8,1.6
Jeremy Langford,RB,CHI,vs DEN,29th,5600,8.1,21.9,10,12.74,12.74,100,41,2.3,13.2,2.4
LeSean McCoy,RB,BUF,@ NE,1st,5500,6.7,36.1,15.8,16.49,16.49,100,50,3,24.3,4.4
Matt Hasselbeck,QB,IND,@ ATL,8th,5500,10.6,23.5,12.6,14.95,14.95,100,0,2.7,15.32,2.8
Matthew Stafford,QB,DET,vs OAK,22nd,5400,11.4,33.3,19.7,18.71,18.71,100,64,3.5,20.38,3.8
Marcus Mariota,QB,TEN,@ JAC,31st,5300,10.6,36.4,19.7,19.23,19.23,100,59,3.6,18.14,3.4
Kirk Cousins,QB,WAS,@ CAR,9th,5300,6.1,27.7,20.5,13.32,13.32,100,64,2.5,9.68,1.8
Doug Martin,RB,TB,@ PHI,8th,5300,7.2,21.9,15.6,12.09,12.09,100,48,2.3,26.5,5
Danny Woodhead,RB,SD,vs KC,5th,5300,9.4,34.3,15.3,17.68,17.68,100,39,3.3,2.6,0.5
James Starks,RB,GB,@ MIN,3rd,5300,8.4,23.7,10.8,13.54,13.54,100,11,2.6,5.4,1
Joe Flacco,QB,BAL,vs STL,15th,5300,9.7,30.4,19.1,16.64,16.64,100,58,3.1,13.96,2.6
Tyrod Taylor,QB,BUF,@ NE,13th,5200,10.4,34.4,19.9,18.41,18.41,100,58,3.5,9.42,1.8
John Brown,WR,ARI,vs CIN,5th,5200,3.5,25.4,14.3,10.84,10.84,100,26,2.1,14.2,2.7
Ryan Tannehill,QB,MIA,vs DAL,6th,5100,11.3,32,18.2,18.24,18.24,100,55,3.6,15.82,3.1
DeSean Jackson,WR,WAS,@ CAR,7th,5100,2.6,27.5,12.1,10.92,10.92,100,18,2.1,19.7,3.9
Jason Witten,TE,DAL,@ MIA,11th,5100,6,23.1,10.3,11.74,11.74,100,52,2.3,4.7,0.9
Jay Cutler,QB,CHI,vs DEN,2nd,5100,11,32.6,16.8,18.18,18.18,100,29,3.6,11.5,2.3
Blaine Gabbert,QB,SF,@ SEA,1st,5000,0,15,18,0,0,100,52,0,16.76,3.4
LeGarrette Blount,RB,NE,vs BUF,27th,5000,5,31.1,10.5,13.67,13.67,100,50,2.7,7.1,1.4
Brock Osweiler,QB,DEN,@ CHI,21st,5000,9,29.4,15.8,15.8,15.8,100,46,3.2,18.4,3.7
Jameis Winston,QB,TB,@ PHI,23rd,5000,11.5,28.9,18.6,17.33,17.33,100,71,3.5,29.84,6
Jeremy Hill,RB,CIN,@ ARI,13th,5000,1.1,26.3,10.8,9.53,9.53,100,30,1.9,16.5,3.3
Teddy Bridgewater,QB,MIN,vs GB,26th,5000,9.9,27.9,13.7,15.88,15.88,100,0,3.2,20.14,4
Stefon Diggs,WR,MIN,vs GB,27th,5000,5.1,34.8,11.9,15.01,15.01,100,49,3,12.6,2.5
Case Keenum,QB,STL,@ BAL,24th,5000,6.3,30.3,9.3,14.26,14.26,100,42,2.9,7.44,1.5
Alex Smith,QB,KC,@ SD,16th,5000,12,29.4,17.6,17.81,17.81,100,60,3.6,13.42,2.7
Ryan Fitzpatrick,QB,NYJ,@ HOU,14th,5000,9.9,35.1,19.1,18.26,18.26,100,33,3.7,17.84,3.6
James Jones,WR,GB,@ MIN,14th,5000,4.2,23.7,12.5,10.74,10.74,100,0,2.1,27.9,5.6
Jeremy Maclin,WR,KC,@ SD,17th,5000,2.8,33.4,16.9,13.02,13.02,100,0,2.6,5.9,1.2
T.J. Yates,QB,HOU,vs NYJ,10th,5000,3.5,20.8,6.2,13.89,13.89,100,0,2.8,15.66,3.1
Mark Sanchez,QB,PHI,vs TB,19th,5000,9.5,35,12.6,17.96,17.96,100,0,3.6,16.84,3.4
Darren McFadden,RB,DAL,@ MIA,21st,5000,11.5,25,13.4,15.97,15.97,100,0,3.2,20.9,4.2
Jordan Reed,TE,WAS,@ CAR,20th,4900,4.1,29.9,18,12.7,12.7,100,44,2.6,9.6,2
Jimmy Graham,TE,SEA,vs SF,10th,4900,2.9,29.4,11.2,11.75,11.75,100,38,2.4,6.9,1.4
T.J. Yeldon,RB,JAC,vs TEN,12th,4800,7,22.9,13.5,12.34,12.34,100,48,2.6,11.2,2.3
Sammy Watkins,WR,BUF,@ NE,18th,4800,4.1,32.9,18,13.7,13.7,100,0,2.9,6.9,1.4
Eddie Lacy,RB,GB,@ MIN,3rd,4800,0,23.4,10.1,6.36,6.36,100,8,1.3,14.6,3
Kamar Aiken,WR,BAL,vs STL,15th,4800,8.9,21.5,12.6,13.09,13.09,100,0,2.7,16,3.3
Antonio Gates,TE,SD,vs KC,3rd,4800,5.5,28.9,13.5,13.33,13.33,100,29,2.8,1.6,0.3
Delanie Walker,TE,TEN,@ JAC,27th,4800,3.7,25.9,16.5,11.13,11.13,100,50,2.3,21.9,4.6
Donte Moncrief,WR,IND,@ ATL,4th,4700,2.8,28,11.2,11.19,11.19,100,31,2.4,9.1,1.9
Rishard Matthews,WR,MIA,vs DAL,6th,4700,5,27.8,12.7,12.55,12.55,100,37,2.7,2.5,0.5
Travis Kelce,TE,KC,@ SD,18th,4700,4.5,27.3,12.2,12.09,12.09,100,39,2.6,9.6,2
Chris Johnson,RB,ARI,vs CIN,10th,4700,9.1,24.7,11,14.28,14.28,100,0,3,7.5,1.6
Vincent Jackson,WR,TB,@ PHI,23rd,4700,0,13.6,11,0,0,100,0,0,15.6,3.3
Frank Gore,RB,IND,@ ATL,26th,4700,8.6,28.7,12.3,15.32,15.32,100,57,3.3,12,2.6
Davante Adams,WR,GB,@ MIN,14th,4600,4,34.6,8.2,14.24,14.24,100,40,3.1,6.6,1.4
Tavon Austin,WR,STL,@ BAL,30th,4600,6.1,22.9,12.5,11.69,11.69,100,45,2.5,2.1,0.5
Golden Tate,WR,DET,vs OAK,8th,4600,3.9,31.2,13.2,12.97,12.97,100,31,2.8,15.1,3.3
Giovani Bernard,RB,CIN,@ ARI,13th,4500,7.6,28.9,11.7,14.67,14.67,100,45,3.3,25.6,5.7
Charcandrick West,RB,KC,@ SD,28th,4500,13.8,33.9,10.5,20.46,20.46,100,0,4.5,8.4,1.9
Jonathan Stewart,RB,CAR,vs WAS,32nd,4400,8,28,13.1,14.65,14.65,100,36,3.3,21.4,4.9
