Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,@ SF,26th,9300,13.8,49.8,24.8,25.75,25.75,100,42,2.8,26.7,2.9
Odell Beckham Jr.,WR,NYG,@ TB,30th,8800,13.7,47.9,22.9,25.06,25.06,100,37,2.8,22.5,2.6
Tom Brady,QB,NE,vs WAS,23rd,8500,17.1,44.1,23.4,26.12,26.12,100,68,3.1,18.86,2.2
Julian Edelman,WR,NE,vs WAS,27th,8200,13.3,35.8,19.6,20.8,20.8,100,30,2.5,15.5,1.9
Antonio Brown,WR,PIT,vs OAK,11th,8100,16.6,42.4,26.1,25.17,25.17,100,59,3.1,49.6,6.1
Rob Gronkowski,TE,NE,vs WAS,9th,8000,11.3,41.3,18,21.29,21.29,100,38,2.7,8.7,1.1
Devonta Freeman,RB,ATL,@ SF,17th,8000,12.2,41.3,22.1,21.95,21.95,100,42,2.7,21.9,2.7
Dez Bryant,WR,DAL,vs PHI,19th,7900,5.2,35.5,10.2,15.31,15.31,100,32,1.9,24.4,3.1
Brandon Marshall,WR,NYJ,vs JAC,9th,7600,10.3,34.6,23.2,18.41,18.41,100,39,2.4,14.4,1.9
A.J. Green,WR,CIN,vs CLE,13th,7600,11.8,47.2,17.9,23.56,23.56,100,47,3.1,9.3,1.2
Demaryius Thomas,WR,DEN,@ IND,15th,7500,12.2,41.3,17.6,21.87,21.87,100,37,2.9,10,1.3
Aaron Rodgers,QB,GB,@ CAR,11th,7400,10.6,36.4,20.1,19.2,19.2,100,63,2.6,36.96,5
Adrian Peterson,RB,MIN,vs STL,15th,7300,14.4,24.9,17.8,17.87,17.87,100,10,2.4,25.3,3.5
Emmanuel Sanders,WR,DEN,@ IND,15th,7300,6.9,36.3,15.9,16.67,16.67,100,36,2.3,21,2.9
Drew Brees,QB,NO,vs TEN,5th,7200,13.6,36.7,23.1,21.32,21.32,100,70,3,35.38,4.9
Matt Ryan,QB,ATL,@ SF,28th,7100,12.2,34.7,16.9,19.66,19.66,100,70,2.8,19.32,2.7
Andrew Luck,QB,IND,vs DEN,1st,7000,10.3,35.5,21.4,18.69,18.69,100,64,2.7,21.48,3.1
Eli Manning,QB,NYG,@ TB,30th,6900,13,34.6,20.2,20.19,20.19,100,55,2.9,14.42,2.1
