"Anthony Rizzo_CHC","Charlie Blackmon_COL","Kris Bryant_CHC","Nolan Arenado_COL","Mike Trout_LAA","Ian Desmond_COL","Ben Zobrist_CHC","Kyle Schwarber_CHC","Javier Baez_CHC","Trevor Story_COL","David Dahl_COL","Carlos Gonzalez_COL","Jason Heyward_CHC","DJ LeMahieu_COL","Addison Russell_CHC","Mark Reynolds_COL","Albert Almora_CHC","Jon Jay_CHC","Willson Contreras_CHC","Miguel Montero_CHC","Khris Davis_OAK","Gerardo Parra_COL","Ian Happ_CHC","Albert Pujols_LAA","Rajai Davis_OAK","Tommy La Stella_CHC","Ryon Healy_OAK","Stephen Cardullo_COL","Raimel Tapia_COL","Yonder Alonso_OAK","Kole Calhoun_LAA","Dustin Garneau_COL","Pat Valaika_COL","Cameron Maybin_LAA","Marcus Semien_OAK","CJ Cron_LAA","Tom Murphy_COL","Trevor Plouffe_OAK","Luis Valbuena_LAA","Stephen Vogt_OAK","Jefry Marte_LAA","Yunel Escobar_LAA","Matt Joyce_OAK","Ben Revere_LAA","Josh Phegley_OAK","Mark Canha_OAK","Tony Wolters_COL","Eloy Jimenez_CHC","Jed Lowrie_OAK","Andrelton Simmons_LAA","Danny Espinosa_LAA","Ryan Hanigan_COL","Cristhian Adames_COL","Jake Smolinski_OAK","Ryan LaMarre_OAK","Alexi Amarista_COL","Bruce Maxwell_OAK","Adam Rosales_OAK","Martin Maldonado_LAA","Juan Graterol_LAA","Chad Pinder_OAK","Jaff Decker_OAK","Carlos Perez_LAA","Cliff Pennington_LAA","Matt Olson_OAK"
29,0,29,0,0,0,22,26,21,0,0,0,24,0,27,0,13,12,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,0,28,0,6,0,0,0,26,0,26,0,27,0,26,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
29,0,29,0,0,0,22,26,21,0,0,0,24,0,27,0,13,12,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,29,0,6,0,0,0,26,0,25,0,27,0,26,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,25,0,0,19,0,13,0,0,0,0,15,26,0,10,0,0,0,0,0,26,24,0,0,0,0,0,0,0,22,2,0,0,3,4,0
0,6,0,6,0,7,0,0,0,5,0,5,0,7,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
22,0,22,0,0,0,22,21,14,0,0,0,19,0,20,0,7,9,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,26,0,0,0,21,26,18,0,0,0,24,0,24,0,10,10,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,21,0,0,0,14,18,21,0,0,0,16,0,19,0,9,6,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,26,0,5,0,0,0,27,0,23,0,25,0,25,0,0,0,0,0,19,0,0,0,0,0,5,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,25,0,5,0,0,0,23,0,26,0,24,0,23,0,0,0,0,0,17,0,0,0,0,0,4,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
