"Paul Goldschmidt_ARI","Jake Lamb_ARI","David Peralta_ARI","Chris Owings_ARI","Joey Votto_CIN","Gregor Blanco_ARI","Dexter Fowler_STL","Brandon Drury_ARI","Adam Duvall_CIN","AJ Pollock_ARI","Scott Schebler_CIN","Tommy Pham_STL","Scooter Gennett_CIN","Stephen Piscotty_STL","Jedd Gyorko_STL","Yasmany Tomas_ARI","Matt Carpenter_STL","Nick Ahmed_ARI","Yadier Molina_STL","Chris Herrmann_ARI","Billy Hamilton_CIN","Randal Grichuk_STL","Paul DeJong_STL","Daniel Descalso_ARI","Zack Cozart_CIN","Eugenio Suarez_CIN","Aledmys Diaz_STL","Chris Iannetta_ARI","Tommy Joseph_PHI","Jeremy Hazelbaker_ARI","Howie Kendrick_PHI","Cesar Hernandez_PHI","Odubel Herrera_PHI","Rey Fuentes_ARI","Aaron Altherr_PHI","Devin Mesoraco_CIN","Phillip Ervin_CIN","Socrates Brito_ARI","Maikel Franco_PHI","Jose Martinez_STL","Jack Reinheimer_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Kolten Wong_STL","Arismendy Alcantara_CIN","Daniel Nava_PHI","Cameron Perkins_PHI","Cameron Rupp_PHI","Andrew Knapp_PHI","Jose Peraza_CIN","Harrison Bader_STL","Chad Huffman_STL","Jesse Winker_CIN","Freddy Galvis_PHI","Jorge Alfaro_PHI","Nick Williams_PHI","Michael Saunders_PHI","Brock Stassi_PHI","Tucker Barnhart_CIN","Magneuris Sierra_STL","Andres Blanco_PHI","Christian Walker_ARI","Roman Quinn_PHI","Rhys Hoskins_PHI","Carson Kelly_STL","Scott Kingery_PHI","Greg Garcia_STL","Patrick Kivlehan_CIN","Ty Kelly_PHI","Eric Fryer_STL","Jeff Mathis_ARI","Stuart Turner_CIN","Nick Senzel_CIN"
71,66,52,61,0,23,0,58,0,31,0,0,0,0,0,39,0,35,0,23,0,0,0,31,0,0,0,23,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
66,68,53,57,0,22,0,55,0,29,0,0,0,0,0,36,0,32,0,25,0,0,0,27,0,0,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
52,53,54,43,0,18,0,45,0,23,0,0,0,0,0,27,0,17,0,19,0,0,0,25,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
61,57,43,62,0,20,0,49,0,30,0,0,0,0,0,37,0,25,0,19,0,0,0,26,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
0,0,0,0,70,0,0,0,64,0,64,0,31,0,0,0,0,0,0,0,64,0,0,0,55,64,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,7,0,0,0,0,63,0,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,11,0,0,0,4,0
23,22,18,20,0,24,0,18,0,0,0,0,0,0,0,6,0,15,0,9,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,58,0,0,0,0,28,0,42,46,0,52,0,49,0,0,32,17,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,9,0,0,0
58,55,45,49,0,18,0,60,0,26,0,0,0,0,0,36,0,27,0,17,0,0,0,23,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
0,0,0,0,64,0,0,0,64,0,59,0,26,0,0,0,0,0,0,0,59,0,0,0,50,58,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,7,0,0,0,0,57,0,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,7,0,0,0,4,0
31,29,23,30,0,0,0,26,0,32,0,0,0,0,0,26,0,13,0,9,0,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
0,0,0,0,64,0,0,0,59,0,64,0,27,0,0,0,0,0,0,0,60,0,0,0,49,58,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,5,0,0,0,0,58,0,0,2,0,0,0,0,0,38,0,0,0,0,0,0,0,0,7,0,0,0,3,0
0,0,0,0,0,0,28,0,0,0,0,38,0,20,33,0,36,0,29,0,0,13,19,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,8,0,0,0
0,0,0,0,31,0,0,0,26,0,27,0,31,0,0,0,0,0,0,0,27,0,0,0,19,25,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,42,0,0,0,0,20,0,48,36,0,43,0,37,0,0,24,17,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0
0,0,0,0,0,0,46,0,0,0,0,33,0,36,56,0,53,0,48,0,0,30,17,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,8,0,0,0
39,36,27,37,0,6,0,36,0,26,0,0,0,0,0,40,0,17,0,8,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
0,0,0,0,0,0,52,0,0,0,0,36,0,43,53,0,64,0,52,0,0,35,20,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,0,0,11,0,0,0
