"Anthony Rizzo_CHC","Kris Bryant_CHC","Tommy Pham_STL","Ian Happ_CHC","Javier Baez_CHC","Willson Contreras_CHC","Cory Spangenberg_SD","Dexter Fowler_STL","Jason Heyward_CHC","Matt Carpenter_STL","Denard Span_SF","Buster Posey_SF","Ben Zobrist_CHC","Jedd Gyorko_STL","Addison Russell_CHC","Wil Myers_SD","Hunter Renfroe_SD","Kyle Schwarber_CHC","Paul DeJong_STL","Randal Grichuk_STL","Aledmys Diaz_STL","Stephen Piscotty_STL","Ryan Schimpf_SD","Manuel Margot_SD","Eduardo Nunez_SF","Yadier Molina_STL","Brandon Belt_SF","Jose Pirela_SD","Luke Voit_STL","Jeimer Candelario_CHC","Hunter Pence_SF","Jabari Blash_SD","Kolten Wong_STL","Albert Almora_CHC","Nick Hundley_SF","Brandon Crawford_SF","Hector Sanchez_SD","Austin Hedges_SD","Christian Arroyo_SF","Jon Jay_CHC","Magneuris Sierra_STL","Yangervis Solarte_SD","Jarrett Parker_SF","Joe Panik_SF","Carlos Asuaje_SD","Alex Dickerson_SD","Victor Caratini_CHC","Mark Zagunis_CHC","Travis Jankowski_SD","Mac Williamson_SF","Erick Aybar_SD","Kelby Tomlinson_SF","Franchy Cordero_SD","Gorkys Hernandez_SF","Allen Cordoba_SD","Jae-gyun Hwang_SF","Aaron Hill_SF","Matt Szczur_SD","Jose Martinez_STL","Greg Garcia_STL","Tommy La Stella_CHC","Harrison Bader_STL","Chase d'Arnaud_SD","Justin Ruggiano_SF","Conor Gillaspie_SF","Christian Bethancourt_SD","Luis Urias_SD","Michael Morse_SF","Tim Federowicz_SF","Austin Slater_SF","Ryder Jones_SF","Orlando Calixte_SF","Carson Kelly_STL","Eric Fryer_STL","Chris Marrero_SF","Chad Huffman_STL","Alex Mejia_STL","Jose Rondon_SD","Miguel Gomez_SF","Luis Torrens_SD"
85,78,0,45,64,61,0,0,57,0,0,0,52,0,66,0,0,58,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,39,0,0,0,0,0,35,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,80,0,40,60,56,0,0,55,0,0,0,51,0,63,0,0,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,0,0,34,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,0,0,0,0,34,0,51,0,0,0,46,0,0,0,0,34,23,36,29,0,0,0,44,0,0,9,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0
45,40,0,46,35,32,0,0,24,0,0,0,20,0,31,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,60,0,35,66,50,0,0,38,0,0,0,35,0,46,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,33,0,0,0,0,0,27,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,56,0,32,50,62,0,0,41,0,0,0,38,0,47,0,0,40,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,33,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,51,46,0,0,0,0,0,15,31,0,0,0,26,0,0,0,9,0,0,0,0,6,38,0,0,0,34,0,0,17,0,0,0,0,0,40,0,16,0,20,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,34,0,0,0,0,65,0,59,0,0,0,52,0,0,0,0,24,33,51,44,0,0,0,55,0,0,3,0,0,0,35,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
57,55,0,24,38,41,0,0,57,0,0,0,42,0,45,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,51,0,0,0,0,59,0,81,0,0,0,66,0,0,0,0,35,45,57,53,0,0,0,66,0,0,9,0,0,0,41,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,63,50,0,0,0,0,0,0,0,0,0,0,0,0,42,0,61,0,0,0,40,0,0,0,16,62,0,0,12,0,0,0,6,55,0,0,0,0,0,9,0,4,0,18,0,7,8,0,0,0,0,0,0,8,5,0,0,0,0,19,3,5,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,50,78,0,0,0,0,0,0,0,0,0,0,0,0,59,0,70,0,0,0,56,0,0,0,14,61,0,0,27,0,0,0,4,65,0,0,0,0,0,8,0,9,0,40,0,8,11,0,0,0,0,0,0,12,4,0,0,5,0,20,3,5,0,0,6,0,0,0,0,0
