"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
8355,"Julian Edelman","WR","NE","MIA",15,78,98,0,24,17,24,35.9,25.5
4490,"Johnathan Joseph","CB","HOU","IND",15,55,79,0,0,0,0,0,25.5
11132,"Jerry Hughes","OLB","BUF","JAX",15,34,45,0,0,0,0,0,25.3
15036,"Montee Ball","RB","DEN","SD",15,19,35,16,26,42,42,9.8,25.3
13320,"Cam Newton","QB","CAR","NYJ",15,64,100,11,0,48,48,16.12,25.2
3867,"Tony Romo","QB","DAL","GB",15,73,100,0,0,66,66,23.32,25.1
14536,"Russell Wilson","QB","SEA","NYG",15,61,88,13,0,57,57,16.24,25
15200,"William Gholston","DE","TB","SF",15,38,51,0,0,0,0,0,25
15418,"Joe Vellano","DT","NE","MIA",15,22,34,0,0,0,0,0,25
11126,"Kavell Conner","ILB","IND","HOU",15,16,25,0,0,0,0,0,25
6411,"Husain Abdullah","FS","KC","OAK",15,12,16,0,0,0,0,0,25
13140,"Mark Herzlich","OLB","NYG","SEA",15,8,12,0,0,0,0,0,25
4992,"Justin Durant","OLB","DAL","GB",15,8,11,0,0,0,0,0,25
13898,"James-Michael Johnson","ILB","KC","OAK",15,8,11,0,0,0,0,0,25
14021,"Andre Branch","DE","JAX","BUF",15,41,54,0,0,0,0,0,24.9
11056,"Antonio Brown","WR","PIT","CIN",15,52,84,2,12,12,14,23.7,24.4
8621,"Curtis Painter","QB","NYG","SEA",15,5,9,0,0,80,80,1.2,24
7242,"Drew Brees","QB","NO","LA",15,86,100,2,0,67,67,26.52,23.9
12912,"Jurrell Casey","DT","TEN","ARI",15,64,94,0,0,0,0,0,23.8
8604,"Donald Brown","RB","IND","HOU",15,16,23,31,0,31,31,3.8,23.8
13102,"Jordan Todman","RB","JAX","BUF",15,65,87,39,12,45,51,22.3,23.5
13460,"Doug Baldwin","WR","SEA","NYG",15,57,83,2,12,12,14,19.4,23.5
9373,"David Hawthorne","OLB","NO","LA",15,47,87,0,0,0,0,0,23.4
6539,"Robert Mathis","OLB","IND","HOU",15,46,71,0,0,0,0,0,23.3
3519,"Vincent Jackson","WR","TB","SF",15,51,100,0,16,10,16,16.8,23.1
14008,"Andrew Luck","QB","IND","HOU",15,70,100,7,0,53,53,17.1,23
13557,"Ben Tate","RB","HOU","IND",15,40,62,40,15,48,55,12.2,23
511,"Patrick Willis","ILB","SF","TB",15,51,100,0,0,0,0,0,22.7
13085,"Marcus Gilchrist","FS","SD","DEN",15,54,100,0,0,0,0,0,22.6
13731,"Mychal Kendricks","OLB","PHI","MIN",15,75,100,0,0,0,0,0,22.5
3254,"James Anderson","ILB","CHI","CLE",15,58,100,0,0,0,0,0,22.4
8967,"Earl Bennett","WR","CHI","CLE",15,37,55,0,11,11,11,12.3,22.4
9331,"Michael Crabtree","WR","SF","TB",15,47,64,0,13,11,13,15.5,22.3
12939,"Brandon Harris","CB","HOU","IND",15,9,13,0,0,0,0,0,22.2
622,"Jared Allen","OLB","MIN","PHI",15,65,94,0,0,0,0,0,22
13479,"Richard Sherman","CB","SEA","NYG",15,50,91,0,0,0,0,0,22
13870,"Marvin Jones","WR","CIN","PIT",15,49,71,0,18,10,18,15.8,22
14587,"Josh Gordon","WR","CLE","CHI",15,58,100,0,17,5,17,15.7,21.9
14391,"Keith Tandy","SS","TB","SF",15,32,43,0,0,0,0,0,21.9
11205,"Eric Berry","SS","KC","OAK",15,71,93,0,0,0,0,0,21.8
2699,"Matt Forte","RB","CHI","CLE",15,60,90,40,5,42,45,17.1,21.8
11859,"Jason Campbell","QB","CLE","CHI",15,58,100,2,0,69,69,14.62,21.8
7534,"Justin Smith","DT","SF","TB",15,33,65,0,0,0,0,0,21.8
11400,"Andrew Quarless","TE","GB","DAL",15,58,80,0,10,10,10,18.6,21.7
3808,"William Hayes","DE","LA","NO",15,35,41,0,0,0,0,0,21.7
6132,"Jarret Johnson","OLB","SD","DEN",15,23,43,0,0,0,0,0,21.7
8244,"Philip Rivers","QB","SD","DEN",15,72,100,4,0,32,32,15.54,21.6
11464,"Robert McClain","CB","ATL","WAS",15,44,65,0,0,0,0,0,21.6
14871,"Robert Woods","WR","BUF","JAX",15,66,87,0,9,8,9,19.2,21.5
7202,"Brian Robison","DE","MIN","PHI",15,58,84,0,0,0,0,0,21.4
12177,"Joe Mays","ILB","HOU","IND",15,56,80,0,0,0,0,0,21.4
12239,"Chris Ivory","RB","NYJ","CAR",15,31,50,36,3,36,39,6.6,21.3
15009,"Bjoern Werner","OLB","IND","HOU",15,34,52,0,0,0,0,0,21.2
15137,"Datone Jones","OLB","GB","DAL",15,17,23,0,0,0,0,0,21.2
14895,"Geno Smith","QB","NYJ","CAR",15,62,100,10,0,55,55,14.08,21.1
13440,"Kendall Hunter","RB","SF","TB",15,19,26,42,0,42,42,4,21.1
11302,"Linval Joseph","NT","NYG","SEA",15,39,58,0,0,0,0,0,21
2405,"Chad Henne","QB","JAX","BUF",15,75,100,5,0,53,53,17.68,20.9
14899,"Matt Elam","SS","BAL","DET",15,65,100,0,0,0,0,0,20.8
10992,"Jeff Cumberland","TE","NYJ","CAR",15,53,86,0,8,6,8,14,20.8
14402,"Matt Conrath","DT","LA","NO",15,24,28,0,0,0,0,0,20.8
15076,"Keenan Allen","WR","SD","DEN",15,72,100,0,7,3,7,16.9,20.7
13748,"Dont'a Hightower","ILB","NE","MIA",15,41,64,0,0,0,0,0,20.7
4738,"Mike Tolbert","FB","CAR","NYJ",15,41,64,29,5,32,34,9.5,20.7
14975,"Vince Williams","ILB","PIT","CIN",15,29,42,0,0,0,0,0,20.7
2550,"Kyle Williams","DT","BUF","JAX",15,63,84,0,0,0,0,0,20.5
5084,"Vernon Davis","TE","SF","TB",15,68,92,0,10,7,10,18.9,20.4
14916,"Giovani Bernard","RB","CIN","PIT",15,52,75,25,8,29,33,12.6,20.4
13264,"Andre Holmes","WR","OAK","KC",15,58,73,0,12,7,12,15.8,20.3
9906,"Danny Amendola","WR","NE","MIA",15,65,81,0,22,15,22,26.1,20.2
14187,"Alshon Jeffery","WR","CHI","CLE",15,64,96,2,8,9,9,17.9,20.2
12747,"Aaron Williams","SS","BUF","JAX",15,55,73,0,0,0,0,0,20
15072,"Mychal Rivera","TE","OAK","KC",15,45,57,0,11,7,11,12,20
14820,"Sean McGrath","TE","KC","OAK",15,37,69,0,5,5,5,9.4,20
15807,"Josh McNary","ILB","IND","HOU",15,15,23,0,0,0,0,0,20
14722,"Duke Ihenacho","SS","DEN","SD",15,10,14,0,0,0,0,0,20
3378,"Nick Barnett","ILB","WAS","ATL",15,10,15,0,0,0,0,0,20
12581,"Vincent Rey","ILB","CIN","PIT",15,10,16,0,0,0,0,0,20
