"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
15782,"Larry Donnell","TE","NYG","DEN",2,20,25,0,15,15,15,6.1,15.5
11384,"Willie Young","OLB","DET","ARI",2,48,68,0,0,0,0,0,15.4
13843,"Ishmaa'ily Kitchen","NT","CLE","BAL",2,13,18,0,0,0,0,0,15.4
13337,"Mark Ingram","RB","NO","TB",2,13,18,62,8,62,69,2,15.4
8565,"Connor Barwin","DE","PHI","SD",2,79,95,0,0,0,0,0,15.3
11658,"Karlos Dansby","OLB","ARI","DET",2,59,100,0,0,0,0,0,15.3
6078,"Brent Grimes","CB","MIA","IND",2,69,96,0,0,0,0,0,15.2
11313,"Riley Cooper","WR","PHI","SD",2,56,95,0,5,4,5,10.5,15.2
5940,"Dashon Goldson","FS","TB","NO",2,73,100,0,0,0,0,0,15.1
12305,"Derrick Morgan","OLB","TEN","HOU",2,71,87,0,0,0,0,0,15.1
11308,"Nate Allen","FS","PHI","SD",2,63,76,0,0,0,0,0,15.1
4672,"Geno Hayes","OLB","JAX","OAK",2,63,100,0,0,0,0,0,15.1
15226,"Tyrann Mathieu","FS","ARI","DET",2,53,90,0,0,0,0,0,15.1
5537,"Josh Morgan","WR","WAS","GB",2,26,43,0,23,8,23,5.9,15
5929,"Domata Peko","NT","CIN","PIT",2,22,39,0,0,0,0,0,15
15680,"Isaiah Frey","FS","CHI","MIN",2,20,31,0,0,0,0,0,15
11464,"Robert McClain","CB","ATL","LA",2,74,96,0,0,0,0,0,14.9
7962,"Reed Doughty","FS","WAS","GB",2,47,65,0,0,0,0,0,14.9
12241,"Junior Galette","OLB","NO","TB",2,47,80,0,0,0,0,0,14.9
13355,"Adrian Clayborn","DE","TB","NO",2,71,97,0,0,0,0,0,14.8
7634,"Tracy Porter","CB","OAK","JAX",2,67,100,0,0,0,0,0,14.8
11371,"Major Wright","SS","CHI","MIN",2,61,95,0,0,0,0,0,14.8
12815,"Josh Bynes","ILB","BAL","CLE",2,44,70,0,0,0,0,0,14.8
9788,"Lardarius Webb","FS","BAL","CLE",2,58,92,0,0,0,0,0,14.7
13018,"Chris Harris","CB","DEN","NYG",2,79,100,0,0,0,0,0,14.6
14737,"Antonio Allen","FS","NYJ","NE",2,41,63,0,0,0,0,0,14.6
734,"Roman Harper","SS","NO","TB",2,41,70,0,0,0,0,0,14.6
13870,"Marvin Jones","WR","CIN","PIT",2,24,29,0,17,13,17,6.5,14.6
13027,"Julius Thomas","TE","DEN","NYG",2,74,100,0,12,8,12,16.7,14.5
7174,"Jon Beason","ILB","CAR","BUF",2,31,41,0,0,0,0,0,14.5
14536,"Russell Wilson","QB","SEA","SF",2,76,100,13,0,38,38,11.98,14.4
15154,"Joplo Bartu","ILB","ATL","LA",2,63,82,0,0,0,0,0,14.3
2307,"Justin Tuck","DE","NYG","DEN",2,49,66,0,0,0,0,0,14.3
15189,"Kawann Short","DT","CAR","BUF",2,35,47,0,0,0,0,0,14.3
12056,"Roy Miller","DT","JAX","OAK",2,35,56,0,0,0,0,0,14.3
12177,"Joe Mays","ILB","HOU","TEN",2,28,40,0,0,0,0,0,14.3
11889,"Kion Wilson","ILB","PIT","CIN",2,21,26,0,0,0,0,0,14.3
6780,"Asante Samuel","CB","ATL","LA",2,7,9,0,0,0,0,0,14.3
15261,"Spencer Ware","RB","SEA","SF",2,7,9,43,0,43,43,1,14.3
7884,"Antonio Gates","TE","SD","PHI",2,73,88,0,14,11,14,22.4,14.2
6285,"Chad Greenway","OLB","MIN","CHI",2,67,100,0,0,0,0,0,14.2
11021,"Geno Atkins","DT","CIN","PIT",2,43,75,0,0,0,0,0,14.2
13140,"Mark Herzlich","OLB","NYG","DEN",2,25,34,0,0,0,0,0,14
7308,"Maurice Jones-Drew","RB","JAX","OAK",2,20,30,50,5,55,55,3.8,14
9793,"Dannell Ellerbe","OLB","MIA","IND",2,72,100,0,0,0,0,0,13.9
13002,"Cecil Shorts","WR","JAX","OAK",2,67,100,0,21,12,21,17.3,13.9
11598,"Kam Chancellor","SS","SEA","SF",2,54,100,0,0,0,0,0,13.9
15009,"Bjoern Werner","OLB","IND","MIA",2,32,49,0,0,0,0,0,13.8
11370,"Corey Wootton","DE","CHI","MIN",2,51,80,0,0,0,0,0,13.7
13472,"Byron Maxwell","CB","SEA","SF",2,22,41,0,0,0,0,0,13.6
12747,"Aaron Williams","SS","BUF","CAR",2,78,99,0,0,0,0,0,13.5
8515,"Ryan Mundy","SS","NYG","DEN",2,74,100,0,0,0,0,0,13.5
6259,"LaRon Landry","FS","IND","MIA",2,63,96,0,0,0,0,0,13.5
3519,"Vincent Jackson","WR","TB","NO",2,57,97,0,19,9,19,12.7,13.5
