"Bryce Harper_Was","Daniel Murphy_Was","Nolan Arenado_Col","Adam Eaton_Was","Charlie Blackmon_Col","Trea Turner_Was","Paul Goldschmidt_Ari","Ryan Zimmerman_Was","Anthony Rendon_Was","Trevor Story_Col","Wil Myers_SD","Carlos Gonzalez_Col","Jayson Werth_Was","Ian Desmond_Col","DJ LeMahieu_Col","David Dahl_Col","Michael Taylor_Was","Matt Wieters_Was","Adam Lind_Was","Mark Reynolds_Col","AJ Pollock_Ari","Jake Lamb_Ari","Yasmany Tomas_Ari","Gerardo Parra_Col","Ryan Schimpf_SD","Yangervis Solarte_SD","David Peralta_Ari","Stephen Drew_Was","Manuel Margot_SD","Wilmer Difo_Was","Stephen Cardullo_Col","Raimel Tapia_Col","Brandon Drury_Ari","Chris Owings_Ari","Alex Dickerson_SD","Hunter Renfroe_SD","Dustin Garneau_Col","Chris Heisey_Was","Cory Spangenberg_SD","Tom Murphy_Col","Jeremy Hazelbaker_Ari","Chris Herrmann_Ari","Travis Jankowski_SD","Jose Lobaton_Was","Socrates Brito_Ari","Pat Valaika_Col","Tony Wolters_Col","Christian Bethancourt_SD","Austin Hedges_SD","Cristhian Adames_Col","Chris Iannetta_Ari","Erick Aybar_SD","Alexi Amarista_Col","Daniel Descalso_Ari","Luis Sardinas_SD","Allen Cordoba_SD","Grant Green_Was","Nick Ahmed_Ari","Jabari Blash_SD","Hector Sanchez_SD","Jeff Mathis_Ari","Luis Torrens_SD"
0,0,-9.48529411764706,0,-9.96691176470588,0,0,0,0,-2.6625,0,-6.49583333333333,0,0,39.3088235294118,0,0,0,0,7.25416666666667,0,0,0,-13.5818181818182,0,0,0,0,0,0,2.5,0,0,0,0,0,7.88095238095238,0,0,0,0,0,0,0,0,0,-15.2777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2,0,-4,0,-5,0,10.6666666666667,3,0,0,0,0,0,0,0,1.33333333333333,-5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,28.5545454545455,0,11.5454545454545,0,-19.75,0,-1.74545454545455,-10.1111111111111,0,0,0,26,0,0,0,-5,54.4545454545455,0,0,0,0,0,0,0,0,0,8.33333333333333,0,2.86666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2.82083333333333,0,17.175,0,0,0,0,8.92857142857143,0,-4.57619047619048,0,0,7.25416666666667,0,0,0,0,86.2625,0,0,0,-0.277777777777778,0,0,0,0,0,0,0.1,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,19.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14.05,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1544117647059,-4.92916666666667,-4.61428571428571,0,0,0,9.53846153846154,0,0,0,0,0,13.3296703296703,12.2857142857143,0,0,0,0,0,0,0,-6.08333333333333,0,0,0,0,0,0,0,0,6,0,0,2.25,0,0,0,-1.5,0,0,17.7888888888889,0
0,0,0,0,0,0,18.156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.92916666666667,49.3391812865497,4.41904761904762,0,0,0,20.8529411764706,0,0,0,0,0,4.01666666666667,-24.7142857142857,0,0,0,0,0,0,4.33333333333333,50.1,0,0,0,0,0,0,0,0,-12.3809523809524,0,0,-2.5,0,0,0,-10.7,0,0,-21.4222222222222,0
0,0,0,0,0,0,10.3190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.61428571428571,4.41904761904762,87.3958333333333,0,0,0,41.7179487179487,0,0,0,0,0,21.5714285714286,9.59523809523809,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,-2.4,0,0,21.3333333333333,0,0,0,-0.416666666666667,0,0,-2.47222222222222,0
0,0,9.78181818181818,0,16.8,0,0,0,0,18.1888888888889,0,8.6,0,0,-13.5818181818182,0,0,0,0,-0.277777777777778,0,0,0,61.8181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-5.52083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2625,2.69166666666667,0,0,-3.21428571428571,0,0,0,0,0,0,-8.87916666666667,0,0,0,0,0,0,-2.02272727272727,0,0,0,0,0,-21.1373626373626,0,0,-7.34065934065934,0,0,0,0,0,0,-20,0,0,0
0,0,0,0,0,0,0,0,0,0,9.36601307189543,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69166666666667,30.8398692810458,0,0,13.1176470588235,0,0,0,0,0,0,-6.38888888888889,0,0,0,0,0,0,-2.54545454545455,0,0,0,0,0,9.85714285714286,0,0,13.552380952381,0,0,-6.66666666666667,-3.75,0,0,-1,0,0,-7
0,0,0,0,0,0,18.6708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53846153846154,20.8529411764706,41.7179487179487,0,0,0,101.117647058824,0,0,0,0,0,25.3956043956044,29.8653846153846,0,0,0,0,0,0,52,79.35,0,0,0,0,0,0,0,0,-8.8,0,0,-4.25,0,0,0,-22.6666666666667,0,0,-19.4222222222222,0
87.5,-162.5,0,104.166666666667,0,0,0,145.833333333333,0,0,0,0,41.6666666666667,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,208.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.11397058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21428571428571,13.1176470588235,0,0,33.4705882352941,0,0,0,0,0,0,-1.37867647058824,0,0,0,0,0,0,-4.34545454545455,0,0,0,0,0,-12.5824175824176,0,0,5.7032967032967,0,0,-11.1666666666667,7.33333333333333,0,0,0,0,0,0
48.8571428571429,-8.45238095238095,0,19.8333333333333,0,0,0,34.2,5.52380952380952,0,0,0,-4.95,0,0,0,2,2.86666666666667,-3,0,0,0,0,0,0,0,0,0,0,18.2857142857143,0,0,0,0,0,0,0,-33,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
