player,salary,team,pos,opp,ceil,floor,fpts
"Cam Newton",7700,CAR,QB,DEN,,,19.86
"Jonathan Stewart",5100,CAR,RB,DEN,,,13.11
"Cameron Artis-Payne",3000,CAR,RB,DEN,,,4.07
"Kelvin Benjamin",5700,CAR,WR,DEN,,,11.86
"Devin Funchess",4800,CAR,WR,DEN,,,9.46
"Ted Ginn",4100,CAR,WR,DEN,,,7.85
"Philly Brown",3000,CAR,WR,DEN,,,5.84
"Greg Olsen",5100,CAR,TE,DEN,,,16.32
"Ed Dickson",2500,CAR,TE,DEN,,,2.64
"C.J. Anderson",5900,DEN,RB,CAR,,,14.6
"Demaryius Thomas",7000,DEN,WR,CAR,,,16.04
"Emmanuel Sanders",5700,DEN,WR,CAR,,,15.19
"Bennie Fowler",3000,DEN,WR,CAR,,,4.74
"Cody Latimer",3000,DEN,WR,CAR,,,3.65
"Virgil Green",2900,DEN,TE,CAR,,,9.31
"Charles Johnson",3000,CAR,WR,DEN,,,4.98
"Devontae Booker",3300,DEN,RB,CAR,,,6.9
"Trevor Siemian",5200,DEN,QB,CAR,,,15.28
"Adrian Peterson",7600,MIN,RB,TEN,,,18.29
"Jerick McKinnon",4600,MIN,RB,TEN,,,5.03
"Stefon Diggs",4800,MIN,WR,TEN,,,12.18
"Laquon Treadwell",4500,MIN,WR,TEN,,,8.3
"Jarius Wright",3000,MIN,WR,TEN,,,6.05
"Kyle Rudolph",3000,MIN,TE,TEN,,,8.39
"MyCole Pruitt",2500,MIN,TE,TEN,,,2.19
"Marcus Mariota",6400,TEN,QB,MIN,,,19.06
"DeMarco Murray",5300,TEN,RB,MIN,,,11.99
"Derrick Henry",4000,TEN,RB,MIN,,,6.69
"Rishard Matthews",3300,TEN,WR,MIN,,,10.47
"Tajae Sharpe",3000,TEN,WR,MIN,,,11.83
"Kendall Wright",3400,TEN,WR,MIN,,,8.37
"Delanie Walker",4500,TEN,TE,MIN,,,13.8
"Anthony Fasano",2500,TEN,TE,MIN,,,4.02
"Andre Johnson",3900,TEN,WR,MIN,,,4.42
"Shaun Hill",5000,MIN,QB,TEN,25.36,0,12.68
"Dorial Green-Beckham",4500,PHI,WR,CLE,,,8.47
"Robert Griffin III",5600,CLE,QB,PHI,,,18.46
"Isaiah Crowell",4200,CLE,RB,PHI,,,8.57
"Duke Johnson",5100,CLE,RB,PHI,,,11.19
"Corey Coleman",5100,CLE,WR,PHI,,,12.57
"Terrelle Pryor",3000,CLE,WR,PHI,,,7.45
"Andrew Hawkins",3800,CLE,WR,PHI,,,4.83
"Gary Barnidge",4700,CLE,TE,PHI,,,12.98
"Sam Bradford",6400,PHI,QB,CLE,,,15.64
"Ryan Mathews",5700,PHI,RB,CLE,,,14.74
"Darren Sproles",4200,PHI,RB,CLE,,,10.5
"Jordan Matthews",6700,PHI,WR,CLE,,,13.9
"Nelson Agholor",3500,PHI,WR,CLE,,,7.36
"Brent Celek",2700,PHI,TE,CLE,,,6.42
"Zach Ertz",4300,PHI,TE,CLE,,,14.12
"Carson Wentz",5000,PHI,QB,CLE,,,16.35
"Chase Daniel",5000,PHI,QB,CLE,22.0176,8.5624,15.29
"Aaron Rodgers",8500,GBP,QB,JAC,,,23.19
"Eddie Lacy",6700,GBP,RB,JAC,,,13.98
"James Starks",4800,GBP,RB,JAC,,,7.85
"Jordy Nelson",7700,GBP,WR,JAC,,,18.78
"Randall Cobb",7600,GBP,WR,JAC,,,17.1
"Davante Adams",4300,GBP,WR,JAC,,,7.32
"Jared Abbrederis",3300,GBP,WR,JAC,,,5.58
"Richard Rodgers",3100,GBP,TE,JAC,,,6.89
"Jared Cook",2900,GBP,TE,JAC,,,9.65
"Blake Bortles",7200,JAC,QB,GBP,,,19.02
"Chris Ivory",4300,JAC,RB,GBP,,,9.43
"T.J. Yeldon",4100,JAC,RB,GBP,,,9.8
"Allen Robinson",8300,JAC,WR,GBP,,,18.72
"Allen Hurns",5800,JAC,WR,GBP,,,13.08
"Marqise Lee",3100,JAC,WR,GBP,,,4.97
"Rashad Greene",3500,JAC,WR,GBP,,,4.19
"Julius Thomas",3800,JAC,TE,GBP,,,10.5
"Marcedes Lewis",2700,JAC,TE,GBP,,,2.39
"Philip Rivers",7000,SDC,QB,KCC,,,16.84
"Melvin Gordon",4600,SDC,RB,KCC,,,10.54
"Danny Woodhead",5000,SDC,RB,KCC,,,12.14
"Keenan Allen",8000,SDC,WR,KCC,,,17.39
"Travis Benjamin",4100,SDC,WR,KCC,,,10.28
"Dontrelle Inman",3400,SDC,WR,KCC,,,5.81
"Tyrell Williams",3000,SDC,WR,KCC,,,6.53
"Antonio Gates",4200,SDC,TE,KCC,,,11.85
"Alex Smith",6500,KCC,QB,SDC,,,17.44
"Jamaal Charles",7100,KCC,RB,SDC,,,11.42
"Charcandrick West",3500,KCC,RB,SDC,,,4.68
"Jeremy Maclin",6500,KCC,WR,SDC,,,17.26
"Albert Wilson",3600,KCC,WR,SDC,,,7.29
"Chris Conley",3700,KCC,WR,SDC,,,6.21
"Travis Kelce",5000,KCC,TE,SDC,,,13.35
"Nick Williams",3000,KCC,WR,SDC,,,2.12
"Spencer Ware",4400,KCC,RB,SDC,,,12.39
"Jay Cutler",6300,CHI,QB,HOU,,,15.94
"Jeremy Langford",4700,CHI,RB,HOU,,,11.37
"Ka'Deem Carey",3500,CHI,RB,HOU,,,4.37
"Alshon Jeffery",7900,CHI,WR,HOU,,,17.28
"Kevin White",5200,CHI,WR,HOU,,,10.67
"Eddie Royal",3200,CHI,WR,HOU,,,6.9
"Zach Miller",3700,CHI,TE,HOU,,,10.2
"Brock Osweiler",6300,HOU,QB,CHI,,,16.36
"Lamar Miller",7000,HOU,RB,CHI,,,18.88
"Alfred Blue",3600,HOU,RB,CHI,,,4.43
"DeAndre Hopkins",8800,HOU,WR,CHI,,,22.49
"Jaelen Strong",3800,HOU,WR,CHI,,,3.91
"Cecil Shorts",3300,HOU,WR,CHI,,,8.06
"Will Fuller",3700,HOU,WR,CHI,,,10.52
"C.J. Fiedorowicz",2500,HOU,TE,CHI,,,3.32
"Ryan Griffin",2600,HOU,TE,CHI,,,6.88
"Josh Bellamy",3000,CHI,WR,HOU,,,2.9
"Jordan Howard",3700,CHI,RB,HOU,9.22,0,4.61
"Latavius Murray",5600,OAK,RB,NOS,,,14.77
"Taiwan Jones",3000,OAK,RB,NOS,,,1.97
"Amari Cooper",7200,OAK,WR,NOS,,,19.09
"Michael Crabtree",5500,OAK,WR,NOS,,,16.12
"Seth Roberts",3800,OAK,WR,NOS,,,7.56
"Andre Holmes",3200,OAK,WR,NOS,,,4.48
"Clive Walford",3000,OAK,TE,NOS,,,8.36
"Drew Brees",8100,NOS,QB,OAK,,,24.75
"Mark Ingram",6600,NOS,RB,OAK,,,17.07
"Tim Hightower",4300,NOS,RB,OAK,,,4.26
"Brandin Cooks",7700,NOS,WR,OAK,,,16.81
"Brandon Coleman",3000,NOS,WR,OAK,,,4.45
"Willie Snead",4800,NOS,WR,OAK,,,12.5
"Michael Thomas",4000,NOS,WR,OAK,,,7.31
"Coby Fleener",4900,NOS,TE,OAK,,,14.87
"Derek Carr",7300,OAK,QB,NOS,,,19.84
"Mychal Rivera",2600,OAK,TE,NOS,,,3.72
"C.J. Spiller",3600,NOS,RB,OAK,,,3.99
"DeAndre Washington",3700,OAK,RB,NOS,7.1712,1.4688,4.32
"Jameis Winston",6600,TBB,QB,ATL,,,21.58
"Doug Martin",6200,TBB,RB,ATL,,,17.35
"Charles Sims",4400,TBB,RB,ATL,,,10.45
"Vincent Jackson",4400,TBB,WR,ATL,,,12.38
"Mike Evans",7400,TBB,WR,ATL,,,18.54
"Adam Humphries",3000,TBB,WR,ATL,,,6.64
"Kenny Bell",3400,TBB,WR,ATL,,,4.07
"Cameron Brate",2900,TBB,TE,ATL,,,6.74
"Austin Seferian-Jenkins",2800,TBB,TE,ATL,,,10.19
"Matt Ryan",7100,ATL,QB,TBB,,,17.7
"Devonta Freeman",6900,ATL,RB,TBB,,,17.3
"Tevin Coleman",4200,ATL,RB,TBB,,,5.11
"Julio Jones",9400,ATL,WR,TBB,,,27.57
"Mohamed Sanu",5100,ATL,WR,TBB,,,11.65
"Justin Hardy",3100,ATL,WR,TBB,,,6.01
"Jacob Tamme",2800,ATL,TE,TBB,,,8.68
"Levine Toilolo",2500,ATL,TE,TBB,,,2.04
"Tyrod Taylor",6900,BUF,QB,BAL,,,18.86
"LeSean McCoy",6400,BUF,RB,BAL,,,17.67
"Sammy Watkins",6900,BUF,WR,BAL,,,17.09
"Robert Woods",4600,BUF,WR,BAL,,,10.44
"Greg Salas",3000,BUF,WR,BAL,,,3.06
"Charles Clay",3400,BUF,TE,BAL,,,10.46
"Joe Flacco",6700,BAL,QB,BUF,,,15.65
"Javorius Allen",3600,BAL,RB,BUF,,,9.67
"Steve Smith",4900,BAL,WR,BUF,,,11.05
"Kamar Aiken",4700,BAL,WR,BUF,,,11.88
"Mike Wallace",4200,BAL,WR,BUF,,,11.63
"Breshad Perriman",3700,BAL,WR,BUF,,,4.92
"Mike Gillislee",3800,BUF,RB,BAL,,,4.73
"Leonard Hankerson",3300,BUF,WR,BAL,,,5.64
"Dezmin Lewis",3000,BUF,WR,BAL,,,4.74
"Crockett Gillmore",2600,BAL,TE,BUF,20.06,0,10.03
"Terrance West",4100,BAL,RB,BUF,,,8.43
"Maxx Williams",2600,BAL,TE,BUF,9.8766,1.2834,5.58
"Andy Dalton",6800,CIN,QB,NYJ,,,17.67
"Jeremy Hill",4600,CIN,RB,NYJ,,,9.63
"Giovani Bernard",4800,CIN,RB,NYJ,,,10
"A.J. Green",8400,CIN,WR,NYJ,,,19.1
"Brandon LaFell",3900,CIN,WR,NYJ,,,8.57
"Tyler Boyd",3600,CIN,WR,NYJ,,,9.35
"Brandon Tate",3000,CIN,WR,NYJ,,,3.55
"Tyler Kroft",2700,CIN,TE,NYJ,,,7.68
"Ryan Fitzpatrick",6500,NYJ,QB,CIN,,,17.35
"Matt Forte",6100,NYJ,RB,CIN,,,14.54
"Bilal Powell",4300,NYJ,RB,CIN,,,10.02
"Brandon Marshall",7800,NYJ,WR,CIN,,,18.93
"Eric Decker",6600,NYJ,WR,CIN,,,15.37
"Quincy Enunwa",3800,NYJ,WR,CIN,,,4.82
"Kenbrell Thompkins",3000,NYJ,WR,CIN,,,3.71
"Kellen Davis",2500,NYJ,TE,CIN,,,2.6
"Jace Amaro",2700,NYJ,TE,CIN,,,5.44
"Ryan Tannehill",5900,MIA,QB,SEA,,,14.99
"Jay Ajayi",4200,MIA,RB,SEA,,,6.14
"Arian Foster",5800,MIA,RB,SEA,,,10.86
"Jarvis Landry",6000,MIA,WR,SEA,,,16.02
"DeVante Parker",5300,MIA,WR,SEA,,,9.97
"Kenny Stills",3200,MIA,WR,SEA,,,9.03
"Leonte Carroo",3200,MIA,WR,SEA,,,6.19
"Jordan Cameron",3000,MIA,TE,SEA,,,8.32
"Dion Sims",2500,MIA,TE,SEA,,,1.81
"Thomas Rawls",6000,SEA,RB,MIA,,,11.65
"Christine Michael",3700,SEA,RB,MIA,,,6.7
"Doug Baldwin",6600,SEA,WR,MIA,,,16.12
"Jermaine Kearse",3500,SEA,WR,MIA,,,7.84
"Tyler Lockett",5000,SEA,WR,MIA,,,12.75
"Paul Richardson",3000,SEA,WR,MIA,,,2.96
"Jimmy Graham",3800,SEA,TE,MIA,,,11.92
"Luke Willson",2700,SEA,TE,MIA,,,4.92
"Russell Wilson",7900,SEA,QB,MIA,,,21.57
"C.J. Prosise",3900,SEA,RB,MIA,9.4,0,4.7
"Eli Manning",7500,NYG,QB,DAL,,,18.71
"Rashad Jennings",5400,NYG,RB,DAL,,,12.12
"Shane Vereen",3800,NYG,RB,DAL,,,9.89
"Odell Beckham",9300,NYG,WR,DAL,,,22.51
"Sterling Shepard",4900,NYG,WR,DAL,,,12.47
"Victor Cruz",4000,NYG,WR,DAL,,,7.73
"Dwayne Harris",3600,NYG,WR,DAL,,,2.65
"Larry Donnell",2900,NYG,TE,DAL,,,5.71
"Will Tye",3300,NYG,TE,DAL,,,8.35
"Ezekiel Elliott",7300,DAL,RB,NYG,,,17.07
"Alfred Morris",3800,DAL,RB,NYG,,,3.01
"Dez Bryant",8500,DAL,WR,NYG,,,17.95
"Terrance Williams",3300,DAL,WR,NYG,,,9.18
"Cole Beasley",3200,DAL,WR,NYG,,,7.31
"Brice Butler",3000,DAL,WR,NYG,,,2.14
"Jason Witten",4100,DAL,TE,NYG,,,12.15
