dk_name,roto_name
Sea,SEA
KC,KCC
Ari,ARI
NYJ,NYJ
Phi,PHI
Hou,HOU
Min,MIN
Cin,CIN
Buf,BUF
NE,NEP
Atl,ATL
GB,GBP
Ind,IND
NYG,NYG
Bal,BAL
Ten,TEN
TB,TBB
Chi,CHI
Dal,DAL
Det,DET
SD,SDC
Oak,OAK
Jax,JAC
Cle,CLE
NO,NOS
Mia,MIA
