"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"RB","David Johnson (0000000)","David Johnson",0,9800,"Ari@Mia 00:00PM ET","Ari","David","Johnson","Mia",27.58,24.5,2,0.220224719101124,0
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,9000,"Pit@Buf 00:00PM ET","Pit","Le'Veon","Bell","Buf",26.19,27.7,2,0.165605095541401,0
"WR","Mike Evans (0000000)","Mike Evans",0,8900,"NO@TB 00:00PM ET","TB","Mike","Evans","NO",22.09,21.8,1,0.3125,0
"WR","Antonio Brown (0000000)","Antonio Brown",0,8700,"Pit@Buf 00:00PM ET","Pit","Antonio","Brown","Buf",25.86,22.9,1,0.284501061571125,0
"WR","Julio Jones (0000000)","Julio Jones",0,8500,"Atl@LA 00:00PM ET","Atl","Julio","Jones","LA",21.64,17.3,1,0.272511848341232,0
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,8400,"Dal@NYG 00:00PM ET","Dal","Ezekiel","Elliott","NYG",19.24,19.1,5,0.0921409214092141,0
"RB","LeSean McCoy (0000000)","LeSean McCoy",0,8200,"Pit@Buf 00:00PM ET","Buf","LeSean","McCoy","Pit",17.9,15.7,4,0.117647058823529,0
"WR","Odell Beckham (0000000)","Odell Beckham",0,8000,"Dal@NYG 00:00PM ET","NYG","Odell","Beckham","Dal",21.49,21.3,1,0.289079229122056,0
"WR","A.J. Green (0000000)","A.J. Green",0,7700,"Cin@Cle 00:00PM ET","Cin","A.J.","Green","Cle",0,0,1,0.241610738255034,0
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7500,"Hou@Ind 00:00PM ET","Ind","T.Y.","Hilton","Hou",16.74,19.1,1,0.271929824561404,0
"WR","Amari Cooper (0000000)","Amari Cooper",0,7500,"Oak@KC 00:00PM ET","Oak","Amari","Cooper","KC",18.54,18.3,2,0.241164241164241,0
"QB","Drew Brees (0000000)","Drew Brees",0,7400,"NO@TB 00:00PM ET","NO","Drew","Brees","TB",28.55,20.6,0,0,0
"RB","Melvin Gordon (0000000)","Melvin Gordon",0,7400,"SD@Car 00:00PM ET","SD","Melvin","Gordon","Car",21.13,19,5,0.134433962264151,0
"QB","Cam Newton (0000000)","Cam Newton",0,7200,"SD@Car 00:00PM ET","Car","Cam","Newton","SD",19.04,21.2,0,0,0
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7100,"Ari@Mia 00:00PM ET","Ari","Larry","Fitzgerald","Mia",18.08,17.9,1,0.289887640449438,0
"QB","Tom Brady (0000000)","Tom Brady",0,7100,"Bal@NE 00:00PM ET","NE","Tom","Brady","Bal",26.24,19.4,0,0,0
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,7000,"Den@Ten 00:00PM ET","Ten","DeMarco","Murray","Den",0,20.6,4,0.137055837563452,0
"WR","Brandon Marshall (0000000)","Brandon Marshall",0,7000,"NYJ@SF 00:00PM ET","NYJ","Brandon","Marshall","SF",15.53,15.6,1,0.267469879518072,0
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7000,"Pit@Buf 00:00PM ET","Pit","Ben","Roethlisberger","Buf",26.09,18.9,0,0,0
"QB","Andrew Luck (0000000)","Andrew Luck",0,6900,"Hou@Ind 00:00PM ET","Ind","Andrew","Luck","Hou",21.71,20.1,0,0,0
"WR","Dez Bryant (0000000)","Dez Bryant",0,6900,"Dal@NYG 00:00PM ET","Dal","Dez","Bryant","NYG",16.58,16.6,3,0.197831978319783,0
"WR","Julian Edelman (0000000)","Julian Edelman",0,6800,"Bal@NE 00:00PM ET","NE","Julian","Edelman","Bal",15.76,16,1,0.26410835214447,0
"RB","Matt Forte (0000000)","Matt Forte",0,6800,"NYJ@SF 00:00PM ET","NYJ","Matt","Forte","SF",17.29,18.6,5,0.101204819277108,0
