"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"OF","Mike Trout",5400,"LAA@Hou 08:10PM ET",9.429,"LAA",9.34,11.9,10.58,9.6,13
"1B","Anthony Rizzo",5300,"Mil@ChC 08:05PM ET",7.417,"ChC",10.22,7.8,8.88,8.8,10
"2B","Jose Altuve",5100,"LAA@Hou 08:10PM ET",9.167,"Hou",9.88,8.9,10.2,8.8,9
"3B","Kris Bryant",5000,"Mil@ChC 08:05PM ET",9.083,"ChC",10.52,7.7,9.05,9.3,0
"OF","Ryan Braun",5000,"Mil@ChC 08:05PM ET",9.615,"Mil",8.19,7.6,7.85,8.4,33
"2B","Brian Dozier",4900,"Cle@Min 08:10PM ET",9.909,"Min",8.44,7.7,8.52,8.4,0
"SS","Carlos Correa",4900,"LAA@Hou 08:10PM ET",5.833,"Hou",7.92,0,9.24,8.5,NA
"C","Gary Sanchez",4700,"CWS@NYY 07:05PM ET",4.8,"NYY",NA,0,NA,0,NA
"1B/3B","Todd Frazier",4700,"CWS@NYY 07:05PM ET",4.556,"CWS",NA,0,8.22,8.9,NA
"OF","George Springer",4700,"LAA@Hou 08:10PM ET",11,"Hou",7.89,9.1,9.72,8,5
"1B","Paul Goldschmidt",4700,"Ari@LAD 10:10PM ET",9.385,"Ari",8.67,8.1,8.45,8.8,11
"OF","Starling Marte",4600,"Pit@StL 07:15PM ET",8.417,"Pit",8.36,9.1,9.07,8.4,0
"1B","Jose Abreu",4600,"CWS@NYY 07:05PM ET",4.364,"CWS",8.26,8.3,7.78,7.9,0
"OF","Nelson Cruz",4600,"Mia@Sea 10:10PM ET",6,"Sea",8.11,7.2,9.24,7.7,14
"1B","Freddie Freeman",4600,"SD@Atl 07:35PM ET",10.455,"Atl",10.23,8.7,9.87,9,40
"1B","Edwin Encarnacion",4500,"Cle@Min 08:10PM ET",5.583,"Cle",8.76,8.5,9.14,7.9,5
"OF","Michael Brantley",4500,"Cle@Min 08:10PM ET",7.7,"Cle",7.95,8.5,8.94,7.7,18
"2B","Jonathan Villar",4500,"Mil@ChC 08:05PM ET",8.077,"Mil",7.34,7.5,8.07,8.3,0
"OF","Dexter Fowler",4500,"Pit@StL 07:15PM ET",4.333,"StL",6.19,7.4,8.13,7.3,0
"2B","Robinson Cano",4500,"Mia@Sea 10:10PM ET",6.154,"Sea",9.11,7.9,8.8,8.5,23
"SS","Jean Segura",4500,"Mia@Sea 10:10PM ET",9.25,"Sea",NA,0,NA,0,NA
"1B/OF","Carlos Santana",4400,"Cle@Min 08:10PM ET",8.25,"Cle",8.78,8.4,8.94,7.7,5
"OF","Kyle Schwarber",4400,"Mil@ChC 08:05PM ET",8.25,"ChC",9.15,7.8,8.83,7.2,5
"1B","Matt Carpenter",4400,"Pit@StL 07:15PM ET",5.75,"StL",8.32,0,8.22,8,NA
"OF","Andrew McCutchen",4400,"Pit@StL 07:15PM ET",7.25,"Pit",7.41,8.4,7.8,7.9,3
"OF","Giancarlo Stanton",4400,"Mia@Sea 10:10PM ET",8,"Mia",9.08,9.4,8.75,9.1,3
"SS","Corey Seager",4400,"Ari@LAD 10:10PM ET",9.286,"LAD",6.39,6.8,7.64,7.8,0
"1B","Wil Myers",4400,"SD@Atl 07:35PM ET",10.769,"SD",9.24,8.7,8.42,7.8,6
"2B","Jason Kipnis",4300,"Cle@Min 08:10PM ET",0,"Cle",NA,0,NA,0,NA
"3B","Miguel Sano",4300,"Cle@Min 08:10PM ET",11,"Min",6.63,7.5,7.87,7.7,5
"OF","Gregory Polanco",4300,"Pit@StL 07:15PM ET",7.4,"Pit",NA,0,7.65,8.1,NA
"1B","Chris Carter",4300,"CWS@NYY 07:05PM ET",4.429,"NYY",5.82,7.4,8.83,7.1,0
"OF","Melky Cabrera",4300,"CWS@NYY 07:05PM ET",6.5,"CWS",6.47,7.1,7.55,7.2,8
"SS","Francisco Lindor",4200,"Cle@Min 08:10PM ET",12,"Cle",9.03,8.5,8.98,8,7
"SS","Aledmys Diaz",4200,"Pit@StL 07:15PM ET",8.083,"StL",7.04,8.3,8.09,7.4,0
"OF","Stephen Piscotty",4200,"Pit@StL 07:15PM ET",7.8,"StL",7.15,7.3,7.61,7.4,3
"3B","Kyle Seager",4200,"Mia@Sea 10:10PM ET",5.923,"Sea",7.23,7.5,7.81,8.2,2
"1B","Albert Pujols",4200,"LAA@Hou 08:10PM ET",6.071,"LAA",6.9,0,7.71,6.6,NA
"2B/OF","Ben Zobrist",4100,"Mil@ChC 08:05PM ET",7,"ChC",7.16,6.2,7.74,6.8,8
"1B/OF","Matt Holliday",4100,"CWS@NYY 07:05PM ET",5.75,"NYY",7.44,8.2,8.68,6.8,18
"2B","Rougned Odor",4100,"Tex@Oak 10:05PM ET",7.667,"Tex",7.69,7.7,7.47,8,3
"OF","Shin-soo Choo",4100,"Tex@Oak 10:05PM ET",7.3,"Tex",NA,NA,NA,NA,NA
"OF","Khris Davis",4100,"Tex@Oak 10:05PM ET",11.5,"Oak",7.82,8,8.62,7.7,0
"OF","Christian Yelich",4100,"Mia@Sea 10:10PM ET",9.167,"Mia",6.57,6.8,8.16,7.3,17
"3B","Alex Bregman",4100,"LAA@Hou 08:10PM ET",6.167,"Hou",6.94,7.5,8.99,7.6,8
"OF","Matt Kemp",4100,"SD@Atl 07:35PM ET",15,"Atl",NA,0,NA,0,NA
"2B","Jose Ramirez",4000,"Cle@Min 08:10PM ET",10.167,"Cle",7.19,7.7,8.02,7,6
