"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15","X2017.04.16"
"115","Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,0
"116","Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA
"117","David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0,0
"118","Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4,2,20,NA,4,0,20
"119","Adonis Garcia_ATL",NA,0,NA,9,3,NA,5,5,NA,5,0,NA,0,17,4
"120","Nick Franklin_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"121","Jhonny Peralta_STL",3,NA,3,NA,NA,0,NA,0,5,0,NA,NA,2,2,NA
"122","Alen Hanson_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"123","Chase Headley_NYY",13,NA,24,10,NA,0,6,4,21,NA,10,3,15,9,14
"124","Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5,NA
"125","Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA
"126","JT Realmuto_MIA",NA,10,NA,23,NA,NA,20,3,NA,5,2,NA,9,NA,6
"127","Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4,NA,17,21,NA,3,20,2
"128","Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3,8,0,0,NA,NA,5,12
"129","Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Derek Fisher_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2,12,NA,2,0,0
"132","Dansby Swanson_ATL",NA,3,NA,3,0,NA,7,14,NA,2,3,NA,0,5,0
"133","Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,26,NA
"134","Abraham Almonte_CLE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,2,8,NA
"135","Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA,5,NA,NA,NA,NA,NA
"136","Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17,2,NA,8,3,NA,5,5
"137","Matt Adams_STL",NA,NA,NA,NA,NA,NA,6,3,NA,NA,0,NA,3,NA,0
"138","Matt Davidson_CWS",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,18,17,NA,8
"139","Charlie Tilson_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Martin Prado_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2
"142","Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,10,0
"143","Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0,0,5,NA,0,7,3
"145","Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6
"147","Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10,19,7,NA,5,0,0
"148","Danny Santana_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7,NA
"149","Brandon Guyer_CLE",NA,NA,5,2,NA,NA,NA,0,NA,NA,0,NA,4,NA,3
"150","Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Albert Almora_CHC",NA,NA,3,NA,NA,NA,17,NA,NA,NA,NA,5,NA,NA,NA
"152","Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13,3,0,0,0,NA,3,NA
"153","Kolten Wong_STL",NA,NA,3,NA,NA,3,6,NA,9,NA,0,NA,0,NA,NA
"154","Pete Kozma_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"155","Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA,11,3,NA,NA,8,32,NA,8,21
"156","Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA
"157","Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA,NA
"158","Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,9,5,NA,7
"159","Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9,7,9,NA,13,2,NA
"160","Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA
"161","Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA,2,7,3,2,0,NA
"162","Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"163","Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Jace Peterson_ATL",NA,NA,NA,NA,NA,NA,13,7,NA,NA,5,NA,2,NA,0
"165","Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19,0,5,NA,0,17,3
"167","Jason Castro_MIN",NA,12,NA,NA,NA,NA,16,2,NA,NA,4,NA,2,NA,0
"168","Miguel Montero_CHC",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"169","Andrew Susac_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Jon Jay_CHC",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA
"171","Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA,NA,4,NA,NA,NA,0,NA,NA,NA,2
"172","Francisco Cervelli_PIT",NA,9,NA,3,NA,NA,5,NA,6,4,5,NA,NA,14,3
"173","Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2,NA,0,NA,NA,17,26
"174","David Freese_PIT",NA,8,NA,5,NA,NA,NA,NA,2,5,19,9,NA,0,2
"175","Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2,2,5,7,NA,NA,9
"176","Harrison Bader_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA
"178","Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7,NA,3,NA,0,5,NA
"179","Justin Bour_MIA",NA,0,NA,2,NA,9,4,0,NA,7,NA,9,3,14,2
"180","Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA,20,2,21,0,3,0
"182","Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14,NA
"183","Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0,NA
"184","Tyler Flowers_ATL",NA,3,NA,NA,3,NA,NA,8,NA,4,8,NA,10,NA,12
"185","Chris Gimenez_MIN",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,5,NA
"186","Yan Gomes_CLE",NA,NA,4,NA,NA,3,NA,6,NA,NA,NA,14,NA,0,0
"187","Eduardo Escobar_MIN",NA,NA,NA,NA,NA,9,3,NA,NA,NA,0,NA,NA,7,NA
"188","Austin Jackson_CLE",NA,NA,10,0,NA,NA,NA,5,NA,NA,2,NA,9,NA,2
"189","Ian Happ_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Matt Szczur_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","John Jaso_PIT",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"192","Jose Martinez_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,NA
"193","Kevin Newman_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Gleyber Torres_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Leury Garcia_CWS",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,8,9,0,7
"196","Jacob May_CWS",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,0,0
"197","Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA,18,NA,NA,NA
"198","Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA
"199","Derek Dietrich_MIA",NA,0,NA,4,NA,21,2,10,NA,2,NA,7,2,0,0
"200","Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"201","Rob Segedin_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0,3,NA,NA,9,NA,0
"203","Giovanny Urshela_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Manny Pina_MIL",NA,NA,NA,0,NA,5,NA,NA,NA,11,NA,5,24,NA,7
"205","Tommy La Stella_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Greg Garcia_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,8
"208","Austin Romine_NYY",NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,8,17,NA,16
"209","Cody Asche_CWS",NA,NA,NA,NA,NA,0,NA,3,NA,NA,6,7,NA,0,NA
"210","Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,24
"213","Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,10,NA
"214","Andre Ethier_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Andrew Toles_LAD",NA,8,NA,2,NA,NA,14,NA,NA,NA,17,NA,21,NA,0
"216","Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Micah Johnson_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Chase d'Arnaud_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"219","Yandy Diaz_CLE",NA,NA,0,10,NA,4,3,5,NA,NA,2,8,9,9,3
"220","Jett Bandy_MIL",NA,5,6,NA,NA,NA,16,7,NA,NA,5,NA,NA,0,NA
"221","Geovany Soto_CWS",NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA
"222","Omar Narvaez_CWS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,10,NA,3,NA
"223","Ronald Torreyes_NYY",2,NA,16,0,NA,0,10,18,2,NA,NA,3,3,7,11
"224","Ryan Rua_TEX",NA,NA,2,NA,NA,NA,0,14,NA,0,NA,NA,NA,0,NA
"225","Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"227","Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Rio Ruiz_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Ehire Adrianza_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Carson Kelly_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Phil Gosselin_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Yolmer Sanchez_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA
"234","Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA,12,NA,4,NA,NA,NA,NA,0
"235","Destin Hood_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
