"Bryce Harper_WAS","Ryan Zimmerman_WAS","Nelson Cruz_SEA","Trea Turner_WAS","Daniel Murphy_WAS","Josh Donaldson_TOR","Miguel Sano_MIN","Yonder Alonso_OAK","Jean Segura_SEA","Justin Smoak_TOR","Robinson Cano_SEA","Anthony Rendon_WAS","Cody Bellinger_LAD","Max Kepler_MIN","Michael Taylor_WAS","Chris Taylor_LAD","Jose Bautista_TOR","Ryon Healy_OAK","Russell Martin_TOR","Kendrys Morales_TOR","Khris Davis_OAK","Joe Mauer_MIN","Adam Eaton_WAS","Jed Lowrie_OAK","Danny Valencia_SEA","Yasiel Puig_LAD","Jarrod Dyson_SEA","Kyle Seager_SEA","Mitch Haniger_SEA","Matt Joyce_OAK","Robbie Grossman_MIN","Brian Dozier_MIN","Ben Gamel_SEA","Taylor Motter_SEA","Jayson Werth_WAS","Mike Zunino_SEA","Matt Wieters_WAS","Corey Seager_LAD","Devon Travis_TOR","Leonys Martin_SEA","Joc Pederson_LAD","Troy Tulowitzki_TOR","Steve Pearce_TOR","Marcus Semien_OAK","Jason Castro_MIN","Kennys Vargas_MIN","Guillermo Heredia_SEA","Chase Utley_LAD","Adam Lind_WAS","Justin Turner_LAD","Logan Forsythe_LAD","Kevin Pillar_TOR","Eddie Rosario_MIN","Ezequiel Carrera_TOR","Jorge Polanco_MIN","Franklin Gutierrez_LAD","Yasmani Grandal_LAD","Byron Buxton_MIN","Rajai Davis_OAK","Dalton Pompey_TOR","Chad Pinder_OAK","Rowdy Tellez_TOR","Adrian Gonzalez_LAD","Trayce Thompson_LAD","Kike Hernandez_LAD","Brian Goodwin_WAS","Austin Barnes_LAD","Josh Phegley_OAK","Ryan Goins_TOR","Shawn O'Malley_SEA","Andrew Toles_LAD","Jarrod Saltalamacchia_TOR","Stephen Vogt_OAK","Mark Canha_OAK","Carlos Ruiz_SEA","Eduardo Escobar_MIN","Boog Powell_SEA","Stephen Drew_WAS","Rob Segedin_LAD","Wilmer Difo_WAS","Jake Smolinski_OAK","Darrell Ceciliani_TOR","Ryan LaMarre_OAK","Chris Gimenez_MIN","Tuffy Gosewisch_SEA","Andre Ethier_LAD","Bruce Maxwell_OAK","Anthony Alford_TOR","Tyler Smith_SEA","Scott Van Slyke_LAD","Chris Heisey_WAS","Trevor Plouffe_OAK","Chris Coghlan_TOR","Dwight Smith_TOR","Daniel Vogelbach_SEA","Luke Maile_TOR","Ehire Adrianza_MIN","Rafael Bautista_WAS","Adam Rosales_OAK","Jose Lobaton_WAS","Mike Freeman_LAD","Darwin Barney_TOR","Jaff Decker_OAK","Mike Ohlman_TOR","Matt Olson_OAK","Grant Green_WAS","Brett Eibner_LAD"
43,38,0,32,39,0,0,0,0,0,0,39,0,0,26,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,36,0,32,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
38,44,0,36,40,0,0,0,0,0,0,40,0,0,31,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37,0,32,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
0,0,51,0,0,0,0,0,36,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,44,47,20,0,0,0,28,35,0,29,0,0,0,13,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,36,0,39,35,0,0,0,0,0,0,35,0,0,30,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,34,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
39,40,0,35,45,0,0,0,0,0,0,40,0,0,28,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,39,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
0,0,0,0,0,17,0,0,0,14,0,0,0,0,0,0,17,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,5,0,0,0,0,0,0,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,0,0,39,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,30,37,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,0,0,0,0,0,35,0,36,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,37,0,0,38,0,0,37,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,14,0,0,0,0,0,0,8,0,0,0,0,31,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,33,0,0,0,0,0,0,26,0,0,0,11,0,0,0,0
0,0,36,0,0,0,0,0,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,34,38,8,0,0,0,29,21,0,20,0,0,0,6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14,0,0,0,46,0,0,0,0,0,0,46,0,26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,20,18,0,0,0,0,0,0,0,0,44,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,17,0,0,0,0,0,24,0,2,0,0,0
0,0,41,0,0,0,0,0,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,39,41,20,0,0,0,22,26,0,31,0,0,0,13,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
