"Mookie Betts_BOS","Paul Goldschmidt_ARI","AJ Pollock_ARI","Jake Lamb_ARI","Corey Seager_LAD","Cody Bellinger_LAD","Giancarlo Stanton_MIA","Wil Myers_SD","Xander Bogaerts_BOS","Hanley Ramirez_BOS","Nelson Cruz_SEA","Robinson Cano_SEA","Jean Segura_SEA","Christian Yelich_MIA","Chris Owings_ARI","Jose Abreu_CWS","Dee Gordon_MIA","Yasmany Tomas_ARI","Dustin Pedroia_BOS","Andrew Benintendi_BOS","Yasiel Puig_LAD","Kyle Seager_SEA","Logan Forsythe_LAD","Justin Bour_MIA","Joc Pederson_LAD","Jackie Bradley_BOS","Melky Cabrera_CWS","Todd Frazier_CWS","Justin Turner_LAD","Yasmani Grandal_LAD","Marcell Ozuna_MIA","Chris Taylor_LAD","David Peralta_ARI","Brandon Drury_ARI","Avisail Garcia_CWS","Ryan Schimpf_SD","Yonder Alonso_OAK","Ben Gamel_SEA","Tim Anderson_CWS","Yoan Moncada_CWS","Adrian Gonzalez_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","Yangervis Solarte_SD","Khris Davis_OAK","Mitch Haniger_SEA","Taylor Motter_SEA","Rey Fuentes_ARI","Manuel Margot_SD","Mitch Moreland_BOS","Tyler Saladino_CWS","JT Realmuto_MIA","Jeremy Hazelbaker_ARI","Alex Dickerson_SD","Hunter Renfroe_SD","Nick Ahmed_ARI","Rajai Davis_OAK","Pablo Sandoval_BOS","Danny Valencia_SEA","Martin Prado_MIA","Trayce Thompson_LAD","Chris Herrmann_ARI","Cory Spangenberg_SD","Trevor Plouffe_OAK","Leonys Martin_SEA","Andrew Toles_LAD","Austin Barnes_LAD","Socrates Brito_ARI","Brock Holt_BOS","Marcus Semien_OAK","Ryon Healy_OAK","Rob Segedin_LAD","Gregor Blanco_ARI","Travis Jankowski_SD","Matt Joyce_OAK","Christian Vazquez_BOS","Jarrod Dyson_SEA","Matt Davidson_CWS","Charlie Tilson_CWS","Andre Ethier_LAD","Derek Dietrich_MIA","Matt Szczur_SD","Chris Young_BOS","Jed Lowrie_OAK","Stephen Vogt_OAK","Mike Zunino_SEA","Scott Van Slyke_LAD","Kike Hernandez_LAD","Destin Hood_MIA","Chris Iannetta_ARI","Christian Bethancourt_SD","Austin Hedges_SD","Sandy Leon_BOS","Chase d'Arnaud_BOS","Josh Phegley_OAK","Steve Selsky_BOS","Mark Canha_OAK","Marco Hernandez_BOS","Leury Garcia_CWS","Jacob May_CWS","Guillermo Heredia_SEA","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Erick Aybar_SD","Daniel Descalso_ARI","Shawn O'Malley_SEA","Cody Asche_CWS","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","Luis Sardinas_SD","Allen Cordoba_SD","Jake Smolinski_OAK","Deven Marrero_BOS","Ryan LaMarre_OAK","Josh Rutledge_BOS","Geovany Soto_CWS","Carlos Ruiz_SEA","Omar Narvaez_CWS","Willy Garcia_CWS","Boog Powell_SEA","AJ Ellis_MIA","Jabari Blash_SD","Bruce Maxwell_OAK","Tuffy Gosewisch_SEA","Yolmer Sanchez_CWS","Mike Aviles_MIA","JT Riddle_MIA","Jeff Mathis_ARI","Hector Sanchez_SD","Mike Freeman_SEA","Daniel Vogelbach_SEA","Kevan Smith_CWS","Adam Rosales_OAK","Brett Eibner_LAD","Miguel Rojas_MIA","Jaff Decker_OAK","Matt Olson_OAK","Chad Pinder_OAK","Zack Collins_CWS","Luis Torrens_SD"
0,0,0,0,0,0,0,0,0,0,62.3243243243243,5.02463054187192,9.72,0,0,0,0,0,0,0,0,11.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45220588235294,0,0,0,0,0,0,0,4.31052631578947,18.6383333333333,0,0,0,0,0,0,0,0,0,0,0,8.76666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149621212121212,0,0,0,0,0,0,0,0,4.58771929824561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2094861660079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.02463054187192,73.3185483870968,-0.123684210526316,0,0,0,0,0,0,0,0,-5.88888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6060606060606,0,0,0,0,0,0,0,6.69473684210526,1.41503267973856,0,0,0,0,0,0,0,0,0,0,0,10.6376811594203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6330049261084,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.06842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9.72,-0.123684210526316,56.712962962963,0,0,0,0,0,0,0,0,-8.19076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7763157894737,0,0,0,0,0,0,0,9.92857142857143,9.08791208791209,0,0,0,0,0,0,0,0,0,0,0,-1.79249011857708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,0,0,0,0,0,0,0,0,17.8106060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7.14489489489489,0,0,0,0,0,0,50.5668563300142,0,0,5.89915966386555,0,0,0,0,0,0,13.3119429590018,0,0,0,0,0,0,25.4836415362731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28656126482213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.6096256684492,-5.20229885057471,-20.6784946236559,0,0,0,0,0,0,0,0,0,0,78.1394957983193,0,0,20.1674876847291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14229249011858,-1.18915343915344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.52941176470588,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1934046345811,0,0,0,0,0,0,0,0,0,0,19.5827586206897,5.92307692307692,0,0,0,0,0,0,0.426136363636364,0,0,0,2.16096866096866,0,0,0,0,0,0,0,0,0,0,0,7.8768115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.7130541871921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99707602339181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-10.4438502673797,0,0,0,0,0,0,5.89915966386555,0,0,44.7260504201681,0,0,0,0,0,0,8.34731182795699,0,0,0,0,0,0,9.96806722689076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.556878306878307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.97142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-2.30804597701149,-12.52,3.36324786324786,0,0,0,0,0,0,0,0,0,0,20.1674876847291,0,0,69.647311827957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1447368421053,18.1481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9522058823529,0,0,0,0,0,0,0,0,0,0,0,0
18.683908045977,0,0,0,0,0,0,0,5.6494708994709,8.06324110671937,0,0,0,0,0,0,0,0,20.523185483871,16.4741935483871,0,0,0,0,0,1.48684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0989247311828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91360294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.6310483870968,0,0,0,0,0,0,0,16.7471264367816,21.3816666666667,0,0,0,0,0,0,0,0,16.4741935483871,61.6898395721925,0,0,0,0,0,-3.59285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4886363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3446691176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
