"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15"
"WR","Rishard Matthews (7977009)","Rishard Matthews",7977009,4900,"Ten@Jax 01:00PM ET","Ten","Rishard","Matthews","Jax",12.52,11,1,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3,15.3,24.2,15.4,NA,3.6,16.5
"WR","Pierre Garcon (7977042)","Pierre Garcon",7977042,4900,"Was@Chi 01:00PM ET","Was","Pierre","Garcon","Chi",13.34,14.9,1,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA,14.1,26.6,8.3,14.8,16.9,14.8
"WR","Cole Beasley (7977138)","Cole Beasley",7977138,4900,"Det@Dal 08:30PM ET","Dal","Cole","Beasley","Det",11.99,10.1,1,14.5,12.5,14.3,10.3,15.3,23.8,NA,9.3,17.6,8.3,16.9,10.6,4.3,8.1,8.8
"WR","Travis Benjamin (7977030)","Travis Benjamin",7977030,4800,"SD@Cle 01:00PM ET","SD","Travis","Benjamin","Cle",8.04,8,1,10.2,32.4,11.2,7.8,21.7,3.7,9.4,13.4,1.5,NA,NA,1.8,4.4,-0.2,13.6
"WR","Tyler Lockett (7977082)","Tyler Lockett",7977082,4800,"Ari@Sea 04:25PM ET","Sea","Tyler","Lockett","Ari",11.56,10.7,1,4.7,13.9,NA,2.3,NA,5.5,3.3,7.2,4,10.2,5.9,0.9,24.8,9.6,29
"WR","Brandon LaFell (7977097)","Brandon LaFell",7977097,4800,"Cin@Hou 08:25PM ET","Cin","Brandon","LaFell","Hou",12.13,12.4,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9,7.2,6.8,20.5,5.2,16.1
"WR","Mike Wallace (7977109)","Mike Wallace",7977109,4800,"Bal@Pit 04:30PM ET","Bal","Mike","Wallace","Pit",12.2,12.6,1,19.2,20.1,6.9,10.7,13.3,13.7,25,NA,25.4,9.9,12.5,8.6,11.9,10.2,8
"WR","Cameron Meredith (7977046)","Cameron Meredith",7977046,4700,"Was@Chi 01:00PM ET","Chi","Cameron","Meredith","Was",11.46,12.3,1,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA,12,8.9,3.9,9.7,19.2,22.4
"WR","Sterling Shepard (7975689)","Sterling Shepard",7975689,4600,"NYG@Phi 08:25PM ET","NYG","Sterling","Shepard","Phi",11.34,11.9,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,16,2.2,12.1,6.9,15.6
"WR","Allen Robinson (7977013)","Allen Robinson",7977013,4600,"Ten@Jax 01:00PM ET","Jax","Allen","Robinson","Ten",12.44,13.3,1,13.2,8.4,24.7,16.5,NA,7.9,2.9,13,20.6,30.7,10.8,4.4,6.1,2.7,3.5
