"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1"
"WR","Mike Wallace (0000000)","Mike Wallace",0,4700,"Bal@Cle 00:00PM ET","Bal","Mike","Wallace","Cle",12.25,8.2,2,0.193548387096774,1,19.2
"WR","Will Fuller (0000000)","Will Fuller",0,4200,"KC@Hou 00:00PM ET","Hou","Will","Fuller","KC",13.62,12.1,1,0.314285714285714,1,24.7
