"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7"
"WR","Michael Thomas (0000000)","Michael Thomas",0,5000,"Sea@NO 00:00PM ET","NO","Michael","Thomas","Sea",13.62,12.3,1,0.185873605947955,1,11.8,9.6,20.1,14.4,NA,18.8,26
"WR","Davante Adams (0000000)","Davante Adams",0,4900,"GB@Atl 00:00PM ET","GB","Davante","Adams","Atl",16.41,12.7,3,0.19047619047619,1,14,4.6,10.3,NA,19.5,5.4,41.2
"WR","Cameron Meredith (0000000)","Cameron Meredith",0,4800,"Min@Chi 00:00PM ET","Chi","Cameron","Meredith","Min",10.82,13.2,3,0.154716981132075,1,NA,NA,3.4,6.8,30.6,25.3,2.2
"WR","Cole Beasley (0000000)","Cole Beasley",0,4800,"Phi@Dal 00:00PM ET","Dal","Cole","Beasley","Phi",9.83,9.2,2,0.223404255319149,1,14.5,12.5,14.3,10.3,15.3,23.8,NA
"WR","Tyrell Williams (0000000)","Tyrell Williams",0,4700,"SD@Den 00:00PM ET","SD","Tyrell","Williams","Den",11.33,11,2,0.184,1,9.1,15.1,12.9,9,25.7,5.8,24
"WR","John Brown (0000000)","John Brown",0,4700,"Ari@Car 00:00PM ET","Ari","John","Brown","Car",12.82,12.5,2,0.164335664335664,1,1.8,2.4,13,27.4,2.1,10.4,NA
"WR","Jamison Crowder (0000000)","Jamison Crowder",0,4600,"Was@Cin 00:00PM ET","Was","Jamison","Crowder","Cin",10.36,11.6,4,0.156934306569343,1,11.8,15.9,17.8,4.1,12.5,13.3,20.8
"WR","Corey Coleman (0000000)","Corey Coleman",0,4500,"NYJ@Cle 00:00PM ET","Cle","Corey","Coleman","NYJ",0,0,7,0.048,1,8.9,30.4,NA,NA,NA,NA,NA
"WR","Chris Hogan (0000000)","Chris Hogan",0,4400,"NE@Buf 00:00PM ET","NE","Chris","Hogan","Buf",8.48,7.2,4,0.112068965517241,1,15,9.9,1.3,NA,18.6,4.9,3.5
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,4300,"Was@Cin 00:00PM ET","Cin","Brandon","LaFell","Was",9.78,8.2,2,0.175298804780877,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3
"WR","Anquan Boldin (0000000)","Anquan Boldin",0,4200,"Det@Hou 00:00PM ET","Det","Anquan","Boldin","Hou",10.26,9.6,3,0.172690763052209,1,6.5,14.8,12.2,9.1,8.8,20,11.8
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4100,"GB@Atl 00:00PM ET","Atl","Mohamed","Sanu","GB",9.63,13.2,2,0.170731707317073,1,21,4.9,6.1,4.2,6.3,15.7,3.6
"WR","Kendall Wright (0000000)","Kendall Wright",0,4000,"Jax@Ten 00:00PM ET","Ten","Kendall","Wright","Jax",7.42,7.1,6,0.0720338983050847,1,NA,NA,NA,3.4,1.9,30.3,3.2
"WR","Adam Thielen (0000000)","Adam Thielen",0,3800,"Min@Chi 00:00PM ET","Min","Adam","Thielen","Chi",9.67,7.3,3,0.147058823529412,1,9.4,8.1,5.9,4.1,28.7,NA,7.2
"WR","Eddie Royal (0000000)","Eddie Royal",0,3700,"Min@Chi 00:00PM ET","Chi","Eddie","Royal","Min",0,10.2,4,0.143396226415094,1,15.7,15.2,5.1,27.1,11.3,9.4,NA
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3600,"NE@Buf 00:00PM ET","Buf","Marquise","Goodwin","NE",0,0,3,0.168367346938776,1,NA,22.2,1.6,2.2,9.3,4.2,19.3
"WR","Russell Shepard (0000000)","Russell Shepard",0,3300,"Oak@TB 00:00PM ET","TB","Russell","Shepard","Oak",9.33,5.9,7,0.0427350427350427,1,0.9,3.6,1.6,NA,NA,NA,18.7
"WR","Danny Amendola (0000000)","Danny Amendola",0,3300,"NE@Buf 00:00PM ET","NE","Danny","Amendola","Buf",5.45,7.5,6,0.0732758620689655,1,7.8,20,4.3,NA,3.1,5,NA
"WR","Marqise Lee (0000000)","Marqise Lee",0,3300,"Jax@Ten 00:00PM ET","Jax","Marqise","Lee","Ten",9,8,3,0.159836065573771,1,4.2,12.5,9.4,6.8,NA,12.1,20.7
"WR","Cordarrelle Patterson (0000000)","Cordarrelle Patterson",0,3300,"Min@Chi 00:00PM ET","Min","Cordarrelle","Patterson","Chi",9.74,8.3,4,0.107843137254902,1,2.4,-0.2,1.8,9,14.6,NA,19.7
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,3200,"SD@Den 00:00PM ET","SD","Dontrelle","Inman","Den",6.08,5.9,3,0.132,1,1.6,1.7,6.2,28,1.3,2.1,8.8
"WR","Adam Humphries (0000000)","Adam Humphries",0,3000,"Oak@TB 00:00PM ET","TB","Adam","Humphries","Oak",10,12.2,2,0.14957264957265,1,7.1,12.7,22,1.4,4.1,NA,4.3
