"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5"
"WR","DeVante Parker (0000000)","DeVante Parker",0,5000,"Pit@Mia 00:00PM ET","Mia","DeVante","Parker","Pit",12.16,13,2,0.158940397350993,1,NA,21.6,14.1,4,9
"WR","Sammie Coates (0000000)","Sammie Coates",0,4700,"Pit@Mia 00:00PM ET","Pit","Sammie","Coates","Mia",10.16,11.1,2,0.153846153846154,1,7.6,12.3,8,13.8,34.9
"WR","Chris Hogan (0000000)","Chris Hogan",0,4600,"Cin@NE 00:00PM ET","NE","Chris","Hogan","Cin",12.41,7.5,4,0.125,1,15,9.9,1.3,NA,18.6
"WR","John Brown (0000000)","John Brown",0,4500,"NYJ@Ari 00:00PM ET","Ari","John","Brown","NYJ",12.72,14,2,0.193877551020408,1,1.8,2.4,13,27.4,2.1
"WR","Corey Coleman (0000000)","Corey Coleman",0,4500,"Cle@Ten 00:00PM ET","Cle","Corey","Coleman","Ten",0,0,6,0.0677966101694915,1,8.9,30.4,NA,NA,NA
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4300,"Atl@Sea 00:00PM ET","Atl","Mohamed","Sanu","Sea",9.42,9.1,2,0.158823529411765,1,21,4.9,6.1,4.2,6.3
"WR","Michael Thomas (0000000)","Michael Thomas",0,4300,"Car@NO 00:00PM ET","NO","Michael","Thomas","Car",10.04,12.1,2,0.173410404624277,1,11.8,9.6,20.1,14.4,NA
"WR","Cameron Meredith (0000000)","Cameron Meredith",0,4100,"Jax@Chi 00:00PM ET","Chi","Cameron","Meredith","Jax",13.79,12,5,0.112903225806452,1,NA,NA,3.4,6.8,30.6
"WR","Eddie Royal (0000000)","Eddie Royal",0,4000,"Jax@Chi 00:00PM ET","Chi","Eddie","Royal","Jax",11.95,11.1,2,0.172043010752688,1,15.7,15.2,5.1,27.1,11.3
"WR","Jeremy Kerley (0000000)","Jeremy Kerley",0,4000,"SF@Buf 00:00PM ET","SF","Jeremy","Kerley","Buf",13.12,10.2,1,0.308724832214765,1,NA,5.9,4.4,20.8,27.2
"WR","Tyrell Williams (0000000)","Tyrell Williams",0,4000,"Den@SD 00:00PM ET","SD","Tyrell","Williams","Den",12.58,11.3,2,0.188571428571429,1,9.1,15.1,12.9,9,25.7
"WR","Tavon Austin (0000000)","Tavon Austin",0,3900,"LA@Det 00:00PM ET","LA","Tavon","Austin","Det",11.5,13,1,0.285714285714286,1,5.5,10.6,21.4,2.8,15.5
"WR","Davante Adams (0000000)","Davante Adams",0,3900,"Dal@GB 00:00PM ET","GB","Davante","Adams","Dal",10.63,8,3,0.182432432432432,1,14,4.6,10.3,NA,19.5
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,3900,"Den@SD 00:00PM ET","SD","Dontrelle","Inman","Den",7.79,5.7,3,0.148571428571429,1,1.6,1.7,6.2,28,1.3
"WR","Danny Amendola (0000000)","Danny Amendola",0,3700,"Cin@NE 00:00PM ET","NE","Danny","Amendola","Cin",6.3,7,5,0.0892857142857143,1,7.8,20,4.3,NA,3.1
"WR","Brian Quick (0000000)","Brian Quick",0,3200,"LA@Det 00:00PM ET","LA","Brian","Quick","Det",8.41,6.8,4,0.116883116883117,1,5.3,1.8,13.3,20.9,8.1
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,3200,"Cin@NE 00:00PM ET","Cin","Brandon","LaFell","NE",10.49,9.5,2,0.178010471204188,1,13.1,6.9,5.2,8.4,26.8
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3000,"SF@Buf 00:00PM ET","Buf","Marquise","Goodwin","SF",8.18,10.2,4,0.142857142857143,1,NA,22.2,1.6,2.2,9.3
