"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13"
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,5000,"Oak@KC 00:00PM ET","KC","Tyreek","Hill","Oak",12.59,10,2,0.145833333333333,1,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2,20.1,10.1,32.5,12.2
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,5000,"Cin@Cle 00:00PM ET","Cin","Brandon","LaFell","Cle",11.98,11.4,2,0.167785234899329,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9,7.2,6.8,20.5
"WR","Allen Robinson (0000000)","Allen Robinson",0,5000,"Min@Jax 00:00PM ET","Jax","Allen","Robinson","Min",13.12,13.7,1,0.244444444444444,1,13.2,8.4,24.7,16.5,NA,7.9,2.9,13,20.6,30.7,10.8,4.4,6.1
"WR","Randall Cobb (0000000)","Randall Cobb",0,5000,"Sea@GB 00:00PM ET","GB","Randall","Cobb","Sea",13.49,11,3,0.171370967741935,1,12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,11.4,10.1,10.9
"WR","Marvin Jones (0000000)","Marvin Jones",0,4900,"Chi@Det 00:00PM ET","Det","Marvin","Jones","Chi",0,12.5,2,0.19683257918552,1,12.5,22.8,41.5,12.4,13.7,9.3,13.4,6.3,1.5,NA,2.5,9.4,NA
"WR","Quincy Enunwa (0000000)","Quincy Enunwa",0,4900,"NYJ@SF 00:00PM ET","NYJ","Quincy","Enunwa","SF",9.92,8.8,2,0.185542168674699,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5,1.7,NA,24.9,2
"WR","Mike Wallace (0000000)","Mike Wallace",0,4900,"Bal@NE 00:00PM ET","Bal","Mike","Wallace","NE",13.95,11.7,1,0.192384769539078,1,19.2,20.1,6.9,10.7,13.3,13.7,25,NA,25.4,9.9,12.5,8.6,11.9
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,4800,"SD@Car 00:00PM ET","SD","Dontrelle","Inman","Car",9.91,9.9,2,0.17688679245283,1,1.6,1.7,6.2,28,1.3,2.1,8.8,11.2,11.6,9.3,NA,26.9,12.9
"WR","Adam Thielen (0000000)","Adam Thielen",0,4700,"Min@Jax 00:00PM ET","Min","Adam","Thielen","Jax",11.92,12.2,3,0.163594470046083,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2,17.5,13.3,14.6
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,4600,"Dal@NYG 00:00PM ET","NYG","Sterling","Shepard","Dal",10.36,13.8,2,0.173447537473233,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,16,2.2,12.1
"WR","Anquan Boldin (0000000)","Anquan Boldin",0,4500,"Chi@Det 00:00PM ET","Det","Anquan","Boldin","Chi",12.23,12.2,3,0.17420814479638,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,9.7,19.9,8
"WR","Will Fuller (0000000)","Will Fuller",0,4500,"Hou@Ind 00:00PM ET","Hou","Will","Fuller","Ind",10.66,9.3,3,0.152619589977221,1,24.7,17.4,6.1,27.1,1.4,NA,6.2,3.3,NA,NA,2.7,10,10.9
"WR","Corey Coleman (0000000)","Corey Coleman",0,4400,"Cin@Cle 00:00PM ET","Cle","Corey","Coleman","Cin",0,12,5,0.10250569476082,1,8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7,7.9,12.8,NA
"WR","Pierre Garcon (0000000)","Pierre Garcon",0,4200,"Was@Phi 00:00PM ET","Was","Pierre","Garcon","Phi",10.54,13.1,1,0.182377049180328,1,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA,14.1,26.6,8.3,14.8
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4200,"Atl@LA 00:00PM ET","Atl","Mohamed","Sanu","LA",10.89,0,2,0.177725118483412,1,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,3.4,NA,15,4.6
