"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9"
"WR","Jamison Crowder (0000000)","Jamison Crowder",0,5000,"Min@Was 00:00PM ET","Was","Jamison","Crowder","Min",12.62,13.1,4,0.169184290030211,1,11.8,15.9,17.8,4.1,12.5,13.3,20.8,28.7,NA
"WR","Kenny Britt (0000000)","Kenny Britt",0,4900,"LA@NYJ 00:00PM ET","LA","Kenny","Britt","NYJ",13.02,11.1,2,0.204225352112676,1,10.7,15.4,6.8,12.2,12.5,35.6,7.3,NA,14.9
"WR","John Brown (0000000)","John Brown",0,4900,"SF@Ari 00:00PM ET","Ari","John","Brown","SF",12.76,9.8,3,0.152694610778443,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA
"WR","DeSean Jackson (0000000)","DeSean Jackson",0,4800,"Min@Was 00:00PM ET","Was","DeSean","Jackson","Min",0,0,1,0.18429003021148,1,19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA
"WR","Quincy Enunwa (0000000)","Quincy Enunwa",0,4700,"LA@NYJ 00:00PM ET","NYJ","Quincy","Enunwa","LA",12.08,8.9,2,0.205047318611987,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4600,"Atl@Phi 00:00PM ET","Atl","Mohamed","Sanu","Phi",12.25,11.5,2,0.190625,1,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4
"WR","Chris Hogan (0000000)","Chris Hogan",0,4500,"Sea@NE 00:00PM ET","NE","Chris","Hogan","Sea",8.87,6.7,4,0.118518518518519,1,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,4500,"Cin@NYG 00:00PM ET","NYG","Sterling","Shepard","Cin",12.94,11.6,2,0.17515923566879,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14
"WR","Allen Hurns (0000000)","Allen Hurns",0,4400,"Hou@Jax 00:00PM ET","Jax","Allen","Hurns","Hou",10.28,10.3,2,0.184210526315789,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA
"WR","Cameron Meredith (0000000)","Cameron Meredith",0,4400,"Chi@TB 00:00PM ET","Chi","Cameron","Meredith","TB",9.15,11.9,3,0.14527027027027,1,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA
"WR","DeVante Parker (0000000)","DeVante Parker",0,4300,"Mia@SD 00:00PM ET","Mia","DeVante","Parker","SD",8.72,11.3,2,0.161825726141079,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8
