"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10"
"WR","Willie Snead (0000000)","Willie Snead",0,5000,"NO@Car 00:00PM ET","NO","Willie","Snead","Car",14.27,14.9,3,0.153846153846154,1,35.2,16.4,NA,3.3,NA,8.7,17.7,11.6,6.6,21.7
"WR","Marvin Jones (0000000)","Marvin Jones",0,5000,"Jax@Det 00:00PM ET","Det","Marvin","Jones","Jax",12.48,11.5,2,0.22289156626506,1,12.5,22.8,41.5,12.4,13.7,9.3,13.4,6.3,1.5,NA
"WR","Robert Woods (0000000)","Robert Woods",0,4900,"Buf@Cin 00:00PM ET","Buf","Robert","Woods","Cin",12.63,11.6,1,0.221014492753623,1,6,2,11.1,15.9,4.6,16,NA,9,29.2,NA
"WR","DeSean Jackson (0000000)","DeSean Jackson",0,4800,"GB@Was 00:00PM ET","Was","DeSean","Jackson","GB",12,12.3,4,0.167123287671233,1,19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA,NA
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,4700,"Chi@NYG 00:00PM ET","NYG","Sterling","Shepard","Chi",11.67,11.6,2,0.17515923566879,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2
"WR","J.J. Nelson (0000000)","J.J. Nelson",0,4700,"Ari@Min 00:00PM ET","Ari","J.J.","Nelson","Min",9.22,9.5,5,0.0859375,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9
"WR","Chris Hogan (0000000)","Chris Hogan",0,4700,"NE@SF 00:00PM ET","NE","Chris","Hogan","SF",0,0,5,0.115131578947368,1,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA,NA
"WR","Corey Coleman (0000000)","Corey Coleman",0,4700,"Pit@Cle 00:00PM ET","Cle","Corey","Coleman","Pit",11.8,13.9,7,0.0700280112044818,1,8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,4500,"TB@KC 00:00PM ET","KC","Tyreek","Hill","TB",11.77,12.3,4,0.121951219512195,1,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2,20.1
"WR","Eli Rogers (0000000)","Eli Rogers",0,4300,"Pit@Cle 00:00PM ET","Pit","Eli","Rogers","Cle",11.2,9,5,0.0938337801608579,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2
"WR","Kendall Wright (0000000)","Kendall Wright",0,4200,"Ten@Ind 00:00PM ET","Ten","Kendall","Wright","Ind",9.72,7.6,5,0.088145896656535,1,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4,8.8
"WR","John Brown (0000000)","John Brown",0,4100,"Ari@Min 00:00PM ET","Ari","John","Brown","Min",10.99,9.9,3,0.143229166666667,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6
"WR","DeVante Parker (0000000)","DeVante Parker",0,4100,"Mia@LA 00:00PM ET","Mia","DeVante","Parker","LA",10.19,12.4,2,0.181132075471698,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3
"WR","Allen Hurns (0000000)","Allen Hurns",0,4100,"Jax@Det 00:00PM ET","Jax","Allen","Hurns","Det",11.82,12,2,0.176020408163265,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3
"WR","Cameron Meredith (0000000)","Cameron Meredith",0,4100,"Chi@NYG 00:00PM ET","Chi","Cameron","Meredith","NYG",13.38,10.1,3,0.138461538461538,1,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA,12
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,4000,"Buf@Cin 00:00PM ET","Cin","Brandon","LaFell","Buf",9.42,7,2,0.157190635451505,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9
"WR","Marqise Lee (0000000)","Marqise Lee",0,4000,"Jax@Det 00:00PM ET","Jax","Marqise","Lee","Det",9.85,9.1,3,0.150510204081633,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5,9.6
"WR","Sammie Coates (0000000)","Sammie Coates",0,3900,"Pit@Cle 00:00PM ET","Pit","Sammie","Coates","Cle",5.38,2.5,4,0.107238605898123,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA
"WR","Russell Shepard (0000000)","Russell Shepard",0,3900,"TB@KC 00:00PM ET","TB","Russell","Shepard","KC",0,4.4,6,0.0424929178470255,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA
