"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17"
"WR","Sterling Shepard (8045605)","Sterling Shepard",8045605,4800,"NYG@GB 04:40PM ET","NYG","Sterling","Shepard","GB",12.1,11.9,2,0.174551386623165,11.4118960266018,11.6549707988431,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,16,2.2,12.1,6.9,15.6,19.3,6.7
"WR","DeVante Parker (8045592)","DeVante Parker",8045592,4200,"Mia@Pit 01:05PM ET","Mia","DeVante","Parker","Pit",12.12,9.9,2,0.184322033898305,10.2817507104552,10.4695646953669,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,21.9,9.4,12.4,3.4,2.7,18.5,9.5
"WR","Anquan Boldin (8045574)","Anquan Boldin",8045574,4000,"Det@Sea 08:15PM ET","Det","Anquan","Boldin","Sea",9.26,9,3,0.164179104477612,8.67256107939931,8.85563624030069,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,9.7,19.9,8,13.9,4.3,8.3,15.7
"WR","Eli Rogers (8045594)","Eli Rogers",8045594,4000,"Mia@Pit 01:05PM ET","Pit","Eli","Rogers","Mia",9.25,8.6,3,0.10983606557377,8.44116124609571,8.61328247170757,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,6,5.6,2.8,5,18.5,13,12.1
"WR","Randall Cobb (8045601)","Randall Cobb",8045601,4000,"NYG@GB 04:40PM ET","GB","Randall","Cobb","NYG",9.49,8,3,0.140378548895899,8.19188623677867,8.34578751267219,1,12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,11.4,10.1,10.9,6.3,NA,NA,NA
"WR","Kenny Stills (8045588)","Kenny Stills",8045588,3800,"Mia@Pit 01:05PM ET","Mia","Kenny","Stills","Pit",10.93,11.5,3,0.167372881355932,10.7354895300022,10.975748775854,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7,7.3,16.2,4.1,21.7,12.2,12.5,14.1
"WR","Geronimo Allison (8045607)","Geronimo Allison",8045607,3300,"NYG@GB 04:40PM ET","GB","Geronimo","Allison","NYG",8.06,5.4,8,0.0347003154574132,6.16413723806475,6.25641459677327,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,1.7,10.6,19.1
"WR","Sammie Coates (8045590)","Sammie Coates",8045590,3000,"Mia@Pit 01:05PM ET","Pit","Sammie","Coates","Mia",5.46,5.2,5,0.0786885245901639,5.05292672550508,5.15793329854761,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA
