"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Yu Darvish",11200,"TEX@SEA 10:10PM ET",21.733,"TEX","SEA",0,22.7,24.0395,NA,17.75
"SP","Stephen Strasburg",10600,"WAS@PHI 07:05PM ET",20.75,"WAS","PHI",0,21.9,24.8315,NA,21.95
"SP","Dallas Keuchel",10400,"HOU@LAA 10:07PM ET",26.8,"HOU","LAA",0,20.9,17.9895,NA,12.6
"SP","Danny Salazar",10000,"CLE@KC 08:15PM ET",20.81,"CLE","KC",0,18.9,19.242,NA,14.5
"SP","Kenta Maeda",9800,"LAD@SD 10:10PM ET",12.3,"LAD","SD",0,17.2,17.59,NA,21.65
"SP","Chris Archer",9600,"TOR@TB 07:10PM ET",18.317,"TB","TOR",0,21.6,22.187,NA,26.5
"SP","Francisco Liriano",8200,"TOR@TB 07:10PM ET",13.36,"TOR","TB",0,13.5,19.553,NA,5.65
"SP","Michael Fulmer",8000,"DET@OAK 10:05PM ET",17.47,"DET","OAK",0,17.9,16.336,NA,32
"SP","Lance Lynn",7800,"STL@ATL 07:35PM ET",18.32,"STL","ATL",0,15.7,16.425,NA,24.7
"SP","Zack Greinke",7700,"ARI@COL 08:40PM ET",20,"ARI","COL",0,14.8,13.881,NA,26.15
"SP","Eduardo Rodriguez",7600,"BOS@MIN 08:10PM ET",17.42,"BOS","MIN",0,15,16.066,NA,14.7
"SP","Wade Miley",7500,"CWS@BAL 07:05PM ET",21.95,"BAL","CWS",0,15,18.855,NA,-0.3
"SP","Mike Foltynewicz",7400,"STL@ATL 07:35PM ET",13.71,"ATL","STL",NA,16.5,15.969,NA,NA
"SP","Jason Hammel",7000,"CLE@KC 08:15PM ET",5.67,"KC","CLE",0,10.3,12.674,NA,24.5
"SP","Yovani Gallardo",6900,"TEX@SEA 10:10PM ET",11.07,"SEA","TEX",0,12.9,14.608,NA,13.9
"SP","Tom Koehler",6800,"MIA@NYM 07:10PM ET",9.37,"MIA","NYM",0,10.9,11.611,NA,7.05
"SP","Andrew Triggs",6700,"DET@OAK 10:05PM ET",19.2,"OAK","DET",0,13.8,14.604,NA,10.6
"SP","Jimmy Nelson",6600,"MIL@PIT 07:05PM ET",10.7,"MIL","PIT",0,14.2,12.858,NA,10.75
"SP","Jesse Chavez",6500,"HOU@LAA 10:07PM ET",10.714,"LAA","HOU",0,15.7,14.265,NA,12.65
"SP","Chad Kuhl",5700,"MIL@PIT 07:05PM ET",6.092,"PIT","MIL",0,10.5,16.175,NA,9.55
"SP","Miguel Gonzalez",5600,"CWS@BAL 07:05PM ET",15.57,"CWS","BAL",0,12.2,13.436,NA,16.2
"SP","Phil Hughes",5500,"BOS@MIN 08:10PM ET",11.32,"MIN","BOS",0,10.7,11.068,NA,16.8
"SP","Jhoulys Chacin",5400,"LAD@SD 10:10PM ET",9.957,"SD","LAD",0,15.4,14.668,NA,11.8
"SP","Nick Pivetta",4700,"WAS@PHI 07:05PM ET",11.25,"PHI","WAS",NA,11.7,14.414,NA,9.25
"SP","Rafael Montero",4500,"MIA@NYM 07:10PM ET",-0.233,"NYM","MIA",0,13.3,11.93,NA,-0.35
"SP","German Marquez",4200,"ARI@COL 08:40PM ET",7.55,"COL","ARI",0,11.1,12.92,NA,4.7
