"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","ValueWR"
"RB","Le'Veon Bell (8045550)","Le'Veon Bell",8045550,10300,"Mia@Pit 01:05PM ET","Pit","Le'Veon","Bell","Mia",26.62,26.3,2,0.159016393442623,25.1744403292135,25.7125120563404,0
"WR","Antonio Brown (8045586)","Antonio Brown",8045586,9400,"Mia@Pit 01:05PM ET","Pit","Antonio","Brown","Mia",20.86,20.6,1,0.268852459016393,19.7219712123396,20.1433610098627,0
"WR","Odell Beckham Jr. (8045602)","Odell Beckham Jr.",8045602,9100,"NYG@GB 04:40PM ET","NYG","Odell","Beckham","GB",21.74,20.9,1,0.293637846655791,20.230235150874,20.6537190535149,0
"WR","Jordy Nelson (8045597)","Jordy Nelson",8045597,8000,"NYG@GB 04:40PM ET","GB","Jordy","Nelson","NYG",19.04,21.1,1,0.252365930599369,19.3082255638916,19.7561643618276,0
"QB","Aaron Rodgers (8045522)","Aaron Rodgers",8045522,7900,"NYG@GB 04:40PM ET","GB","Aaron","Rodgers","NYG",23.37,22.4,0,0,21.7089096217098,22.1622980091234,0
"QB","Ben Roethlisberger (8045517)","Ben Roethlisberger",8045517,7600,"Mia@Pit 01:05PM ET","Pit","Ben","Roethlisberger","Mia",20.33,18,0,0,18.0394860041139,18.3929376016849,0
"QB","Russell Wilson (8045513)","Russell Wilson",8045513,7000,"Det@Sea 08:15PM ET","Sea","Russell","Wilson","Det",19.01,19.4,15,0.00375234521575985,18.3295716027747,18.7308684773585,0
"WR","Doug Baldwin (8045576)","Doug Baldwin",8045576,7000,"Det@Sea 08:15PM ET","Sea","Doug","Baldwin","Det",16.14,16.9,1,0.24953095684803,15.8062914315208,16.1588232648438,0
"RB","Jay Ajayi (8045552)","Jay Ajayi",8045552,6800,"Mia@Pit 01:05PM ET","Mia","Jay","Ajayi","Pit",13.38,14.2,4,0.0805084745762712,13.2114283835107,13.508911382908,0
"WR","DeAndre Hopkins (8045568)","DeAndre Hopkins",8045568,6700,"Oak@Hou 04:35PM ET","Hou","DeAndre","Hopkins","Oak",14.15,12.4,1,0.268456375838926,12.4827846772534,12.7252570340086,0
