"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (39/150)","2016-09-25 13:00:00",1762,204.04,"$35.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (55/150)","2016-09-25 13:00:00",2723,199.66,"$30.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (85/150)","2016-09-25 13:00:00",2957,198.8,"$30.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (148/150)","2016-09-25 13:00:00",3160,198.1,"$25.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (130/150)","2016-09-25 13:00:00",3286,197.7,"$25.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (141/150)","2016-09-25 13:00:00",5753,191.8,"$20.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (3/150)","2016-09-25 13:00:00",6093,191.16,"$20.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (92/150)","2016-09-25 13:00:00",6219,190.94,"$20.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (25/150)","2016-09-25 13:00:00",7050,189.5,"$20.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (139/150)","2016-09-25 13:00:00",7430,188.96,"$20.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (122/150)","2016-09-25 13:00:00",8647,187.2,"$15.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (81/150)","2016-09-25 13:00:00",15380,180.34,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (34/150)","2016-09-25 13:00:00",16151,179.7,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (53/150)","2016-09-25 13:00:00",18356,178,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (150/150)","2016-09-25 13:00:00",19530,177.16,"$10.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (69/150)","2016-09-25 13:00:00",22644,175.16,"$9.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (96/150)","2016-09-25 13:00:00",24277,174.26,"$9.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (132/150)","2016-09-25 13:00:00",26401,173.04,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (60/150)","2016-09-25 13:00:00",28513,171.9,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (144/150)","2016-09-25 13:00:00",29610,171.36,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (44/150)","2016-09-25 13:00:00",30702,170.86,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (43/150)","2016-09-25 13:00:00",30902,170.76,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (57/150)","2016-09-25 13:00:00",31577,170.44,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (59/150)","2016-09-25 13:00:00",31761,170.34,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (78/150)","2016-09-25 13:00:00",32726,169.9,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (111/150)","2016-09-25 13:00:00",32726,169.9,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (1/150)","2016-09-25 13:00:00",32896,169.84,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (5/150)","2016-09-25 13:00:00",33062,169.76,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (71/150)","2016-09-25 13:00:00",33128,169.74,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (26/150)","2016-09-25 13:00:00",33598,169.5,"$8.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (84/150)","2016-09-25 13:00:00",38612,167.4,"$7.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (119/150)","2016-09-25 13:00:00",39110,167.2,"$7.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (113/150)","2016-09-25 13:00:00",39356,167.1,"$7.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (110/150)","2016-09-25 13:00:00",39728,166.96,"$7.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (36/150)","2016-09-25 13:00:00",43756,165.44,"$7.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (143/150)","2016-09-25 13:00:00",45882,164.66,"$7.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (12/150)","2016-09-25 13:00:00",56111,161.44,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (56/150)","2016-09-25 13:00:00",56111,161.44,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (6/150)","2016-09-25 13:00:00",59145,160.52,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (19/150)","2016-09-25 13:00:00",59782,160.34,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (54/150)","2016-09-25 13:00:00",62395,159.56,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (94/150)","2016-09-25 13:00:00",63685,159.24,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (112/150)","2016-09-25 13:00:00",64473,159,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (106/150)","2016-09-25 13:00:00",67418,158.24,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (16/150)","2016-09-25 13:00:00",71787,157.1,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (8/150)","2016-09-25 13:00:00",72983,156.8,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (10/150)","2016-09-25 13:00:00",73328,156.74,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (45/150)","2016-09-25 13:00:00",74124,156.54,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (65/150)","2016-09-25 13:00:00",74411,156.46,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (117/150)","2016-09-25 13:00:00",76651,155.9,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (22/150)","2016-09-25 13:00:00",79437,155.24,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (24/150)","2016-09-25 13:00:00",81673,154.74,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (33/150)","2016-09-25 13:00:00",82588,154.54,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (90/150)","2016-09-25 13:00:00",83417,154.34,"$6.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (51/150)","2016-09-25 13:00:00",86982,153.5,"$5.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (70/150)","2016-09-25 13:00:00",87321,153.44,"$5.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (17/150)","2016-09-25 13:00:00",87370,153.42,"$5.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (99/150)","2016-09-25 13:00:00",88495,153.18,"$5.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (15/150)","2016-09-25 13:00:00",89973,152.86,"$5.00","$0.00",490196,"$3.00","$1,250,000.00",135550
"NFL","NFL $1.25M Play-Action [$1,250,000 Guaranteed] (101/150)","2016-09-25 13:00:00",91992,152.44,"$5.00","$0.00",490196,"$3.00","$1,250,000.00",135550
